source,model,k,n,C,blend_w,mean_delta,worst_delta,best_group_delta,groups,mean_auc
existing_no_flat,raw,32.0,,0.003,1.0,-0.009573263539144386,0.001901724175129164,-0.017655118151574334,4,0.7256427372037012
existing_no_flat,raw_blend_base,32.0,,0.003,0.7,-0.008196153062360665,4.176810076446843e-05,-0.015053636226690092,4,0.7255960489671293
combo_existing_dayflat,raw,32.0,,0.003,1.0,-0.007903045962132978,0.004745839692248103,-0.013727299225396172,4,0.7232061421491094
existing_no_flat,raw_blend_base,32.0,,0.003,0.5,-0.006540243715360797,-0.000570825143016059,-0.011993527380437047,4,0.7262425658723833
combo_existing_dayflat,raw,48.0,,0.003,1.0,-0.0058286649867610825,0.022798947110625873,-0.024765860610182433,4,0.7260922542747366
existing_no_flat,raw,32.0,,0.01,1.0,-0.00576938099734903,0.018349594817110033,-0.02108900256803356,4,0.7256890622586849
existing_no_flat,raw_blend_base,32.0,,0.003,0.4,-0.005506299146978258,-0.0006948106490528941,-0.010100039287623624,4,0.7265135005545917
existing_no_flat,raw,20.0,,0.01,1.0,-0.005293356356101099,0.013951745057635523,-0.023562341374708806,4,0.723561362656541
combo_existing_dayflat,raw,32.0,,0.001,1.0,-0.0052322976378239615,0.0001136297411210944,-0.020249167840692417,4,0.7234498107111308
existing_no_flat,raw,20.0,,0.003,1.0,-0.004983926009646554,0.002171581529370803,-0.011991992262031986,4,0.7238885778411542
combo_existing_dayflat,raw,48.0,,0.001,1.0,-0.004540694959863825,0.017985173931027276,-0.019603496458132613,4,0.7285881436879681
existing_no_flat,raw_blend_base,32.0,,0.003,0.3,-0.004336427640314724,-0.000699024687851361,-0.007962096780429584,4,0.7254775880557994
combo_existing_dayflat,raw_blend_base,32.0,,0.001,0.7,-0.0041449758364653574,3.281829041634765e-06,-0.015810877532800277,4,0.7241384195135591
combo_existing_dayflat,raw,32.0,,0.01,1.0,-0.00412291632515074,0.020286011391516052,-0.02218399952856867,4,0.720815757129366
existing_no_flat,raw_blend_base,32.0,,0.001,0.7,-0.003928552438360414,0.00260263471833407,-0.017205335650086917,4,0.725955082894428
existing_no_flat,raw,32.0,,0.001,1.0,-0.0035658825496611888,0.009293092619204116,-0.02219994891974711,4,0.7243699669508985
combo_existing_dayflat,raw_blend_base,32.0,,0.001,0.5,-0.003185138903727562,-3.369349041881797e-05,-0.01205351362770593,4,0.7253406299743566
