state,family,n_top,mean_abs_smd
0,screen_phone,77,0.4018090473050028
0,location_context,53,0.35279541085426214
0,ssl,16,0.30565079552811814
0,heart_light,5,0.3701685965770384
0,routine_axes,5,0.27445466824635545
0,activity_steps,4,0.35915390010550174
1,location_context,81,0.40254486621095076
1,screen_phone,65,0.4644651014913691
1,activity_steps,8,0.33986634529685034
1,sleep_episode,2,0.28596316737006733
1,routine_axes,2,0.26091256690297443
1,heart_light,1,0.2980305487674069
1,ssl,1,0.2557347578286717
2,location_context,83,0.268585344109993
2,screen_phone,60,0.31075533587414567
2,activity_steps,7,0.274176568528184
2,heart_light,4,0.3370775935815484
2,routine_axes,4,0.22650157326372872
2,sleep_episode,1,0.23277655028691835
2,ssl,1,0.21127958678158276
