k,cluster_subject_bal_acc
3,0.2553249528249528
4,0.22290785467256055
5,0.2072389865036924
6,0.21989771666242253
7,0.21011947203123674
8,0.2481196581196581
9,0.2574117222646634
10,0.2647162967751203
