family,target,anchor_loss,model_loss,best_blend_loss,delta_best_vs_anchor,best_weight,n_features
chrono_tail,Q1,0.6730008327454114,0.6910529894564511,0.6598278045283301,-0.013173028217081328,0.4,333.0
chrono_tail,Q2,0.6760619689930207,0.739209671169267,0.6720121941693794,-0.004049774823641254,0.2,333.0
chrono_tail,Q3,0.6809571900400946,0.7261881213052644,0.6696689490420521,-0.011288240998042562,0.3,333.0
chrono_tail,S1,0.5545257521763303,0.5483552279771496,0.5361755827182156,-0.01835016945811459,0.55,333.0
chrono_tail,S2,0.6316056149024755,0.766021441014582,0.6332928684402296,0.0016872535377541558,0.05,333.0
chrono_tail,S3,0.5945993805100754,0.705166176012943,0.5958748329028349,0.001275452392759539,0.05,333.0
chrono_tail,S4,0.6550269367376295,0.7014747595651877,0.6494190891348234,-0.005607847602806082,0.3,333.0
hole_v1,Q1,0.6870672911520804,0.751040325931486,0.6823259142555534,-0.004741376896526909,0.2,333.0
hole_v1,Q2,0.6743834755084098,0.7676793154051161,0.6735170866107419,-0.0008663888976679172,0.05,333.0
hole_v1,Q3,0.665359878453335,0.687531555008898,0.6510320657687308,-0.014327812684604035,0.4,333.0
hole_v1,S1,0.6018023909708411,0.5958939596064862,0.5749188279596962,-0.02688356301114499,0.4,333.0
hole_v1,S2,0.572938079583945,0.6088628906274594,0.5690788886712074,-0.0038591909127377866,0.2,333.0
hole_v1,S3,0.5320404606852955,0.5766883120265279,0.5312869119585923,-0.0007535487267031534,0.15,333.0
hole_v1,S4,0.6479128302720368,0.7007079563041402,0.6462261314084182,-0.0016866988636186446,0.1,333.0
mirror_v1,Q1,0.6861219694517698,0.809736481659988,0.6859269516663583,-0.00019501778541153314,0.05,333.0
mirror_v1,Q2,0.7072722380713284,0.8286411639731992,0.7039308984861549,-0.003341339585173575,0.2,333.0
mirror_v1,Q3,0.6903063354500728,0.7661201760162809,0.6819475379551551,-0.008358797494917821,0.2,333.0
mirror_v1,S1,0.5877438479213303,0.5942208328415178,0.5619845984248134,-0.02575924949651683,0.55,333.0
mirror_v1,S2,0.6038838729822684,0.6349112485686784,0.5931957645473509,-0.010688108434917484,0.4,333.0
mirror_v1,S3,0.5770805325545778,0.6522844328092199,0.5755526059283049,-0.0015279266262728426,0.1,333.0
mirror_v1,S4,0.643608459135629,0.7308213832362438,0.6417893499667471,-0.0018191091688819865,0.15,333.0
