method,k,target,avg_logloss,avg_auc,avg_acc,chrono_last_20,chrono_last_25,chrono_last_30
masked_ae,12,Q1,0.6840608051494756,0.5885818150075103,0.5492375268494671,0.6868182205433337,0.6812802191224838,0.6840839757826093
dino_temporal,4,Q1,0.6935253217545455,0.5093061363488566,0.5050238856209005,0.6933845688629822,0.6934912898482816,0.6937001065523728
dino_temporal,6,Q1,0.6937497280156321,0.49731464733103553,0.4965303174258398,0.6933623154912313,0.693814511001108,0.694072357554557
masked_ae,8,Q1,0.6939915524198604,0.4986836032236252,0.49756119905373636,0.6938126617142745,0.693687505126446,0.6944744904188607
both,4,Q1,0.6942303303998218,0.49023760628285906,0.4727717712792339,0.6947483100722465,0.6941863236052812,0.6937563575219378
masked_ae,6,Q1,0.6943033577660537,0.4639503872887083,0.44643946882752855,0.6945504661936261,0.6942344057815126,0.6941252013230221
masked_ae,4,Q1,0.6943339021897916,0.48756167181484655,0.44357314506568235,0.6946400896282967,0.6942773570979408,0.6940842598431376
both,12,Q1,0.6943646721251385,0.49386337507380634,0.4998145595160521,0.6947684984863283,0.6940346353402473,0.6942908825488402
dino_temporal,8,Q1,0.6948107444382523,0.46883674259727925,0.46342660521765006,0.6952370560898224,0.6946276720574759,0.6945675051674586
both,6,Q1,0.6949950252881184,0.4597644105187997,0.47103385163086653,0.6954903057399588,0.6949604320239386,0.6945343381004581
both,8,Q1,0.6949973708420444,0.4690915476500286,0.45507759686864163,0.6954075990250161,0.6947657507848686,0.6948187627162485
dino_temporal,12,Q1,0.6958149862358182,0.4246863627505484,0.4629190450085972,0.6961227171419854,0.6954110294449314,0.6959112121205379
dino_temporal,4,Q3,0.6482355408817146,0.5977863785546041,0.633962648888022,0.6479729147995416,0.6409239553844637,0.6558097524611387
dino_temporal,6,Q3,0.6515631635687895,0.6043649064640024,0.6308150860389666,0.6503553342623445,0.6484308444457256,0.6559033119982985
dino_temporal,8,Q3,0.6518142017752179,0.5877717932163558,0.6394532140800798,0.6505074880533861,0.6501453751338938,0.6547897421383739
both,8,Q3,0.653428070276171,0.5797441310120309,0.6359347702631285,0.6554956362732263,0.6522296298865339,0.6525589446687531
both,4,Q3,0.653722948056245,0.582755420184526,0.6309596458850191,0.6561740250232319,0.6483776841460863,0.6566171349994168
both,6,Q3,0.6554795798460943,0.5791793759057565,0.6334472080740738,0.6549480885362626,0.6517044074955152,0.659786243506505
both,12,Q3,0.6568605749212866,0.6071067629256984,0.5948608112787218,0.6585718966445392,0.6461558597463192,0.6658539683730015
masked_ae,4,Q3,0.6625527302872889,0.5209240240783922,0.6314750866989672,0.6637595457327972,0.6571623532448486,0.6667362918842208
masked_ae,8,Q3,0.666342804955048,0.5081455343274274,0.6301629659838616,0.6617011894510184,0.6584103210437957,0.6789169043703298
masked_ae,6,Q3,0.6669001018514654,0.4301041083411929,0.6534452280720937,0.6672076093062975,0.6618667122248018,0.6716259840232969
dino_temporal,12,Q3,0.6738043747186454,0.5322778420258917,0.5849654804878686,0.6690487691430824,0.673839360122942,0.6785249948899118
masked_ae,12,Q3,0.6765710999909947,0.4952109513140379,0.6399765354989235,0.6731462261572057,0.6705951567360487,0.6859719170797297
