split,seed,target,tau,alpha,w,logloss,base_logloss,smooth_only_logloss
testpattern,0,Q1,3,1,0.0,0.6870597649240474,0.6870597649240474,0.6799321799334075
testpattern,0,Q1,3,1,0.05,0.6811576468178395,0.6870597649240474,0.6799321799334075
testpattern,0,Q1,3,1,0.1,0.6761099546185727,0.6870597649240474,0.6799321799334075
testpattern,0,Q1,3,1,0.2,0.668175428245406,0.6870597649240474,0.6799321799334075
testpattern,0,Q1,3,1,0.3,0.6627046655101246,0.6870597649240474,0.6799321799334075
testpattern,0,Q1,3,1,0.4,0.659389567073871,0.6870597649240474,0.6799321799334075
testpattern,0,Q1,3,5,0.0,0.6870597649240474,0.6870597649240474,0.6766688569547871
testpattern,0,Q1,3,5,0.05,0.68176811752353,0.6870597649240474,0.6766688569547871
testpattern,0,Q1,3,5,0.1,0.67727148621045,0.6870597649240474,0.6766688569547871
testpattern,0,Q1,3,5,0.2,0.6702617206615046,0.6870597649240474,0.6766688569547871
testpattern,0,Q1,3,5,0.3,0.6654614124509504,0.6870597649240474,0.6766688569547871
testpattern,0,Q1,3,5,0.4,0.6625340947954999,0.6870597649240474,0.6766688569547871
testpattern,0,Q1,3,10,0.0,0.6870597649240474,0.6870597649240474,0.6823317060197347
testpattern,0,Q1,3,10,0.05,0.6818896740950332,0.6870597649240474,0.6823317060197347
testpattern,0,Q1,3,10,0.1,0.6775491719186124,0.6870597649240474,0.6823317060197347
testpattern,0,Q1,3,10,0.2,0.6709257332143616,0.6870597649240474,0.6823317060197347
testpattern,0,Q1,3,10,0.3,0.666583075302209,0.6870597649240474,0.6823317060197347
testpattern,0,Q1,3,10,0.4,0.6641672301936072,0.6870597649240474,0.6823317060197347
testpattern,0,Q1,7,1,0.0,0.6870597649240474,0.6870597649240474,0.6677970950494552
testpattern,0,Q1,7,1,0.05,0.6812661883031348,0.6870597649240474,0.6677970950494552
testpattern,0,Q1,7,1,0.1,0.6762206705636313,0.6870597649240474,0.6677970950494552
testpattern,0,Q1,7,1,0.2,0.6680166564370804,0.6870597649240474,0.6677970950494552
testpattern,0,Q1,7,1,0.3,0.6619589342685328,0.6870597649240474,0.6677970950494552
testpattern,0,Q1,7,1,0.4,0.6577750234711224,0.6870597649240474,0.6677970950494552
testpattern,0,Q1,7,5,0.0,0.6870597649240474,0.6870597649240474,0.6682286146015182
testpattern,0,Q1,7,5,0.05,0.6817353218412747,0.6870597649240474,0.6682286146015182
testpattern,0,Q1,7,5,0.1,0.6771421046627779,0.6870597649240474,0.6682286146015182
testpattern,0,Q1,7,5,0.2,0.6697871039666441,0.6870597649240474,0.6682286146015182
testpattern,0,Q1,7,5,0.3,0.664475404219988,0.6870597649240474,0.6682286146015182
testpattern,0,Q1,7,5,0.4,0.660893590932754,0.6870597649240474,0.6682286146015182
testpattern,0,Q1,7,10,0.0,0.6870597649240474,0.6870597649240474,0.6749071337300664
testpattern,0,Q1,7,10,0.05,0.6818642360848498,0.6870597649240474,0.6749071337300664
testpattern,0,Q1,7,10,0.1,0.6774423257605126,0.6870597649240474,0.6749071337300664
testpattern,0,Q1,7,10,0.2,0.6705253076231332,0.6870597649240474,0.6749071337300664
testpattern,0,Q1,7,10,0.3,0.6657466146825329,0.6870597649240474,0.6749071337300664
testpattern,0,Q1,7,10,0.4,0.6627704877005772,0.6870597649240474,0.6749071337300664
testpattern,0,Q1,14,1,0.0,0.6870597649240474,0.6870597649240474,0.6599891182335434
testpattern,0,Q1,14,1,0.05,0.6817670334649417,0.6870597649240474,0.6599891182335434
testpattern,0,Q1,14,1,0.1,0.6771080984446868,0.6870597649240474,0.6599891182335434
testpattern,0,Q1,14,1,0.2,0.6693731724032513,0.6870597649240474,0.6599891182335434
testpattern,0,Q1,14,1,0.3,0.6634187537578742,0.6870597649240474,0.6599891182335434
testpattern,0,Q1,14,1,0.4,0.6589991060658714,0.6870597649240474,0.6599891182335434
testpattern,0,Q1,14,5,0.0,0.6870597649240474,0.6870597649240474,0.6625632504380755
testpattern,0,Q1,14,5,0.05,0.6818863088981835,0.6870597649240474,0.6625632504380755
testpattern,0,Q1,14,5,0.1,0.6773782831154395,0.6870597649240474,0.6625632504380755
testpattern,0,Q1,14,5,0.2,0.67002632150058,0.6870597649240474,0.6625632504380755
testpattern,0,Q1,14,5,0.3,0.6645258467322994,0.6870597649240474,0.6625632504380755
testpattern,0,Q1,14,5,0.4,0.6605860777520665,0.6870597649240474,0.6625632504380755
testpattern,0,Q1,14,10,0.0,0.6870597649240474,0.6870597649240474,0.6690806924393571
testpattern,0,Q1,14,10,0.05,0.6819392567381519,0.6870597649240474,0.6690806924393571
testpattern,0,Q1,14,10,0.1,0.6775362800363551,0.6870597649240474,0.6690806924393571
testpattern,0,Q1,14,10,0.2,0.670518689676366,0.6870597649240474,0.6690806924393571
testpattern,0,Q1,14,10,0.3,0.6654828485679606,0.6870597649240474,0.6690806924393571
testpattern,0,Q1,14,10,0.4,0.6621110279514887,0.6870597649240474,0.6690806924393571
testpattern,0,Q1,30,1,0.0,0.6870597649240474,0.6870597649240474,0.6651492085691397
testpattern,0,Q1,30,1,0.05,0.6825232417032939,0.6870597649240474,0.6651492085691397
testpattern,0,Q1,30,1,0.1,0.6785569798903106,0.6870597649240474,0.6651492085691397
testpattern,0,Q1,30,1,0.2,0.6720350891297189,0.6870597649240474,0.6651492085691397
testpattern,0,Q1,30,1,0.3,0.6670822386317589,0.6870597649240474,0.6651492085691397
testpattern,0,Q1,30,1,0.4,0.6634657810142591,0.6870597649240474,0.6651492085691397
testpattern,0,Q1,30,5,0.0,0.6870597649240474,0.6870597649240474,0.6632641573086542
testpattern,0,Q1,30,5,0.05,0.6823153791657721,0.6870597649240474,0.6632641573086542
testpattern,0,Q1,30,5,0.1,0.6781744300895396,0.6870597649240474,0.6632641573086542
testpattern,0,Q1,30,5,0.2,0.6713965266942448,0.6870597649240474,0.6632641573086542
testpattern,0,Q1,30,5,0.3,0.6662871807929253,0.6870597649240474,0.6632641573086542
testpattern,0,Q1,30,5,0.4,0.6625805292710253,0.6870597649240474,0.6632641573086542
testpattern,0,Q1,30,10,0.0,0.6870597649240474,0.6870597649240474,0.6668801006859776
testpattern,0,Q1,30,10,0.05,0.68221773791453,0.6870597649240474,0.6668801006859776
testpattern,0,Q1,30,10,0.1,0.6780306736172315,0.6870597649240474,0.6668801006859776
testpattern,0,Q1,30,10,0.2,0.6712891767270491,0.6870597649240474,0.6668801006859776
testpattern,0,Q1,30,10,0.3,0.666354997190696,0.6870597649240474,0.6668801006859776
testpattern,0,Q1,30,10,0.4,0.6629344772221649,0.6870597649240474,0.6668801006859776
testpattern,0,Q2,3,1,0.0,0.7937430169835941,0.7937430169835941,0.629504787826802
testpattern,0,Q2,3,1,0.05,0.769697062974014,0.7937430169835941,0.629504787826802
testpattern,0,Q2,3,1,0.1,0.7512502536385132,0.7937430169835941,0.629504787826802
testpattern,0,Q2,3,1,0.2,0.7224223644472115,0.7937430169835941,0.629504787826802
testpattern,0,Q2,3,1,0.3,0.6999787438438467,0.7937430169835941,0.629504787826802
testpattern,0,Q2,3,1,0.4,0.6817919802871275,0.7937430169835941,0.629504787826802
testpattern,0,Q2,3,5,0.0,0.7937430169835941,0.7937430169835941,0.6498104797443585
testpattern,0,Q2,3,5,0.05,0.7723391594123143,0.7937430169835941,0.6498104797443585
testpattern,0,Q2,3,5,0.1,0.7561730425286746,0.7937430169835941,0.6498104797443585
testpattern,0,Q2,3,5,0.2,0.7312819147172664,0.7937430169835941,0.6498104797443585
testpattern,0,Q2,3,5,0.3,0.7121313629024947,0.7937430169835941,0.6498104797443585
testpattern,0,Q2,3,5,0.4,0.6966887604841928,0.7937430169835941,0.6498104797443585
testpattern,0,Q2,3,10,0.0,0.7937430169835941,0.7937430169835941,0.6619490007867846
testpattern,0,Q2,3,10,0.05,0.7731439764711102,0.7937430169835941,0.6619490007867846
testpattern,0,Q2,3,10,0.1,0.7577129848056798,0.7937430169835941,0.6619490007867846
testpattern,0,Q2,3,10,0.2,0.7341975497157159,0.7937430169835941,0.6619490007867846
testpattern,0,Q2,3,10,0.3,0.7163410734088952,0.7937430169835941,0.6619490007867846
testpattern,0,Q2,3,10,0.4,0.7021335655680807,0.7937430169835941,0.6619490007867846
testpattern,0,Q2,7,1,0.0,0.7937430169835941,0.7937430169835941,0.634934416794104
testpattern,0,Q2,7,1,0.05,0.7697946436737821,0.7937430169835941,0.634934416794104
testpattern,0,Q2,7,1,0.1,0.7515488951831103,0.7937430169835941,0.634934416794104
testpattern,0,Q2,7,1,0.2,0.7231496412062738,0.7937430169835941,0.634934416794104
testpattern,0,Q2,7,1,0.3,0.7011432744354923,0.7937430169835941,0.634934416794104
testpattern,0,Q2,7,1,0.4,0.6834124769261184,0.7937430169835941,0.634934416794104
testpattern,0,Q2,7,5,0.0,0.7937430169835941,0.7937430169835941,0.6427763446123166
testpattern,0,Q2,7,5,0.05,0.7718354758620977,0.7937430169835941,0.6427763446123166
testpattern,0,Q2,7,5,0.1,0.755240837478241,0.7937430169835941,0.6427763446123166
testpattern,0,Q2,7,5,0.2,0.7295373219183957,0.7937430169835941,0.6427763446123166
testpattern,0,Q2,7,5,0.3,0.70961284500698,0.7937430169835941,0.6427763446123166
testpattern,0,Q2,7,5,0.4,0.6934326625357129,0.7937430169835941,0.6427763446123166
testpattern,0,Q2,7,10,0.0,0.7937430169835941,0.7937430169835941,0.6538272702407798
testpattern,0,Q2,7,10,0.05,0.77268676490999,0.7937430169835941,0.6538272702407798
testpattern,0,Q2,7,10,0.1,0.7568437449664873,0.7937430169835941,0.6538272702407798
testpattern,0,Q2,7,10,0.2,0.7325214011522271,0.7937430169835941,0.6538272702407798
