target,subset,k,C,avg_logloss,chrono_last_20,chrono_last_25,chrono_last_30,n_cols
Q1,semantic_only,50,0.03,0.6337353494261964,0.6129752871032171,0.6473999950166149,0.6408307661587569,260
Q1,semantic_only,50,0.01,0.6350743588371145,0.6149638242376942,0.6470267502994659,0.6432325019741834,260
Q1,semantic_only,50,0.003,0.6362845136103457,0.6241431141014764,0.6421010757599684,0.6426093509695923,260
Q1,semantic_only,50,0.001,0.6380403839727357,0.6307522073002406,0.6413856261225224,0.641983318495444,260
Q1,semantic_only,50,0.0005,0.6390010423397773,0.632651028456994,0.642151048392953,0.6422010501693847,260
Q1,qstate_plus_semantic,80,0.0005,0.6391987376451561,0.6373868566360956,0.640400956370257,0.6398083999291158,1202
Q1,semantic_only,80,0.001,0.6400544834299778,0.6229320481846871,0.6503729369454988,0.6468584651597475,260
Q1,semantic_only,80,0.0005,0.6401629769775726,0.6270699416398966,0.6489695314453062,0.644449457847515,260
Q1,semantic_only,80,0.003,0.640210181944182,0.6147590134686424,0.6543464845712567,0.6515250477926469,260
Q1,semantic_only,20,0.0005,0.6410215914081698,0.6326352261445876,0.6457098726853991,0.6447196753945228,260
Q1,semantic_only,10,0.001,0.6411720641992208,0.628968657635985,0.6477553055317434,0.6467922294299343,260
Q1,qstate_plus_semantic,120,0.0005,0.6416016969024144,0.637359174967084,0.6456255921933195,0.6418203235468397,1202
Q1,semantic_only,30,0.0005,0.6416285604379689,0.6343877159609369,0.6467637275472318,0.6437342378057379,260
Q1,semantic_only,20,0.001,0.6420003421511709,0.6322112915099868,0.6474481221469653,0.6463416127965604,260
Q1,semantic_only,200,0.0005,0.6428935576092187,0.6373369692215917,0.65415260490022,0.6371910987058446,260
Q1,semantic_only,30,0.001,0.6430242892316229,0.6347671836726685,0.6493776776570795,0.6449280063651208,260
Q1,semantic_only,50,0.1,0.6432789111300219,0.6214607542384263,0.6632692960889338,0.6451066830627055,260
Q1,semantic_only,80,0.01,0.6434212708291703,0.6109897857904693,0.6615615845021441,0.6577124421948977,260
Q1,semantic_only,120,0.0005,0.6434722323343837,0.6385621150198474,0.6482308336806992,0.643623748302604,260
Q1,semantic_only,10,0.0005,0.6436194029208974,0.6311022506198807,0.6499415528963589,0.6498144052464525,260
Q1,semantic_only,10,0.003,0.6455727235858763,0.6277176407011591,0.6560699395115005,0.6529305905449693,260
Q1,semantic_only,200,0.001,0.6468272774736477,0.6414008352266646,0.6580447635356282,0.6410362336586503,260
Q1,semantic_only,120,0.001,0.6470564003818717,0.642868217164895,0.6512798616576831,0.647021122323037,260
Q1,q1x_only,30,0.003,0.6473385611423578,0.6515082563918567,0.6525896490114165,0.6379177780238,438
Q1,qstate_plus_semantic,200,0.0005,0.648574583228486,0.6510614535857102,0.6465791085180089,0.6480831875817391,1202
Q1,semantic_only,20,0.003,0.6488199239427918,0.63348649386759,0.6575259343469341,0.6554473436138512,260
Q1,qstate_plus_semantic,80,0.001,0.6489978776855995,0.6513919600708239,0.6491114375495728,0.6464902354364017,1202
Q1,qstate_plus_semantic,50,0.0005,0.6493680359635392,0.6452086915552095,0.6522662088018547,0.6506292075335532,1202
Q1,semantic_only,30,0.003,0.6500120361170014,0.6369889310552442,0.6605139241106932,0.6525332531850669,260
Q1,no_flat_hourly,20,0.001,0.6502010640312842,0.6462972684588678,0.648949661355754,0.6553562622792306,604
Q1,semantic_only,80,0.03,0.6514202410868654,0.6182975598277269,0.6736221751149443,0.6623409883179249,260
Q1,q1x_only,30,0.001,0.6517614982411252,0.6517743141775938,0.6553992786608237,0.648110901884958,438
Q1,qstate_plus_semantic,120,0.001,0.6519075269919368,0.6504706192914645,0.6564411758671163,0.6488107858172295,1202
Q1,semantic_only,120,0.003,0.6521821271397149,0.6488002636394893,0.6548399013107487,0.6529062164689065,260
Q1,no_flat_hourly,20,0.0005,0.6530484292105837,0.6508443849208828,0.6504774203899732,0.6578234823208954,604
Q1,qstate_plus_semantic,30,0.0005,0.6534833375873076,0.6480595461441743,0.6555639415743696,0.6568265250433792,1202
Q1,qstate_plus_semantic,30,0.001,0.6541316985306412,0.6485447626259431,0.6562079414746224,0.6576423914913583,1202
Q1,no_flat_hourly,20,0.003,0.6544476890961913,0.6464780147882585,0.6573954514282291,0.6594696010720865,604
