file,target,rows,keys_ok,no_na,min_prob,max_prob,mean_prob,std_prob,mean_abs_vs_anchor,max_abs_vs_anchor,mean_abs_vs_model,changed_rows
submission_cl_catboost_state_proto_confirmed_safe_prob.csv,Q1,250,True,True,0.057277010570104446,0.902214660257736,0.5118548711475644,0.1712095615083082,0.007158859637165019,0.028219493018537045,0.13601833310613531,250
submission_cl_catboost_state_proto_confirmed_safe_prob.csv,Q2,250,True,True,0.11742396253050438,0.7720309211356737,0.5384296475419184,0.10409103724282102,0.020833484205454684,0.07512697950048253,0.14583438943818278,250
submission_cl_catboost_state_proto_confirmed_safe_prob.csv,Q3,250,True,True,0.41575086918584236,0.7368226994741391,0.6108419766021893,0.07326622066723402,0.04557020365522307,0.15128759979610773,0.13671061096566922,250
submission_cl_catboost_state_proto_confirmed_safe_prob.csv,S1,250,True,True,0.31751924512888924,0.9241357545329729,0.6836444777801963,0.14795199032462425,0.030068620798197842,0.13538130522120317,0.09020586239459352,250
submission_cl_catboost_state_proto_confirmed_safe_prob.csv,S2,250,True,True,0.3156631360876309,0.9399406983396162,0.6064967601469139,0.17369955191592623,0.03341514722935044,0.09852195345064335,0.10024544168805134,250
submission_cl_catboost_state_proto_confirmed_safe_prob.csv,S3,250,True,True,0.21671912151928022,0.97,0.6488774391835913,0.19331080877286644,0.015735178574148845,0.05520425995171008,0.1099364770773852,250
submission_cl_catboost_state_proto_confirmed_safe_prob.csv,S4,250,True,True,0.08402011994393832,0.9355709132389305,0.5559197153358413,0.1967089622552918,0.019771111076714486,0.08632592531081357,0.1383977775370014,250
submission_cl_catboost_state_proto_target_focus_prob.csv,Q1,250,True,True,0.05898713774043665,0.9005150080570605,0.5110040129885886,0.17054773152433042,0.0021428697775693925,0.0044331230172351965,0.14303651038828888,250
submission_cl_catboost_state_proto_target_focus_prob.csv,Q2,250,True,True,0.09887870998186624,0.8024292237358492,0.5322577775335273,0.1051032532036539,0.008346944986573759,0.03448355612956441,0.1584451170504319,250
submission_cl_catboost_state_proto_target_focus_prob.csv,Q3,250,True,True,0.3910071205540146,0.7672360409566187,0.6119168716495282,0.0893589818852035,0.06794042656964269,0.22954906269653852,0.11440455237705786,250
submission_cl_catboost_state_proto_target_focus_prob.csv,S1,250,True,True,0.29916064132801173,0.9273631127319292,0.683768863317102,0.15416265243875452,0.04907871737148443,0.23050651917130305,0.07134532395099771,250
submission_cl_catboost_state_proto_target_focus_prob.csv,S2,250,True,True,0.29936846563002295,0.937139155171456,0.6087823097923856,0.17258103184358636,0.04457203115870442,0.13295467703312686,0.08914440167753292,250
submission_cl_catboost_state_proto_target_focus_prob.csv,S3,250,True,True,0.2309940301256902,0.97,0.6501920127168831,0.18942314041621508,0.0026245918813954505,0.006414951002767677,0.1258277369919248,250
submission_cl_catboost_state_proto_target_focus_prob.csv,S4,250,True,True,0.08069423643182295,0.93762958941245,0.55458344334422,0.19814055476919268,0.013735902696001471,0.059267251895416095,0.14461793380144727,250
submission_cl_catboost_state_proto_sleep_state_prob.csv,Q1,250,True,True,0.06885147128110274,0.8878306755180367,0.5107393971409818,0.16276350942248788,0.009745171113509485,0.02976654574246579,0.1385443888348682,250
submission_cl_catboost_state_proto_sleep_state_prob.csv,Q2,250,True,True,0.10751879037802636,0.7875546051457241,0.5336398850642885,0.10104317912078276,0.014618226119129146,0.04738663041663585,0.1530991533488098,250
submission_cl_catboost_state_proto_sleep_state_prob.csv,Q3,250,True,True,0.3260619723450368,0.8151515150060195,0.6138251848913806,0.10538855297033539,0.08410632723773452,0.31824530259419603,0.09859882520500637,250
submission_cl_catboost_state_proto_sleep_state_prob.csv,S1,250,True,True,0.271167314768502,0.9301780273437619,0.6819255878640664,0.1563358893441396,0.05628039815389763,0.212009744394696,0.06598793629277455,250
submission_cl_catboost_state_proto_sleep_state_prob.csv,S2,250,True,True,0.27181907607518163,0.9280217882691811,0.6111998742078879,0.17235340114938538,0.05533960852122007,0.18205254624592782,0.07945989782512454,250
submission_cl_catboost_state_proto_sleep_state_prob.csv,S3,250,True,True,0.23585249615567666,0.9673206322781913,0.6443447495262123,0.18583527363560498,0.013239474021031653,0.039263320263732915,0.11646933781966655,250
submission_cl_catboost_state_proto_sleep_state_prob.csv,S4,250,True,True,0.09415417029482344,0.9261426115609876,0.5536418518743581,0.18749925338086265,0.028117700403255477,0.11673120201724863,0.1317509927296962,250
submission_cl_catboost_state_proto_target_focus_eventpatch_prob.csv,Q1,250,True,True,0.05898713774043665,0.9005150080570605,0.5110040129885886,0.17054773152433042,0.0021428697775693925,0.0044331230172351965,0.14303651038828888,250
submission_cl_catboost_state_proto_target_focus_eventpatch_prob.csv,Q2,250,True,True,0.09887870998186624,0.8024292237358492,0.5322577775335273,0.1051032532036539,0.008346944986573759,0.03448355612956441,0.1584451170504319,250
submission_cl_catboost_state_proto_target_focus_eventpatch_prob.csv,Q3,250,True,True,0.3752209866010838,0.7841829959848056,0.61157497239266,0.09585365783434947,0.07388304413657198,0.26710919634532776,0.10846193481012861,250
submission_cl_catboost_state_proto_target_focus_eventpatch_prob.csv,S1,250,True,True,0.28631309226856716,0.9273631127319292,0.6838055849828031,0.15596241555121554,0.052549202647133225,0.25538801530838384,0.06787483867534891,250
submission_cl_catboost_state_proto_target_focus_eventpatch_prob.csv,S2,250,True,True,0.28743907755871895,0.937139155171456,0.6104915834928438,0.17331488562907935,0.04845784656916489,0.1538453279746827,0.08525858626707244,250
submission_cl_catboost_state_proto_target_focus_eventpatch_prob.csv,S3,250,True,True,0.2309940301256902,0.97,0.6501920127168831,0.18942314041621508,0.0026245918813954505,0.006414951002767677,0.1258277369919248,250
submission_cl_catboost_state_proto_target_focus_eventpatch_prob.csv,S4,250,True,True,0.08069423643182295,0.93762958941245,0.55458344334422,0.19814055476919268,0.013735902696001471,0.059267251895416095,0.14461793380144727,250
