target,source_a,source_b,joint_info_bits,max_single_info_bits,extra_over_best_single_bits,n_groups
Q1,subject,other_labels,0.25196153072059035,0.13451213891105118,0.11744939180953917,203
Q1,prevnext,other_labels,0.20150355348864724,0.13451213891105118,0.06699141457759605,172
Q1,subject,prevnext,0.14086600063996602,0.08105309687496531,0.0598129037650007,58
Q1,state,prevnext,0.44598104577947484,0.43778205988112506,0.008198985898349775,22
Q1,subject,state,0.4366205942924598,0.43778205988112506,-0.0011614655886652558,30
Q1,state,other_labels,0.4319072103284808,0.43778205988112506,-0.005874849552644279,66
Q2,subject,other_labels,0.23501869617883575,0.11748869443013854,0.11753000174869721,205
Q2,prevnext,other_labels,0.19982138421130646,0.11748869443013854,0.08233268978116792,164
Q2,subject,prevnext,0.18126531723911188,0.11707702389142716,0.06418829334768472,60
Q2,subject,state,0.11506000208404077,0.056265891725104655,0.058794110358936114,30
Q2,state,other_labels,0.1359766978258754,0.11748869443013854,0.018488003395736863,56
Q2,state,prevnext,0.1343600573256849,0.11707702389142716,0.017283033434257744,22
Q3,subject,other_labels,0.22896317825544665,0.11571292557604085,0.1132502526794058,202
Q3,prevnext,other_labels,0.22229784980553413,0.11571292557604085,0.10658492422949328,161
Q3,subject,state,0.08595695454781227,0.04323173425530702,0.04272522029250525,30
Q3,subject,prevnext,0.13980486533148828,0.10646091548840864,0.033343949843079645,60
Q3,state,other_labels,0.13283412366400826,0.11571292557604085,0.017121198087967415,56
Q3,state,prevnext,0.11959678218636316,0.10646091548840864,0.013135866697954524,22
S1,subject,state,0.3398243240255575,0.2270456152316952,0.11277870879386231,30
S1,subject,other_labels,0.27984704487215206,0.21510111779486496,0.0647459270772871,222
S1,state,other_labels,0.2596140096442081,0.2270456152316952,0.03256839441251291,63
S1,state,prevnext,0.2577130183982086,0.2270456152316952,0.030667403166513396,21
S1,subject,prevnext,0.12962621603487234,0.10095314854075366,0.028673067494118687,57
S1,prevnext,other_labels,0.23773566798548673,0.21510111779486496,0.02263455019062177,174
S2,subject,prevnext,0.18715312937429163,0.13239268049510533,0.054760448879186296,58
S2,prevnext,other_labels,0.3217870668203463,0.34504496115753003,-0.023257894337183727,189
S2,subject,other_labels,0.29760610885964245,0.34504496115753003,-0.04743885229788758,230
S2,state,prevnext,0.8082381449291856,0.8869945046817067,-0.07875635975252115,21
S2,subject,state,0.7518419166352837,0.8869945046817067,-0.13515258804642305,30
S2,state,other_labels,0.5843745598917854,0.8869945046817067,-0.30261994478992127,94
S3,subject,state,0.2480093245301752,0.1781084396689394,0.0699008848612358,30
S3,subject,other_labels,0.23468157776858767,0.1781084396689394,0.05657313809964826,210
S3,prevnext,other_labels,0.208279797081527,0.15475716222923852,0.053522634852288475,165
S3,state,other_labels,0.19351892172100327,0.15475716222923852,0.03876175949176475,63
S3,state,prevnext,0.18011217877075325,0.14428471814315658,0.035827460627596674,23
S3,subject,prevnext,0.1914324449839434,0.1781084396689394,0.013324005315003995,57
S4,subject,state,0.2468384763957837,0.1779979802833226,0.06884049611246112,30
S4,subject,other_labels,0.24037554463667143,0.18839431020163988,0.051981234435031554,211
S4,state,other_labels,0.22975408639914552,0.18839431020163988,0.04135977619750564,62
S4,subject,prevnext,0.12460920252497576,0.09064942936745213,0.03395977315752363,60
S4,state,prevnext,0.20767390395444718,0.1779979802833226,0.029675923671124593,22
S4,prevnext,other_labels,0.2147815803704528,0.18839431020163988,0.026387270168812926,172
