split,seed,target,method,logloss,auc,n,pos_rate
testpattern,0,Q1,global,0.6945881629048205,0.5,250,0.508
testpattern,0,Q1,subject_mean,0.6845761944129217,0.5962486396517509,250,0.508
testpattern,0,Q1,prev1,1.457462367102943,0.6298572434543243,250,0.508
testpattern,0,Q1,next1,1.5837594126338002,0.564944625824211,250,0.508
testpattern,0,Q1,nearest,1.5302289829844424,0.6124767940592792,250,0.508
testpattern,0,Q1,prevnext_mean,0.9357845925631988,0.6573202739901415,250,0.508
testpattern,0,Q1,linear_interp,1.0945201422300979,0.6548236348505218,250,0.508
testpattern,0,Q1,past_exp_tau7,0.7725730224006293,0.681454452339799,250,0.508
testpattern,0,Q1,past_exp_tau30,0.7480487023172507,0.6219832277062929,250,0.508
testpattern,0,Q1,both_exp_tau7,0.7322458598663011,0.6465015043851225,250,0.508
testpattern,0,Q1,both_exp_tau30,0.6705188700437825,0.6255041290570386,250,0.508
testpattern,0,Q1,both_exp_tau7_alpha5,0.6682286146015182,0.6412521605531016,250,0.508
testpattern,0,Q1,local3_mean,0.9206207751278688,0.6242558094872288,250,0.508
testpattern,0,Q2,global,0.6837240584134213,0.5,250,0.572
testpattern,0,Q2,subject_mean,0.6917964879717426,0.5690150970524802,250,0.572
testpattern,0,Q2,prev1,1.2718116426241217,0.6683876870792759,250,0.572
testpattern,0,Q2,next1,1.4394450528542337,0.5788510554865696,250,0.572
testpattern,0,Q2,nearest,1.3901234522524597,0.6287824325207503,250,0.572
testpattern,0,Q2,prevnext_mean,0.8354576155358562,0.6828311875040847,250,0.572
testpattern,0,Q2,linear_interp,0.977016818845508,0.6762303117443305,250,0.572
testpattern,0,Q2,past_exp_tau7,0.776118160681375,0.6519181752826612,250,0.572
testpattern,0,Q2,past_exp_tau30,0.7456200911920771,0.5950918240637867,250,0.572
testpattern,0,Q2,both_exp_tau7,0.7080170102177292,0.647474021305797,250,0.572
testpattern,0,Q2,both_exp_tau30,0.6583703379271669,0.6238807921050912,250,0.572
testpattern,0,Q2,both_exp_tau7_alpha5,0.6427763446123166,0.666296320501928,250,0.572
testpattern,0,Q2,local3_mean,0.763998306441563,0.6406444023266453,250,0.572
testpattern,0,Q3,global,0.6682519694965013,0.5,250,0.62
testpattern,0,Q3,subject_mean,0.6576510717679049,0.6042784380305602,250,0.62
testpattern,0,Q3,prev1,1.4279417218592667,0.6011544991511035,250,0.62
testpattern,0,Q3,next1,1.1438346628886094,0.6737521222410867,250,0.62
testpattern,0,Q3,nearest,1.2967197650978048,0.6438030560271647,250,0.62
testpattern,0,Q3,prevnext_mean,0.7619185040043005,0.6939219015280136,250,0.62
testpattern,0,Q3,linear_interp,0.8927945707229791,0.6964006791171478,250,0.62
testpattern,0,Q3,past_exp_tau7,0.7777053741094911,0.6298132427843802,250,0.62
testpattern,0,Q3,past_exp_tau30,0.7053952342749346,0.60553480475382,250,0.62
testpattern,0,Q3,both_exp_tau7,0.6596973768804735,0.6778607809847199,250,0.62
testpattern,0,Q3,both_exp_tau30,0.6295371488677495,0.6570458404074703,250,0.62
testpattern,0,Q3,both_exp_tau7_alpha5,0.6323621638891689,0.677962648556876,250,0.62
testpattern,0,Q3,local3_mean,0.7737344679947815,0.6449575551782682,250,0.62
testpattern,0,S1,global,0.6104791300546272,0.5,250,0.712
testpattern,0,S1,subject_mean,0.5548375089177447,0.6931569912609239,250,0.712
testpattern,0,S1,prev1,1.538352461241956,0.5657771535580525,250,0.712
testpattern,0,S1,next1,1.3737106463311097,0.6037375156054932,250,0.712
testpattern,0,S1,nearest,1.5302289829844424,0.574516229712859,250,0.712
testpattern,0,S1,prevnext_mean,0.8309124646130979,0.6355337078651686,250,0.712
testpattern,0,S1,linear_interp,0.9932345395015961,0.6325686641697877,250,0.712
testpattern,0,S1,past_exp_tau7,0.6574685012529082,0.6621020599250936,250,0.712
testpattern,0,S1,past_exp_tau30,0.6071845649330894,0.6750936329588015,250,0.712
testpattern,0,S1,both_exp_tau7,0.6186022164243595,0.6754057428214733,250,0.712
testpattern,0,S1,both_exp_tau30,0.5487082313313348,0.7082553058676655,250,0.712
testpattern,0,S1,both_exp_tau7_alpha5,0.5716840612851598,0.7101279650436955,250,0.712
testpattern,0,S1,local3_mean,0.6767823859888993,0.6393960674157303,250,0.712
testpattern,0,S2,global,0.6355457412077681,0.5,250,0.688
testpattern,0,S2,subject_mean,0.555091050743047,0.7205575432319619,250,0.688
testpattern,0,S2,prev1,1.5046583842811465,0.608154442456768,250,0.688
testpattern,0,S2,next1,1.3424471005286969,0.5889236732259988,250,0.688
testpattern,0,S2,nearest,1.6236326701390977,0.5604502087060227,250,0.688
testpattern,0,S2,prevnext_mean,0.8542183710804685,0.6471377459749553,250,0.688
testpattern,0,S2,linear_interp,1.1062730618550034,0.6216830649970184,250,0.688
testpattern,0,S2,past_exp_tau7,0.6078616015905531,0.7180605247465711,250,0.688
testpattern,0,S2,past_exp_tau30,0.5721663118279302,0.7262224209898629,250,0.688
testpattern,0,S2,both_exp_tau7,0.620686548504682,0.6997987477638639,250,0.688
testpattern,0,S2,both_exp_tau30,0.5383382311565804,0.7569320214669052,250,0.688
testpattern,0,S2,both_exp_tau7_alpha5,0.5822066480538315,0.732334525939177,250,0.688
testpattern,0,S2,local3_mean,0.6965382083103645,0.7293902802623733,250,0.688
testpattern,0,S3,global,0.6319759010381599,0.5,250,0.676
testpattern,0,S3,subject_mean,0.4978300513646328,0.7989261450799912,250,0.676
testpattern,0,S3,prev1,1.6269790881780481,0.576923076923077,250,0.676
testpattern,0,S3,next1,1.0635174520547874,0.6737891737891738,250,0.676
testpattern,0,S3,nearest,1.5613635453693273,0.588172985608883,250,0.676
testpattern,0,S3,prevnext_mean,0.685553205822667,0.697567389875082,250,0.676
testpattern,0,S3,linear_interp,0.9606183890020761,0.6646942800788955,250,0.676
