fold,target,source_set,n_features,logloss
mirror_v1_seed0,Q1,S2_calendar,14,0.6700641905137962
mirror_v1_seed0,Q1,S3_own_neighbor,12,0.6939635173863512
mirror_v1_seed0,Q1,S4_other_neighbor,22,0.6695080012544649
mirror_v1_seed0,Q1,S5_latent,11,0.6752754012196388
mirror_v1_seed0,Q1,S6_engineered,40,0.7546880228752415
mirror_v1_seed0,Q1,S7_coverage,30,0.7039924724192063
mirror_v1_seed0,Q1,S8_context_tokens,15,0.6825888567984648
mirror_v1_seed0,Q2,S2_calendar,14,0.7157474339492779
mirror_v1_seed0,Q2,S3_own_neighbor,12,0.7245007505554492
mirror_v1_seed0,Q2,S4_other_neighbor,22,0.7528907622958659
mirror_v1_seed0,Q2,S5_latent,11,0.7246721972734623
mirror_v1_seed0,Q2,S6_engineered,40,0.7997093372328882
mirror_v1_seed0,Q2,S7_coverage,30,0.7014847395877138
mirror_v1_seed0,Q2,S8_context_tokens,15,0.7426988621128464
mirror_v1_seed0,Q3,S2_calendar,14,0.7028658017555454
mirror_v1_seed0,Q3,S3_own_neighbor,12,0.7026490026325982
mirror_v1_seed0,Q3,S4_other_neighbor,22,0.7051941014689919
mirror_v1_seed0,Q3,S5_latent,11,0.7007141413031157
mirror_v1_seed0,Q3,S6_engineered,40,0.7946784552734993
mirror_v1_seed0,Q3,S7_coverage,30,0.6997051025949599
mirror_v1_seed0,Q3,S8_context_tokens,15,0.710115831840347
mirror_v1_seed0,S1,S2_calendar,14,0.6205201037529193
mirror_v1_seed0,S1,S3_own_neighbor,12,0.6166425517688611
mirror_v1_seed0,S1,S4_other_neighbor,22,0.6517063822611288
mirror_v1_seed0,S1,S5_latent,11,0.6651329912455151
mirror_v1_seed0,S1,S6_engineered,40,0.7156352859704581
mirror_v1_seed0,S1,S7_coverage,30,0.6274657973487651
mirror_v1_seed0,S1,S8_context_tokens,15,0.6226617341225847
mirror_v1_seed0,S2,S2_calendar,14,0.5830672610228619
mirror_v1_seed0,S2,S3_own_neighbor,12,0.6013667830714349
mirror_v1_seed0,S2,S4_other_neighbor,22,0.6027944798113897
mirror_v1_seed0,S2,S5_latent,11,0.7560787616498109
mirror_v1_seed0,S2,S6_engineered,40,0.64581384057679
mirror_v1_seed0,S2,S7_coverage,30,0.5929862720030163
mirror_v1_seed0,S2,S8_context_tokens,15,0.5972799377075589
mirror_v1_seed0,S3,S2_calendar,14,0.5936020638584858
mirror_v1_seed0,S3,S3_own_neighbor,12,0.6007203101742421
mirror_v1_seed0,S3,S4_other_neighbor,22,0.6137752275631271
mirror_v1_seed0,S3,S5_latent,11,0.6101150199178645
mirror_v1_seed0,S3,S6_engineered,40,0.6535988382588146
mirror_v1_seed0,S3,S7_coverage,30,0.607979664563912
mirror_v1_seed0,S3,S8_context_tokens,15,0.6073846814401285
mirror_v1_seed0,S4,S2_calendar,14,0.6383600712963563
mirror_v1_seed0,S4,S3_own_neighbor,12,0.6287167020521505
mirror_v1_seed0,S4,S4_other_neighbor,22,0.655649225586858
mirror_v1_seed0,S4,S5_latent,11,0.6310030024005812
mirror_v1_seed0,S4,S6_engineered,40,0.7351149217567627
mirror_v1_seed0,S4,S7_coverage,30,0.6468579316260781
mirror_v1_seed0,S4,S8_context_tokens,15,0.6248265425286776
mirror_v1_seed1,Q1,S2_calendar,14,0.6992440156238395
mirror_v1_seed1,Q1,S3_own_neighbor,12,0.6942115239549866
mirror_v1_seed1,Q1,S4_other_neighbor,22,0.7109744910885873
mirror_v1_seed1,Q1,S5_latent,11,0.7118910347504188
mirror_v1_seed1,Q1,S6_engineered,40,0.7529498359403276
mirror_v1_seed1,Q1,S7_coverage,30,0.7406465330923306
mirror_v1_seed1,Q1,S8_context_tokens,15,0.7063716454696116
mirror_v1_seed1,Q2,S2_calendar,14,0.7791237010348439
mirror_v1_seed1,Q2,S3_own_neighbor,12,0.7759434274215873
mirror_v1_seed1,Q2,S4_other_neighbor,22,0.7570983402806277
mirror_v1_seed1,Q2,S5_latent,11,0.7935960045434257
mirror_v1_seed1,Q2,S6_engineered,40,0.8076945376945692
mirror_v1_seed1,Q2,S7_coverage,30,0.7881779874140691
mirror_v1_seed1,Q2,S8_context_tokens,15,0.7702453864018243
mirror_v1_seed1,Q3,S2_calendar,14,0.7573340570301172
mirror_v1_seed1,Q3,S3_own_neighbor,12,0.7568302684668331
mirror_v1_seed1,Q3,S4_other_neighbor,22,0.7440665778429676
mirror_v1_seed1,Q3,S5_latent,11,0.797390563923595
mirror_v1_seed1,Q3,S6_engineered,40,0.8724861230890419
mirror_v1_seed1,Q3,S7_coverage,30,0.7763010254696694
mirror_v1_seed1,Q3,S8_context_tokens,15,0.75854393613374
mirror_v1_seed1,S1,S2_calendar,14,0.5557498246194258
mirror_v1_seed1,S1,S3_own_neighbor,12,0.5523331548592608
mirror_v1_seed1,S1,S4_other_neighbor,22,0.5762422609364425
mirror_v1_seed1,S1,S5_latent,11,0.5601698379196389
mirror_v1_seed1,S1,S6_engineered,40,0.6778649665302606
mirror_v1_seed1,S1,S7_coverage,30,0.6029036952646936
mirror_v1_seed1,S1,S8_context_tokens,15,0.5528577212490239
mirror_v1_seed1,S2,S2_calendar,14,0.5635656685384066
mirror_v1_seed1,S2,S3_own_neighbor,12,0.5621751012544224
mirror_v1_seed1,S2,S4_other_neighbor,22,0.5570254070313977
mirror_v1_seed1,S2,S5_latent,11,0.693821903598653
mirror_v1_seed1,S2,S6_engineered,40,0.664025823677487
mirror_v1_seed1,S2,S7_coverage,30,0.5742146995396092
mirror_v1_seed1,S2,S8_context_tokens,15,0.5524804599290567
mirror_v1_seed1,S3,S2_calendar,14,0.5518186905925397
mirror_v1_seed1,S3,S3_own_neighbor,12,0.541970503422942
mirror_v1_seed1,S3,S4_other_neighbor,22,0.5565895775062556
mirror_v1_seed1,S3,S5_latent,11,0.5575230338191514
mirror_v1_seed1,S3,S6_engineered,40,0.6596396861397968
mirror_v1_seed1,S3,S7_coverage,30,0.581725010143919
mirror_v1_seed1,S3,S8_context_tokens,15,0.5514932285322854
mirror_v1_seed1,S4,S2_calendar,14,0.6222624709276853
mirror_v1_seed1,S4,S3_own_neighbor,12,0.6179457962696199
