split,seed,source,model,k,n,C,blend_w,logloss,auc,base_loss
chrono,chrono_last_20,existing_base_cfg,basecfg,,,,0.0,0.5629569974221492,0.7416666666666667,0.5629569974221492
chrono,chrono_last_20,existing_no_flat,raw,20.0,,0.001,1.0,0.5629569974221492,0.7416666666666667,0.5629569974221492
chrono,chrono_last_20,existing_no_flat,raw,20.0,,0.003,1.0,0.5641576984437754,0.7416666666666667,0.5629569974221492
chrono,chrono_last_20,existing_no_flat,raw,20.0,,0.01,1.0,0.5769096224976819,0.7426470588235294,0.5629569974221492
chrono,chrono_last_20,existing_no_flat,raw,32.0,,0.001,1.0,0.5607216708688609,0.7450980392156863,0.5629569974221492
chrono,chrono_last_20,existing_no_flat,raw,32.0,,0.003,1.0,0.5643831746044211,0.746078431372549,0.5629569974221492
chrono,chrono_last_20,existing_no_flat,raw,32.0,,0.01,1.0,0.5833214783259004,0.7455882352941177,0.5629569974221492
chrono,chrono_last_20,existing_no_flat,raw,48.0,,0.001,1.0,0.5933969942497642,0.7544117647058823,0.5629569974221492
chrono,chrono_last_20,existing_no_flat,raw,48.0,,0.003,1.0,0.5957934267840751,0.7470588235294118,0.5629569974221492
chrono,chrono_last_20,existing_no_flat,raw,48.0,,0.01,1.0,0.6127651586247911,0.7343137254901961,0.5629569974221492
chrono,chrono_last_20,existing_no_flat,raw,64.0,,0.001,1.0,0.5933293925455495,0.7524509803921569,0.5629569974221492
chrono,chrono_last_20,existing_no_flat,raw,64.0,,0.003,1.0,0.596261059961557,0.7392156862745098,0.5629569974221492
chrono,chrono_last_20,existing_no_flat,raw,64.0,,0.01,1.0,0.6145484842666687,0.7279411764705882,0.5629569974221492
chrono,chrono_last_20,existing_no_flat,select_pca,48.0,8.0,0.001,1.0,0.6912286089364463,0.5181372549019607,0.5629569974221492
chrono,chrono_last_20,existing_no_flat,select_pca,48.0,8.0,0.003,1.0,0.6895486309420699,0.5568627450980392,0.5629569974221492
chrono,chrono_last_20,existing_no_flat,select_pca,48.0,16.0,0.001,1.0,0.6898358034596617,0.4818627450980392,0.5629569974221492
chrono,chrono_last_20,existing_no_flat,select_pca,48.0,16.0,0.003,1.0,0.6862497430645815,0.5068627450980392,0.5629569974221492
chrono,chrono_last_20,existing_no_flat,select_pca,48.0,32.0,0.001,1.0,0.7248327560179454,0.45441176470588235,0.5629569974221492
chrono,chrono_last_20,existing_no_flat,select_pca,48.0,32.0,0.003,1.0,0.720237888075101,0.48921568627450984,0.5629569974221492
chrono,chrono_last_20,existing_no_flat,pls_logit,48.0,4.0,0.001,1.0,0.6872783932784935,0.6200980392156863,0.5629569974221492
chrono,chrono_last_20,existing_no_flat,pls_logit,48.0,4.0,0.003,1.0,0.6789941252253933,0.6151960784313725,0.5629569974221492
chrono,chrono_last_20,existing_no_flat,pls_logit,48.0,8.0,0.001,1.0,0.6898474062573458,0.5563725490196079,0.5629569974221492
chrono,chrono_last_20,existing_no_flat,pls_logit,48.0,8.0,0.003,1.0,0.6865635059514541,0.5627450980392157,0.5629569974221492
chrono,chrono_last_20,existing_no_flat,pls_logit,48.0,12.0,0.001,1.0,0.6864078593557721,0.582843137254902,0.5629569974221492
chrono,chrono_last_20,existing_no_flat,pls_logit,48.0,12.0,0.003,1.0,0.6785221243128619,0.5955882352941176,0.5629569974221492
chrono,chrono_last_20,existing_no_flat,select_pca,64.0,8.0,0.001,1.0,0.6808559355842365,0.717156862745098,0.5629569974221492
chrono,chrono_last_20,existing_no_flat,select_pca,64.0,8.0,0.003,1.0,0.6670077077073857,0.717156862745098,0.5629569974221492
chrono,chrono_last_20,existing_no_flat,select_pca,64.0,16.0,0.001,1.0,0.6802323247876765,0.7122549019607843,0.5629569974221492
chrono,chrono_last_20,existing_no_flat,select_pca,64.0,16.0,0.003,1.0,0.66472769022172,0.711764705882353,0.5629569974221492
chrono,chrono_last_20,existing_no_flat,select_pca,64.0,32.0,0.001,1.0,0.7119171330112096,0.7073529411764706,0.5629569974221492
chrono,chrono_last_20,existing_no_flat,select_pca,64.0,32.0,0.003,1.0,0.6895976474583314,0.7151960784313726,0.5629569974221492
chrono,chrono_last_20,existing_no_flat,pls_logit,64.0,4.0,0.001,1.0,0.6862017246371831,0.613235294117647,0.5629569974221492
chrono,chrono_last_20,existing_no_flat,pls_logit,64.0,4.0,0.003,1.0,0.6760461639287766,0.6186274509803922,0.5629569974221492
chrono,chrono_last_20,existing_no_flat,pls_logit,64.0,8.0,0.001,1.0,0.6870905071942279,0.6779411764705883,0.5629569974221492
chrono,chrono_last_20,existing_no_flat,pls_logit,64.0,8.0,0.003,1.0,0.6793446450181878,0.6808823529411764,0.5629569974221492
chrono,chrono_last_20,existing_no_flat,pls_logit,64.0,12.0,0.001,1.0,0.6890522958548898,0.6803921568627451,0.5629569974221492
chrono,chrono_last_20,existing_no_flat,pls_logit,64.0,12.0,0.003,1.0,0.6864813664079192,0.682843137254902,0.5629569974221492
chrono,chrono_last_20,existing_no_flat,select_pca,96.0,8.0,0.001,1.0,0.6777611118332506,0.7377450980392157,0.5629569974221492
chrono,chrono_last_20,existing_no_flat,select_pca,96.0,8.0,0.003,1.0,0.6605000299239729,0.7397058823529412,0.5629569974221492
chrono,chrono_last_20,existing_no_flat,select_pca,96.0,16.0,0.001,1.0,0.6772085118714449,0.7191176470588235,0.5629569974221492
chrono,chrono_last_20,existing_no_flat,select_pca,96.0,16.0,0.003,1.0,0.6590265092984894,0.7142156862745098,0.5629569974221492
chrono,chrono_last_20,existing_no_flat,select_pca,96.0,32.0,0.001,1.0,0.675292093163384,0.7431372549019608,0.5629569974221492
chrono,chrono_last_20,existing_no_flat,select_pca,96.0,32.0,0.003,1.0,0.6572354364470728,0.7470588235294118,0.5629569974221492
chrono,chrono_last_20,existing_no_flat,pls_logit,96.0,4.0,0.001,1.0,0.6856544762548735,0.6872549019607843,0.5629569974221492
chrono,chrono_last_20,existing_no_flat,pls_logit,96.0,4.0,0.003,1.0,0.6747170726004208,0.6852941176470588,0.5629569974221492
chrono,chrono_last_20,existing_no_flat,pls_logit,96.0,8.0,0.001,1.0,0.6848893733447438,0.7102941176470589,0.5629569974221492
chrono,chrono_last_20,existing_no_flat,pls_logit,96.0,8.0,0.003,1.0,0.6730908554680616,0.7112745098039216,0.5629569974221492
chrono,chrono_last_20,existing_no_flat,pls_logit,96.0,12.0,0.001,1.0,0.6849092617482727,0.7274509803921568,0.5629569974221492
chrono,chrono_last_20,existing_no_flat,pls_logit,96.0,12.0,0.003,1.0,0.6746343933103887,0.7294117647058823,0.5629569974221492
chrono,chrono_last_20,combo_existing_dayflat,raw,20.0,,0.001,1.0,0.5627947830933021,0.732843137254902,0.5629569974221492
chrono,chrono_last_20,combo_existing_dayflat,raw,20.0,,0.003,1.0,0.5646481201067242,0.7313725490196078,0.5629569974221492
chrono,chrono_last_20,combo_existing_dayflat,raw,20.0,,0.01,1.0,0.577361037999101,0.7338235294117647,0.5629569974221492
chrono,chrono_last_20,combo_existing_dayflat,raw,32.0,,0.001,1.0,0.5598853739415326,0.7446078431372549,0.5629569974221492
chrono,chrono_last_20,combo_existing_dayflat,raw,32.0,,0.003,1.0,0.5625437507178277,0.7455882352941177,0.5629569974221492
chrono,chrono_last_20,combo_existing_dayflat,raw,32.0,,0.01,1.0,0.5779159922649639,0.7495098039215686,0.5629569974221492
