target,subset,k,C,feature
Q2,human_all,15,0.01,human_day_steps
Q2,human_all,15,0.01,human_day_dist
Q2,human_all,15,0.01,human_late_light
Q2,human_all,15,0.01,human_night_light
Q2,human_all,15,0.01,human_q2_light_screen_arousal
Q2,human_all,15,0.01,human_q2_tired_but_wired_prev7_std
Q2,human_all,15,0.01,human_q2_tired_but_wired_prev30_std
Q2,human_all,15,0.01,human_q2_light_screen_arousal_prev3_mean
Q2,human_all,15,0.01,human_q2_tired_but_wired_subj_z_all_prev7_std
Q2,human_all,15,0.01,human_q2_tired_but_wired_subj_z_all_prev14_mean
Q2,human_all,15,0.01,human_q2_tired_but_wired_subj_z_all_prev30_std
Q2,human_all,15,0.01,human_q2_light_screen_arousal_subj_z_all_prev7_std
Q2,human_all,15,0.01,human_q2_light_screen_arousal_subj_z_all_prev30_std
Q2,human_all,15,0.01,human_s2_rhythm_late_subj_z_all_prev7_std
Q2,human_all,15,0.01,human_s2_rhythm_late_subj_z_all_prev30_std
Q2,human_all,15,0.03,human_day_steps
Q2,human_all,15,0.03,human_day_dist
Q2,human_all,15,0.03,human_late_light
Q2,human_all,15,0.03,human_night_light
Q2,human_all,15,0.03,human_q2_light_screen_arousal
Q2,human_all,15,0.03,human_q2_tired_but_wired_prev7_std
Q2,human_all,15,0.03,human_q2_tired_but_wired_prev30_std
Q2,human_all,15,0.03,human_q2_light_screen_arousal_prev3_mean
Q2,human_all,15,0.03,human_q2_tired_but_wired_subj_z_all_prev7_std
Q2,human_all,15,0.03,human_q2_tired_but_wired_subj_z_all_prev14_mean
Q2,human_all,15,0.03,human_q2_tired_but_wired_subj_z_all_prev30_std
Q2,human_all,15,0.03,human_q2_light_screen_arousal_subj_z_all_prev7_std
Q2,human_all,15,0.03,human_q2_light_screen_arousal_subj_z_all_prev30_std
Q2,human_all,15,0.03,human_s2_rhythm_late_subj_z_all_prev7_std
Q2,human_all,15,0.03,human_s2_rhythm_late_subj_z_all_prev30_std
Q2,human_all,30,0.01,human_day_steps
Q2,human_all,30,0.01,human_day_dist
Q2,human_all,30,0.01,human_late_screen
Q2,human_all,30,0.01,human_late_light
Q2,human_all,30,0.01,human_night_light
Q2,human_all,30,0.01,human_q2_light_screen_arousal
Q2,human_all,30,0.01,human_q2_physical_load_prev14_mean
Q2,human_all,30,0.01,human_q2_physical_load_prev30_mean
Q2,human_all,30,0.01,human_q2_physical_load_prev30_std
Q2,human_all,30,0.01,human_q2_evening_no_recovery_prev7_std
Q2,human_all,30,0.01,human_q2_tired_but_wired_prev7_std
Q2,human_all,30,0.01,human_q2_tired_but_wired_prev30_std
Q2,human_all,30,0.01,human_q2_late_after_busy_day_prev30_std
Q2,human_all,30,0.01,human_q2_light_screen_arousal_prev3_mean
Q2,human_all,30,0.01,human_q2_light_screen_arousal_prev7_mean
Q2,human_all,30,0.01,human_q2_light_screen_arousal_vs_prev7
Q2,human_all,30,0.01,human_q2_light_screen_arousal_prev14_mean
Q2,human_all,30,0.01,human_q2_light_screen_arousal_prev30_mean
Q2,human_all,30,0.01,human_q2_tired_but_wired_subj_z_all_prev7_std
Q2,human_all,30,0.01,human_q2_tired_but_wired_subj_z_all_prev14_mean
Q2,human_all,30,0.01,human_q2_tired_but_wired_subj_z_all_prev30_mean
Q2,human_all,30,0.01,human_q2_tired_but_wired_subj_z_all_prev30_std
Q2,human_all,30,0.01,human_q2_late_after_busy_day_subj_z_all_prev14_mean
Q2,human_all,30,0.01,human_q2_late_after_busy_day_subj_z_all_prev30_mean
Q2,human_all,30,0.01,human_q2_late_after_busy_day_subj_z_all_prev30_std
Q2,human_all,30,0.01,human_q2_light_screen_arousal_subj_z_all_prev7_std
Q2,human_all,30,0.01,human_q2_light_screen_arousal_subj_z_all_vs_prev7
Q2,human_all,30,0.01,human_q2_light_screen_arousal_subj_z_all_prev30_std
Q2,human_all,30,0.01,human_s2_rhythm_late_subj_z_all_prev7_std
Q2,human_all,30,0.01,human_s2_rhythm_late_subj_z_all_prev30_std
Q2,human_all,30,0.03,human_day_steps
Q2,human_all,30,0.03,human_day_dist
Q2,human_all,30,0.03,human_late_screen
Q2,human_all,30,0.03,human_late_light
Q2,human_all,30,0.03,human_night_light
Q2,human_all,30,0.03,human_q2_light_screen_arousal
Q2,human_all,30,0.03,human_q2_physical_load_prev14_mean
Q2,human_all,30,0.03,human_q2_physical_load_prev30_mean
