name,tau,clip,self_entropy,bce_old_posterior,mean,min,p01,p99,max,max_constraint_error_vs_known,bce_known_v83,bce_known_v76,bce_known_v18,bce_known_support,bce_known_v82_fail,mean_Q1,mean_Q2,mean_Q3,mean_S1,mean_S2,mean_S3,mean_S4
tau08_clip001,8.0,0.001,0.5174231827446781,0.6692074082612121,0.6105190369528928,0.001,0.03960466537638243,0.9982050337954061,0.999,7.76973404503778e-06,0.5997705139052124,0.599968105914329,0.6057929652097921,0.610434988434124,0.6629487153340451,0.47041467333986936,0.5716853413903289,0.6570768352501987,0.6508005262475658,0.6812013432831195,0.6932591862304578,0.5491953529287094
tau08_clip005,8.0,0.005,0.5178019148424,0.664724431614783,0.6104848283015119,0.005,0.03960466537638243,0.995,0.995,6.801298036807069e-05,0.5998115367867403,0.6000033499642058,0.6058445745092189,0.6104595133164172,0.6630089585803681,0.47041467333986936,0.5716853413903289,0.6568373746905317,0.6508005262475658,0.6812013432831195,0.6932591862304578,0.5491953529287094
tau08_clip010,8.0,0.01,0.5183635618912578,0.6616312897049786,0.6104255347193814,0.01,0.03960466537638243,0.99,0.99,0.00018260319578011774,0.5998852617570403,0.6000655439161616,0.6059368135779306,0.6105041454916266,0.6631235487957802,0.47041467333986936,0.5716853413903289,0.6564307351880148,0.6508005262475658,0.6811929277107246,0.6932591862304578,0.5491953529287094
tau08_clip020,8.0,0.02,0.5197760979167193,0.6575518175940428,0.6102122534090274,0.02,0.03960466537638243,0.98,0.98,0.0005518575061730369,0.60018941696021,0.6003381592925606,0.6063089046756177,0.6107331503165829,0.6634928031061731,0.47041038467978086,0.5716853413903289,0.6552564316505425,0.6507791230377059,0.6809690499366644,0.69319009023946,0.5491953529287094
tau07_clip001,7.0,0.001,0.5291780876666852,0.652869368262609,0.6104073239707849,0.001,0.0564219758902037,0.9967761266994498,0.999,6.509725408943012e-06,0.599769072318454,0.5999666864114315,0.6057912169448524,0.6104340503915986,0.662947455325409,0.4725440711380721,0.5706355883954279,0.6569513172994305,0.6555374504397234,0.6774111070436812,0.6915310773108441,0.5482406561683146
tau07_clip005,7.0,0.005,0.5294691665811294,0.6497184292410466,0.6103764338089714,0.005,0.0564219758902037,0.995,0.995,5.142736506824619e-05,0.5998032557809344,0.5999970738668527,0.6058323082269874,0.6104552443379684,0.6629923729650683,0.4725440711380721,0.5706355883954279,0.6567350861667374,0.6555374504397234,0.6774111070436812,0.6915310773108441,0.5482406561683146
tau07_clip010,7.0,0.01,0.5299197138292747,0.6474005912110367,0.6103282362302905,0.01,0.0564219758902037,0.99,0.99,0.00014507461022406076,0.5998626019051373,0.6000469627109885,0.6059095563929225,0.6104898006834706,0.6630860202102241,0.4725440711380721,0.5706355883954279,0.6563977031159711,0.6555374504397234,0.6774111070436812,0.6915310773108441,0.5482406561683146
tau07_clip020,7.0,0.02,0.5310511005826372,0.6441575424507675,0.6101688039311173,0.02,0.0564219758902037,0.98,0.98,0.00044449880033636813,0.6000839913838601,0.6002408139301555,0.6061972017275158,0.6106468776573546,0.6633854444003364,0.4725440711380721,0.5706355883954279,0.6554730418491922,0.6555322709039565,0.6772774735721191,0.6914785254907381,0.5482406561683146
tau06_clip001,6.0,0.001,0.5406776860541437,0.6374621951641641,0.61028241297867,0.001,0.07944380834878707,0.9942388024497968,0.999,4.024463370666531e-06,0.5997668038033594,0.5999645438631713,0.6057892038277857,0.6104324623051851,0.6629449700633707,0.47495081153316243,0.5695895953141471,0.6563333664987279,0.6605268916179672,0.6733807974479805,0.6898400191925559,0.5473554092461492
tau06_clip005,6.0,0.005,0.5408904870125999,0.6355374939236608,0.6102530240495354,0.005,0.07944380834878707,0.9942388024497968,0.995,3.929231676980116e-05,0.5997945781581477,0.5999898267179687,0.6058221727005543,0.610450588411279,0.6629802379167699,0.47495081153316243,0.5695895953141471,0.6561276439947858,0.6605268916179672,0.6733807974479805,0.6898400191925559,0.5473554092461492
