target,source,loss
Q1,full__cls_plus_physio__abs_plus_subrel_train__transformer_ridge_resid_a5_w0p1,0.6627144043880686
Q2,only_cross_modal__cls_plus_all_groups__subrel_train__transformer_logreg_c0p1_w0p1,0.6863549521941337
Q3,full__cls_plus_all_groups__subrel_train__transformer_ridge_resid_a5_w0p1,0.6593967451692085
S1,full__cls_plus_physio__abs_plus_subrel_train__transformer_ridge_resid_a5_w0p1,0.5644987518397367
S2,full__cls_plus_body__transformer_logreg_c0p1_w0p1,0.5758574619922732
S3,full__cls_plus_all_groups__abs_plus_subrel_train__transformer_logreg_c0p1_w0p1,0.5262208624382864
S4,only_event__cls__abs_plus_subrel_train__transformer_ridge_resid_a5_w0p1,0.6438176769470311
