name,posterior,drift_v76,max_drift_v76,drift_v83,drift_v18,adj_linear,adj_quadratic,adj_sqrt,adjusted_mean,adjusted_robust,mean_Q1,mean_Q2,mean_Q3,mean_S1,mean_S2,mean_S3,mean_S4
shape_two_thirds_v83_plus_v18_l06,0.5966803977428308,0.015486168583045676,0.11532403531543081,0.007359124932842357,0.07877963131305751,0.5982705865919224,0.5979763040727066,0.5984419123545272,0.5982296010063854,0.5984419123545272,0.5100897269294487,0.5696280361431317,0.6148023735005587,0.685256567807317,0.6460991516693841,0.6627806734446663,0.5531361878242119
shape_q010_s005_plus_v18_l06,0.5967771478084029,0.01415878463045554,0.11532403531543081,0.008286369356039665,0.07907530283278855,0.5982310349539096,0.5978604200066127,0.598461478050687,0.5981843110037364,0.598461478050687,0.5100897269294487,0.5696280361431317,0.6148023735005587,0.6859894472682488,0.6470831975781555,0.6634366286619595,0.5533292585605755
shape_half_v83_plus_v18_l06,0.5969320154606526,0.01269161670396082,0.09279032602833187,0.009568867136113492,0.0794721823675018,0.5982352472607816,0.5978024167807396,0.598526692467983,0.5981881188365015,0.598526692467983,0.5101085154994387,0.569785446263936,0.6151902666398883,0.6859894472682488,0.6470831975781555,0.6634366286619595,0.5533292585605755
shape_two_thirds_v83_plus_v18_p06,0.596801474891117,0.015209802956906441,0.11364690486969797,0.007286928097057787,0.07902150843551131,0.5983632852852925,0.598051540540646,0.5985472007801961,0.5983206755353782,0.5985472007801961,0.5100388430026389,0.5693963938724128,0.6140938435271596,0.6851021203628758,0.6459280730709502,0.6618454786934798,0.5531374476104107
shape_q0075_s010_plus_v18_l06,0.5967315110779527,0.016621296531589978,0.09279032602833187,0.007719708317854494,0.07881464791621973,0.5984382599267879,0.5982243585634335,0.598556443165644,0.5984063538852885,0.598556443165644,0.5101085154994387,0.569785446263936,0.6151902666398883,0.6837930518283786,0.6441512963285644,0.6614849868320704,0.5527420586729627
shape_q010_s005_plus_v18_p06,0.5969034008621672,0.013878022361010007,0.11364690486969797,0.008295877437594038,0.07932461511781473,0.5983284580858167,0.5979441374232904,0.5985709477342867,0.5982811810811313,0.5985709477342867,0.5100388430026389,0.5693963938724128,0.6140938435271596,0.6858345200947464,0.646898770432304,0.6624773662328595,0.5533293505890917
shape_half_v83_plus_v18_p06,0.5970640959215212,0.01240956987552558,0.09054761049310533,0.009606001010387439,0.0797289378760008,0.5983383658955475,0.597896241104243,0.5986409540567837,0.5982918536855247,0.5986409540567837,0.5100598109705397,0.5695479810372321,0.6144592872230437,0.6858345200947464,0.646898770432304,0.6624773662328595,0.5533293505890917
shape_q0075_s010_plus_v18_p06,0.5968486692118359,0.016347815590694,0.09054761049310533,0.007620652575912052,0.079049560624278,0.5985273358180995,0.5982927952744863,0.5986585256359989,0.598492885576195,0.5986585256359989,0.5100598109705397,0.5695479810372321,0.6144592872230437,0.6836374860395569,0.644002012465167,0.6605945002196424,0.5527440472018118
shape_q005_s010_plus_v18_l06,0.596937481552775,0.015198016009080627,0.09180943626972238,0.009169938049959355,0.07929963853323163,0.598498081610585,0.598185610458042,0.5986825308792416,0.5984554076492895,0.5986825308792416,0.510128037859433,0.5699310218326317,0.6155475116123705,0.6837930518283786,0.6441512963285644,0.6614849868320704,0.5527420586729627
shape_q005_s010_plus_v18_p06,0.5970608800982444,0.014923368471629395,0.08703713121467838,0.009091885267550797,0.07954179107456319,0.5985932781221464,0.5982643060431011,0.5987900899046296,0.598549224689959,0.5987900899046296,0.5100814787446584,0.5696869707102586,0.6147920727069717,0.6836374860395569,0.644002012465167,0.6605945002196424,0.5527440472018118
shape_two_thirds_v83_plus_v18_l04,0.5971470377143647,0.014418822683676395,0.11240135367634166,0.0064344623567306174,0.08054105336533196,0.5986276267267893,0.5982704657249254,0.5988467646595536,0.5985816190370894,0.5988467646595536,0.5101973091175607,0.5696494365579324,0.6141659265947007,0.6848965541245089,0.6460634414101196,0.6618586138328808,0.5532350736037909
shape_q010_s005_plus_v18_l04,0.5972527519364388,0.013031244611213907,0.11240135367634166,0.007578285108799989,0.08084559129155283,0.5985908582446204,0.5981703604618722,0.5988686248727693,0.5985432811930873,0.5988686248727693,0.5101973091175607,0.5696494365579324,0.6141659265947007,0.6856448793071694,0.647064069443775,0.662520406246758,0.5534318950860617
shape_two_thirds_v83_plus_v18_p04,0.5972292091804606,0.01422115270343413,0.1112595979817266,0.006459987973726137,0.08070281712562856,0.5986895005578249,0.5983220458155097,0.5989172450022227,0.5986429304585191,0.5989172450022227,0.510162560485817,0.5694916314982112,0.6136844483837428,0.684791583185801,0.6459434651467837,0.6612208688158573,0.5532357761054956
shape_half_v83_plus_v18_l04,0.597418377605308,0.011483861230917847,0.08919463794215521,0.00907211099207443,0.08125349627929193,0.598597591687603,0.598131003366025,0.5989352820595346,0.5985546257043876,0.5989352820595346,0.5102172422055582,0.5698082123826999,0.6145544703671787,0.6856448793071694,0.647064069443775,0.662520406246758,0.5534318950860617
shape_q010_s005_plus_v18_p04,0.5973384159502905,0.012830713552776733,0.1112595979817266,0.007670189785739365,0.08101237288627887,0.598655930835144,0.5982280005678429,0.5989418077692159,0.5986085797240676,0.5989418077692159,0.510162560485817,0.5694916314982112,0.6136844483837428,0.68553956589069,0.6469348156434853,0.6618662007709685,0.553431762126276
shape_q0075_s010_plus_v18_l04,0.5971952542167016,0.015574674925036138,0.08919463794215521,0.006683491815021842,0.08057441325926032,0.5987945312916738,0.5985060155680136,0.5989617953490396,0.5987541140695757,0.5989617953490396,0.5102172422055582,0.5698082123826999,0.6145544703671787,0.6834014796718036,0.6440812113882605,0.6605504305906891,0.5528327318716918
shape_half_v83_plus_v18_p04,0.5975080393067357,0.011287708984876129,0.08766882925669578,0.009173379384380951,0.08142529825634122,0.5986671116016862,0.5981965286999605,0.5990119330782759,0.5986251911266409,0.5990119330782759,0.5101839745806942,0.5696464439218566,0.6140576674774118,0.68553956589069,0.6469348156434853,0.6618662007709685,0.553431762126276
shape_q0075_s010_plus_v18_p04,0.5972748216605427,0.015385820243277306,0.08766882925669578,0.006625829680504491,0.08073146616947542,0.5988547062946138,0.5985539877979945,0.5990306198049619,0.5988131046325234,0.5990306198049619,0.5101839745806942,0.5696464439218566,0.6140576674774118,0.683295786430071,0.6439764245281113,0.6599432737787467,0.5528340054754369
shape_q005_s010_plus_v18_l04,0.5974142804546183,0.014049492077890132,0.08482742971488944,0.008250037787918703,0.08107224389070182,0.5988569449534487,0.598480893505455,0.5990920973776266,0.5988099786121768,0.5990920973776266,0.5102379143642614,0.5699546417551339,0.6149110233890442,0.6834014796718036,0.6440812113882605,0.6605504305906891,0.5528327318716918
shape_q005_s010_plus_v18_p04,0.5974981146996311,0.013862031551622092,0.08480560463583275,0.008184878612832559,0.08123416960806454,0.5989215299156632,0.5985364542863691,0.5991647005879319,0.5988742282633214,0.5991647005879319,0.5102061033712837,0.5697883908219687,0.6143975335035509,0.683295786430071,0.6439764245281113,0.6599432737787467,0.5528340054754369
shape_two_thirds_v83_plus_v18_l02,0.5976423805582365,0.013498518486806303,0.10945497487054234,0.0059882368875242824,0.08230305329916661,0.599028468631724,0.5986269760821834,0.5992869692945102,0.5989808046694726,0.5992869692945102,0.5103040664478457,0.5696674638621344,0.6135202976366745,0.6845345291332674,0.6460218655080342,0.6609222493188924,0.5533338331820982
shape_q010_s005_plus_v18_l02,0.597757389868503,0.012044328171083103,0.10945497487054234,0.007371067421682855,0.08261651982967827,0.5989941551955591,0.5985412720745739,0.59931086944769,0.5989487655726076,0.59931086944769,0.5103040664478457,0.5696674638621344,0.6135202976366745,0.6852982776402106,0.6470386994322004,0.6615894623642379,0.5535343492533381
shape_two_thirds_v83_plus_v18_p02,0.5976839580636627,0.013398352973947328,0.10887229109375521,0.006061136992770467,0.08238412581574585,0.599059760695612,0.5986539954562989,0.5993224336176088,0.5990120632565066,0.5993224336176088,0.5102862779689951,0.5695868691240099,0.613275053240326,0.6844810460087263,0.6459588572226169,0.660596258938235,0.5533341046005803
shape_q010_s005_plus_v18_p02,0.5978007247118524,0.011942473393844575,0.10887229109375521,0.007466154663335846,0.08270013065474302,0.5990270311361707,0.5985714049281667,0.5993476217212576,0.598982019261865,0.5993476217212576,0.5102862779689951,0.5695868691240099,0.613275053240326,0.6852446116866338,0.6469708608546665,0.6612550353090775,0.5535341736634605
shape_half_v83_plus_v18_l02,0.597934117630319,0.010417041325521128,0.08556820989899966,0.008980228106522785,0.08303550966787274,0.5990037858873536,0.5985204912449682,0.5993788468356136,0.5989677079893118,0.5993788468356136,0.510325172226315,0.5698275242706556,0.6139091324216792,0.6852982776402106,0.6470386994322004,0.6615894623642379,0.5535343492533381
shape_q0075_s010_plus_v18_l02,0.597687485030288,0.014681536507037338,0.08556820989899966,0.005768514885075829,0.08233468768235291,0.5991950506696406,0.5988522241561723,0.5994026267591929,0.599149967195002,0.5994026267591929,0.510325172226315,0.5698275242706556,0.6139091324216792,0.6830079187765593,0.6440059158208017,0.6596023539917524,0.5529233626132702
shape_half_v83_plus_v18_p02,0.5979795057497775,0.010313251263953492,0.08479004802028633,0.009074156422816523,0.08312165863668165,0.5990385163804492,0.5985542529219513,0.5994170196669967,0.5990032629897991,0.5994170196669967,0.510308138190849,0.5697449068064812,0.6136560477317797,0.6852446116866338,0.6469708608546665,0.6612550353090775,0.5535341736634605
shape_q0075_s010_plus_v18_p02,0.5977277797257148,0.014579626706431335,0.08479004802028633,0.005732600825116825,0.08241337171467282,0.5992248808122849,0.5988764052291302,0.5994369583822806,0.5991794148078986,0.5994369583822806,0.510308138190849,0.5697449068064812,0.6136560477317797,0.6829540868205852,0.6439508365910557,0.6592920473378513,0.5529239637490623
shape_q005_s010_plus_v18_l02,0.5979199628060847,0.013057781556927446,0.08443381132229755,0.007409095161873874,0.08284540596906624,0.599260794046191,0.5988413123895938,0.5995374801948599,0.5992131955435482,0.5995374801948599,0.5103470206637781,0.5699747158303412,0.6142646113439642,0.6830079187765593,0.6440059158208017,0.6596023539917524,0.5529233626132702
