heldout_subject,selected_cells,gain_sum,mean_gain,positive_gain_rate,accepted_targets
id01,16,-0.6884634994847034,-0.043028968717793964,0.3125,"Q1,Q2,Q3,S1,S2,S3,S4"
id02,14,-0.7690291430009821,-0.054930653071498727,0.42857142857142855,"Q1,Q2,S1,S2,S3,S4"
id03,14,-0.5213547797342686,-0.03723962712387633,0.21428571428571427,"Q1,Q2,Q3,S1,S2,S3,S4"
id04,16,-0.06021453708851876,-0.0037634085680324225,0.375,"Q1,Q2,Q3,S1,S2,S3,S4"
id05,9,0.05639595319074808,0.006266217021194231,0.5555555555555556,"Q1,Q2,Q3,S1,S2,S4"
id06,12,0.38480769056997355,0.03206730754749779,0.4166666666666667,"Q1,Q2,Q3,S1,S2,S3,S4"
id07,13,-0.004230696185895888,-0.00032543816814583753,0.46153846153846156,"Q1,Q2,Q3,S1,S2,S3,S4"
id08,20,-1.6622535695392504,-0.08311267847696252,0.2,"Q1,Q2,Q3,S1,S2,S3,S4"
id09,11,-0.10415413212393143,-0.009468557465811949,0.6363636363636364,"Q1,Q2,Q3,S2,S3,S4"
id10,10,-0.26747664139851385,-0.026747664139851385,0.2,"Q1,Q2,Q3,S1,S2,S3,S4"
