target,target_route_family,policy,decoder_action,fraction,selected_cells,selected_gain_sum,selected_mean_gain,selected_positive_gain_rate,active_subjects,positive_subjects,negative_subjects,min_subject_gain,null_gain_mean,null_gain_std,gain_lift_vs_null,gain_z_vs_null,conservation_score,accepted,accept_reason
Q1,subjective_q_shadow,release_high_decisive,raw_memory_release,0.04,13,0.7005109102162593,0.05388545463201995,0.6153846153846154,6,3,3,-0.46345595808231466,-0.027554155032110707,0.8358871442258208,0.72806506524837,0.8710088081599663,-0.5491755008849288,True,positive_gain_null_lift_subject_balance
Q2,intervention_stage_bridge,release_high_all,raw_memory_release,0.25,112,4.590854941883277,0.04098977626681498,0.6339285714285714,8,5,3,-0.21221547368809768,-0.26456871327495796,2.2256727451809213,4.855423655158235,2.1815532699815425,4.850756978141342,True,positive_gain_null_lift_subject_balance
Q3,subjective_q_shadow,inverse_low_decisive,inverse_toxic_memory,0.02,7,0.7272626131652291,0.10389465902360416,0.8571428571428571,3,3,0,0.04852709693374185,0.04072975245359911,0.4762945704957373,0.68653286071163,1.441403919421278,1.6500746838344023,True,positive_gain_null_lift_subject_balance
S1,objective_s1_toxic_watch,inverse_low_decisive,inverse_toxic_memory,0.02,7,0.12882155250495322,0.018403078929279032,0.7142857142857143,1,1,0,0.12882155250495322,-0.26233423021737057,0.7133716278979125,0.39115578272232376,0.5483197921326644,0.7129751028910404,True,positive_gain_null_lift_subject_balance
S2,intervention_stage_bridge,release_high_decisive,raw_memory_release,0.25,91,2.070093457586718,0.022748279753700196,0.7692307692307693,8,5,3,-4.424843486265949,0.160137203339112,2.4223311150191287,1.9099562542476058,0.7884786032781993,1.235391439132024,True,positive_gain_null_lift_subject_balance
S3,objective_tail_bridge,inverse_low_decisive,inverse_toxic_memory,0.1,35,2.9534389523654143,0.08438397006758326,0.9428571428571428,7,5,2,-0.4335135559020904,-0.6202205164458983,1.3666278685974649,3.5736594688113126,2.6149470173463296,3.7199547679066454,True,positive_gain_null_lift_subject_balance
S4,objective_tail_bridge,release_high_all,raw_memory_release,0.18,81,4.424902664861031,0.05462842796124729,0.7530864197530864,9,7,2,-0.544303332047988,0.15028938054467383,1.640989514436931,4.274613284316357,2.6048998160619536,5.304809823244872,True,positive_gain_null_lift_subject_balance
