target,target_route_family,policy,decoder_action,fraction,selected_cells,selected_gain_sum,selected_mean_gain,selected_positive_gain_rate,active_subjects,positive_subjects,negative_subjects,min_subject_gain,null_gain_mean,null_gain_std,gain_lift_vs_null,gain_z_vs_null,conservation_score
Q1,subjective_q_shadow,hold,none,0.0,0,0.0,0.0,,0,0,0,0.0,0.0,,0.0,,0.0
Q1,subjective_q_shadow,release_high_all,raw_memory_release,0.02,9,0.28040972660084573,0.03115663628898286,0.5555555555555556,5,3,2,-0.7506841899609236,-0.10009980323818783,0.52040341270253,0.3805095298390336,0.7311818496020092,-0.4814232667492646
Q1,subjective_q_shadow,release_high_decisive,raw_memory_release,0.02,7,-0.2492084768813626,-0.0356012109830518,0.42857142857142855,4,2,2,-0.7506841899609236,-0.10579787964530388,0.6688795875622218,-0.14341059723605873,-0.21440420653099707,-1.4208267830726653
Q1,subjective_q_shadow,inverse_low_decisive,inverse_toxic_memory,0.02,7,-1.0236098926990467,-0.1462299846712924,0.14285714285714285,5,1,4,-0.5809678529457166,-0.2351432834488666,0.5686248854390573,-0.7884666092501801,-1.3866199483010218,-4.066045293705734
Q1,subjective_q_shadow,release_high_all,raw_memory_release,0.04,18,-0.6087285467584665,-0.03381825259769258,0.4444444444444444,7,3,4,-1.3422219097239094,-0.07366233712300846,0.932197558698469,-0.5350662096354581,-0.573983706181891,-3.26182292866326
Q1,subjective_q_shadow,release_high_decisive,raw_memory_release,0.04,13,0.7005109102162593,0.05388545463201995,0.6153846153846154,6,3,3,-0.46345595808231466,-0.027554155032110707,0.8358871442258208,0.72806506524837,0.8710088081599663,-0.5491755008849288
Q1,subjective_q_shadow,inverse_low_decisive,inverse_toxic_memory,0.04,13,-1.8891367984191512,-0.14531821526301164,0.15384615384615385,7,0,7,-0.6584066327545269,-0.31988883993170447,0.7796887737007844,-1.5692479584874466,-2.0126594243995948,-7.235519993922226
Q1,subjective_q_shadow,release_high_all,raw_memory_release,0.06,27,0.34566298208673746,0.012802332669879166,0.5185185185185185,8,4,4,-0.6941885930034863,-0.19530215518955996,1.021916216218226,0.5409651372762974,0.5293634925162753,-1.726915518967859
Q1,subjective_q_shadow,release_high_decisive,raw_memory_release,0.06,20,0.1634263041734037,0.008171315208670185,0.55,6,3,3,-0.6401613150004903,-0.20825705258921212,1.1044851607164548,0.3716833567626158,0.33652182028549227,-1.3327643247407133
Q1,subjective_q_shadow,inverse_low_decisive,inverse_toxic_memory,0.06,20,-1.7163282182837907,-0.08581641091418954,0.3,7,1,6,-0.6584066327545269,-0.3987679033797989,0.757644210295666,-1.3175603149039918,-1.7390224817923734,-6.209400809113463
Q1,subjective_q_shadow,release_high_all,raw_memory_release,0.08,36,-0.43824761133845946,-0.012173544759401652,0.4722222222222222,8,5,3,-0.8913354599257728,-0.41943426241294357,1.2364738891665192,-0.018813348925515894,-0.01521532245068076,-2.1608235693951396
Q1,subjective_q_shadow,release_high_decisive,raw_memory_release,0.08,27,0.5545346368280759,0.02053831988252133,0.5555555555555556,7,4,3,-0.6941885930034863,0.042501142567067524,1.1219018031976253,0.5120334942610084,0.45639778169677536,-0.8727979807764887
Q1,subjective_q_shadow,inverse_low_decisive,inverse_toxic_memory,0.08,27,-1.957944837339906,-0.07251647545703356,0.3333333333333333,8,2,6,-0.6584066327545269,-0.820900615240886,1.088999905555982,-1.13704422209902,-1.0441178335258985,-6.241215004008126
Q1,subjective_q_shadow,release_high_all,raw_memory_release,0.1,45,-0.7628973460839623,-0.016953274357421385,0.4666666666666667,8,5,3,-1.1024397688566636,-0.676428034888298,1.2359211447669471,-0.08646931119566437,-0.06996345322012397,-2.5194974967533534
Q1,subjective_q_shadow,release_high_decisive,raw_memory_release,0.1,34,-0.33251265082527104,-0.00977978384780209,0.5,8,5,3,-0.8913354599257728,-0.45167518784017385,1.4402894806493085,0.11916253701490281,0.08273512971932712,-1.9802168637769348
Q1,subjective_q_shadow,inverse_low_decisive,inverse_toxic_memory,0.1,34,-2.3434185937831864,-0.06892407628774078,0.35294117647058826,8,2,6,-0.6778936061032479,-1.0918901731635555,0.9750116564511192,-1.2515284206196309,-1.283603547033465,-6.699127241140475
Q1,subjective_q_shadow,release_high_all,raw_memory_release,0.14,63,-0.28198599679634917,-0.004475968203116653,0.4603174603174603,8,3,5,-1.2787429913589974,-0.5475050859847432,1.7089442092274387,0.26551908918839406,0.15537025009636043,-3.1910974898618285
Q1,subjective_q_shadow,release_high_decisive,raw_memory_release,0.14,47,-0.414797528526132,-0.008825479330343234,0.48936170212765956,8,5,3,-1.2787429913589974,-0.4210985005402682,1.535191216954944,0.006300972014136208,0.004104356476605047,-2.1174055145627406
Q1,subjective_q_shadow,inverse_low_decisive,inverse_toxic_memory,0.14,47,-2.2112258568952137,-0.047047358657344975,0.44680851063829785,8,2,6,-0.5708213417813957,-1.6669368569977085,1.210732895359292,-0.5442889998975051,-0.4495533259100755,-6.141018966727332
Q1,subjective_q_shadow,release_high_all,raw_memory_release,0.18,81,-1.0699610903600174,-0.013209396177284165,0.48148148148148145,10,4,6,-1.2287020460630633,-0.6612481154487501,1.6143424905225658,-0.40871297491126735,-0.25317612421820485,-4.9024694669362985
Q1,subjective_q_shadow,release_high_decisive,raw_memory_release,0.18,61,-0.19520264525089948,-0.0032000433647688437,0.5245901639344263,8,4,4,-1.2787429913589974,-1.1633683761538254,1.7743821174955738,0.9681657309029259,0.5456354194266957,-2.1333307601274694
