variant,family,file,basename,source_id,source_family,gate,q2_scale,s1_scale,q2_weight_nonzero,s1_weight_nonzero,q2_weight_mean,s1_weight_mean
h002_control_e247_identity,h002_control,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_control_e247_identity_2b454b90.csv,submission_h002_control_e247_identity_2b454b90.csv,e247_identity,control,identity,0.0,0.0,,,,
h002_control_e365_body,h002_control,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_control_e365_body_84dae3ad.csv,submission_h002_control_e365_body_84dae3ad.csv,e365_body,control,control_body,,,,,,
h002_control_e368_public_file,h002_control,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_control_e368_public_file_33882436.csv,submission_h002_control_e368_public_file_33882436.csv,e368_public_file,control,control_body,,,,,,
h002_e368_minus_e365_all_q20p0_s10p5,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_all_q20p0_s10p5_50ca1ab6.csv,submission_h002_e368_minus_e365_all_q20p0_s10p5_50ca1ab6.csv,e368_minus_e365,e368_base_action,all,0.0,0.5,250.0,250.0,1.0,1.0
h002_e368_minus_e365_all_q20p0_s10p75,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_all_q20p0_s10p75_336b448a.csv,submission_h002_e368_minus_e365_all_q20p0_s10p75_336b448a.csv,e368_minus_e365,e368_base_action,all,0.0,0.75,250.0,250.0,1.0,1.0
h002_e368_minus_e365_all_q20p0_s11p0,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_all_q20p0_s11p0_bd7c96e6.csv,submission_h002_e368_minus_e365_all_q20p0_s11p0_bd7c96e6.csv,e368_minus_e365,e368_base_action,all,0.0,1.0,250.0,250.0,1.0,1.0
h002_e368_minus_e365_all_q20p0_s11p15,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_all_q20p0_s11p15_10cc8ae1.csv,submission_h002_e368_minus_e365_all_q20p0_s11p15_10cc8ae1.csv,e368_minus_e365,e368_base_action,all,0.0,1.15,250.0,250.0,1.0,1.0
h002_e368_minus_e365_all_q20p25_s10p0,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_all_q20p25_s10p0_648c638f.csv,submission_h002_e368_minus_e365_all_q20p25_s10p0_648c638f.csv,e368_minus_e365,e368_base_action,all,0.25,0.0,250.0,250.0,1.0,1.0
h002_e368_minus_e365_all_q20p25_s10p5,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_all_q20p25_s10p5_2d71be13.csv,submission_h002_e368_minus_e365_all_q20p25_s10p5_2d71be13.csv,e368_minus_e365,e368_base_action,all,0.25,0.5,250.0,250.0,1.0,1.0
h002_e368_minus_e365_all_q20p25_s10p75,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_all_q20p25_s10p75_888f287b.csv,submission_h002_e368_minus_e365_all_q20p25_s10p75_888f287b.csv,e368_minus_e365,e368_base_action,all,0.25,0.75,250.0,250.0,1.0,1.0
