variant,family,file,basename,source_id,source_family,gate,q2_scale,s1_scale,move_l1,move_l2,changed_cells_1e12,changed_rows_1e12,non_q2s1_l1,all_cos_e323_bad_vs_e247,all_cos_e323_bad_vs_e365,q2_cos_e323_bad_vs_e247,q2_cos_e323_bad_vs_e365,s1_cos_e323_bad_vs_e247,s1_cos_e323_bad_vs_e365,q2_transfer_abs_spearman,s1_transfer_abs_spearman,q2_benefit_abs_wmean,s1_benefit_abs_wmean,q2_danger_abs_wmean,s1_danger_abs_wmean,q2_base_action_abs_spearman,s1_base_action_abs_spearman,q2_benefit_minus_danger,s1_benefit_minus_danger,l1_Q1,signed_sum_Q1,changed_Q1,l1_Q2,signed_sum_Q2,changed_Q2,l1_Q3,signed_sum_Q3,changed_Q3,l1_S1,signed_sum_S1,changed_S1,l1_S2,signed_sum_S2,changed_S2,l1_S3,signed_sum_S3,changed_S3,l1_S4,signed_sum_S4,changed_S4,q2_weight_nonzero,s1_weight_nonzero,q2_weight_mean,s1_weight_mean
h002_control_e247_identity,h002_control,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_control_e247_identity_2b454b90.csv,submission_h002_control_e247_identity_2b454b90.csv,e247_identity,control,identity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
h002_control_e365_body,h002_control,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_control_e365_body_84dae3ad.csv,submission_h002_control_e365_body_84dae3ad.csv,e365_body,control,control_body,,,2.5986782600941694,0.338199430711028,379.0,221.0,1.4524538467048942,-0.028112400254332415,-0.15136517948409242,-0.11082361793882073,-0.9999999999469306,0.00014091423899886173,-0.10192194808770287,0.4319080895399083,0.19899891704646086,0.7136667889026371,0.5518723946378601,0.6122117116436653,0.6211536639949375,0.9985268429335511,0.9811418489994522,0.10145507725897185,-0.06928126935707746,1.3129438286054456,-1.3034140227248734,171.0,0.5475893293291185,-0.5475893293291185,34.0,0.13951001809944863,-0.018080943094213597,14.0,0.5986350840601569,0.023561550294467506,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
h002_control_e368_public_file,h002_control,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_control_e368_public_file_33882436.csv,submission_h002_control_e368_public_file_33882436.csv,e368_public_file,control,control_body,,,2.5055133278683694,0.33229051020891165,379.0,221.0,1.4524538467048955,-0.031475210404169875,-0.15387899051922832,-0.12752418841383048,-0.9822362508151128,-0.015116025640907707,-0.11504548063597067,0.43270465877686737,0.2031481199391104,0.7527794296949043,0.5919324048924315,0.5836732546578646,0.6266974548858468,0.9978995073252248,0.9780338671736539,0.16910617503703973,-0.03476504999341534,1.312943828605447,-1.3034140227248747,171.0,0.4834579709584141,-0.4834579709584141,34.0,0.13951001809944863,-0.018080943094213597,14.0,0.56960151020506,0.011113308114544945,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
h002_e368_minus_e365_all_q20p0_s10p5,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_all_q20p0_s10p5_50ca1ab6.csv,submission_h002_e368_minus_e365_all_q20p0_s10p5_50ca1ab6.csv,e368_minus_e365,e368_base_action,all,0.0,0.5,0.05463802015688247,0.013201732218616532,160.0,160.0,0.0,-0.0360299673601765,-0.029830320525206476,0.0,0.0,-0.07588088559630797,-0.06320046219680968,,0.197475314012705,0.0,0.597874404934524,0.0,0.6247447915091334,,1.0,0.0,-0.026870386574609384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05463802015688246,-0.006224121089961284,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,1.0,1.0
h002_e368_minus_e365_all_q20p0_s10p75,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_all_q20p0_s10p75_336b448a.csv,submission_h002_e368_minus_e365_all_q20p0_s10p75_336b448a.csv,e368_minus_e365,e368_base_action,all,0.0,0.75,0.0819570302353237,0.019802598327924796,160.0,160.0,0.0,-0.03602996736051263,-0.029830320525481655,0.0,0.0,-0.07588088559779883,-0.06320046219804491,,0.197475314012705,0.0,0.5978744049345239,0.0,0.6247447915091333,,1.0,0.0,-0.026870386574609384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08195703023532369,-0.009336181634941926,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,1.0,1.0
h002_e368_minus_e365_all_q20p0_s11p0,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_all_q20p0_s11p0_bd7c96e6.csv,submission_h002_e368_minus_e365_all_q20p0_s11p0_bd7c96e6.csv,e368_minus_e365,e368_base_action,all,0.0,1.0,0.10927604031376494,0.026403464437233064,160.0,160.0,0.0,-0.03602996736068068,-0.029830320525619253,0.0,0.0,-0.07588088559854425,-0.06320046219866256,,0.197475314012705,0.0,0.597874404934524,0.0,0.6247447915091334,,1.0,0.0,-0.026870386574609384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10927604031376492,-0.012448242179922568,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,1.0,1.0
h002_e368_minus_e365_all_q20p0_s11p15,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_all_q20p0_s11p15_10cc8ae1.csv,submission_h002_e368_minus_e365_all_q20p0_s11p15_10cc8ae1.csv,e368_minus_e365,e368_base_action,all,0.0,1.15,0.12566744636082966,0.030363984102818018,160.0,160.0,0.0,-0.03602996736074646,-0.02983032052567309,0.0,0.0,-0.07588088559883593,-0.06320046219890421,,0.197475314012705,0.0,0.5978744049345239,0.0,0.6247447915091334,,1.0,0.0,-0.026870386574609495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12566744636082963,-0.014315478506910943,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,1.0,1.0
h002_e368_minus_e365_all_q20p25_s10p0,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_all_q20p25_s10p0_648c638f.csv,submission_h002_e368_minus_e365_all_q20p25_s10p0_648c638f.csv,e368_minus_e365,e368_base_action,all,0.25,0.0,0.019353676997714894,0.007132579194371822,34.0,34.0,0.0,-1.066256563898217e-11,0.029677660947324453,-0.0139177599713811,0.5917345462007642,0.0,0.0,0.4284575784600711,,0.5009873755151233,0.0,0.7555220573450534,0.0,0.9999999999999999,,-0.2545346818299301,0.0,0.0,0.0,0.0,0.019353676997714894,0.016032839592676103,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,1.0,1.0
h002_e368_minus_e365_all_q20p25_s10p5,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_all_q20p25_s10p5_2d71be13.csv,submission_h002_e368_minus_e365_all_q20p25_s10p5_2d71be13.csv,e368_minus_e365,e368_base_action,all,0.25,0.5,0.07399169715459736,0.015005313043587046,194.0,168.0,0.0,-0.031699304081861994,-0.012137943142227872,-0.0139177599713811,0.5917345462007642,-0.07588088559630797,-0.06320046219680968,0.4284575784600711,0.197475314012705,0.5009873755151233,0.597874404934524,0.7555220573450534,0.6247447915091334,0.9999999999999999,1.0,-0.2545346818299301,-0.026870386574609384,0.0,0.0,0.0,0.019353676997714894,0.016032839592676103,34.0,0.0,0.0,0.0,0.05463802015688246,-0.006224121089961284,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,1.0,1.0
h002_e368_minus_e365_all_q20p25_s10p75,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_all_q20p25_s10p75_888f287b.csv,submission_h002_e368_minus_e365_all_q20p25_s10p75_888f287b.csv,e368_minus_e365,e368_base_action,all,0.25,0.75,0.1013107072330386,0.02104795920038605,194.0,168.0,0.0,-0.03389815443352937,-0.018008377189147173,-0.0139177599713811,0.5917345462007642,-0.07588088559779883,-0.06320046219804491,0.4284575784600711,0.197475314012705,0.5009873755151233,0.5978744049345239,0.7555220573450534,0.6247447915091333,0.9999999999999999,1.0,-0.2545346818299301,-0.026870386574609384,0.0,0.0,0.0,0.019353676997714894,0.016032839592676103,34.0,0.0,0.0,0.0,0.08195703023532369,-0.009336181634941926,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,1.0,1.0
