candidate_id,spec_name,mode,target_group,worldview,fit_feature_set,fit_alpha,k,alpha,cap,selected_cells,changed_cells_vs_h057,changed_rows_vs_h057,model_pred_delta_vs_h057,posterior_delta_vs_h057,hard_diag_delta_vs_h057,anti_h088_direction_rate,h057_positive_align_rate,selected_toxic_mean,selected_conflict_rate,selected_safe_cell_mean,mean_bad_same_rank,cos_h088_direction,cos_h057_vs_h042_direction,cos_h057_vs_h050_direction,max_positive_bad_cosine,mean_abs_prob_move_vs_h057,max_abs_prob_move_vs_h057,selected_subjects,selected_rows,h097_score,file,resolved_path,Q1_changed_vs_h057,Q2_changed_vs_h057,Q3_changed_vs_h057,S1_changed_vs_h057,S2_changed_vs_h057,S3_changed_vs_h057,S4_changed_vs_h057,bad_cos_submission_h010_objectiv,bad_cos_submission_e216_maskfam,bad_cos_submission_e323_5508f966,bad_cos_submission_jepa_latent_q,bad_cos_submission_jepa_latent_r,bad_cos_submission_lejepa_target,bad_cos_submission_ordinal_q_con,path,rows,keys_match,duplicate_keys,nan_cells,min_prob,max_prob,changed_cells_vs_h057_validation,upload_safe,h102_cum_bad_max_pos,h102_cum_bad_weighted_pos,h102_cum_h088_axis_cos,h102_cum_good_max_cos,h102_cum_good_mean_cos,h102_cum_good_bad_margin,route_basis_pred_delta_vs_h057,selected_mean_residual_toxicity,selected_mean_residual_safety,selected_mean_residual_gap,selected_mean_antidote_score,selected_same_bad_residual,selected_opp_bad_residual,selected_same_good_residual,selected_opp_good_residual,selected_h111_cells,selected_h108_rejected_cells,selected_h109_cells,selected_mean_family_count,h112_information_mass,h112_score,h118_h131_overlap_cells,h118_h131_cosine,h118_h130_overlap_cells,h118_h130_cosine,h118_h129_overlap_cells,h118_h129_cosine,h118_h128_overlap_cells,h118_h128_cosine,h118_h127_overlap_cells,h118_h127_cosine,h118_h126_overlap_cells,h118_h126_cosine,h118_h124_overlap_cells,h118_h124_cosine,h118_h122_overlap_cells,h118_h122_cosine,h118_h088_overlap_cells,h118_h088_cosine,h118_h018_overlap_cells,h118_h018_cosine,h118_h132_overlap_cells,h118_h132_cosine,h118_h133_overlap_cells,h118_h133_cosine,h118_h134_overlap_cells,h118_h134_cosine,h118_h135_overlap_cells,h118_h135_cosine,h118_h136_overlap_cells,h118_h136_cosine,h118_zero_curv,h118_curv_pred_delta_vs_h057,h118_curv_marginal_vs_zero,h118_mean_forbidden_same,h118_max_forbidden_same,h118_mean_forbidden_pressure,h118_mean_veto_score,h118_selected_rows,h137_start_field,h137_candidate_kind,h137_candidate_label,h137_beta,h137_changed_cells_vs_h136,h137_delta_route,h137_delta_h098,h137_delta_curv_marg,h137_delta_h088,h137_delta_margin,h118_score,h137_worldview,h137_fit_feature_set,h137_fit_alpha,h137_fit_score,h137_score
h137_counter_r207_S2_f0p25_g0p25_2bea533f,h136_tailtox_counterfield,public_residual_toxicity_solver,forbidden_veto_tail_toxicity_counterfield,H135 completion tail is not just removed; it may define a counterfield whose opposite direction tests action toxicity,state_core,0.1,34,1.0,0.22,27,27,22,-2.6705337606158872e-05,-4.875006549720732e-06,-2.23894283873449e-06,0.5185185185185185,0.5925925925925926,0.448568253968254,0.2962962962962963,0.2967754497354497,0.3722539682539682,-0.02886010299158783,0.14848490614832313,0.06542045482355408,0.0,8.946693798600323e-05,0.03706146565254731,7,"53,55,59,70,79,93,101,102,103,135,136,137,144,145,148,149,150,151,164,188,205,207",0.21654593417116821,submission_h137_counter_r207_S2_f0p25_g0p25_2bea533f.csv,/Users/kbsoo/Downloads/cl2/hitl/h137_tail_toxicity_counterfield_hsjepa/submission_h137_counter_r207_S2_f0p25_g0p25_2bea533f.csv,5,0,5,9,6,0,2,-0.15076494041527536,-0.1632363238666798,-0.16249519697889617,-0.13306279069401905,-0.15133118234170131,-0.1744133559024843,-0.1646167220536829,/Users/kbsoo/Downloads/cl2/hitl/h137_tail_toxicity_counterfield_hsjepa/submission_h137_counter_r207_S2_f0p25_g0p25_2bea533f.csv,250,True,0,0,4.939277944527429e-06,0.9999967514907456,27,True,0.0,0.0,-0.06312135014038184,0.15929577796634314,0.1496733078952127,0.15929577796634314,-0.0007610596480470518,0.4087796825396825,0.6745771851851851,0.26579750264550267,0.8036279365079367,0.0015016643560331,5.631004309011548,0.0597322957287092,5.519380671012232,12,6,3,2.7037037037037037,0.6805555555555555,0.45050455175261733,26,0.8860960466713709,24,0.8508007259574963,19,0.8856698855193287,26,0.8713449671888537,25,0.8828757404570822,24,0.8815087431505899,23,0.881482326172081,21,0.8746285998611071,20,-0.06312135014038184,27,-0.049849945647274914,26,0.9750337302666039,23,0.9685354866803934,26,0.9683890631214022,26,0.9826321833845603,26,0.9990888639840425,-0.0002616634510263019,-0.00021687852456022685,4.478492646607505e-05,0.0,0.0,0.0,1.0,22,h136,anti_bundle,r207_S2_f0p25_g0.25,0.25,1,1.233949541102437e-06,6.526906353664617e-07,4.690112670590208e-07,-0.0009886857211115832,-0.00014527248194942666,0.3991872560412316,H135 completion tail is not just removed; it may define a counterfield whose opposite direction tests action toxicity,route_curvature,30.0,0.001054772929083395,0.3009828716137447
h137_counter_r207_S2Q3_f0p25_g0p25_f6fe9043,h136_tailtox_counterfield,public_residual_toxicity_solver,forbidden_veto_tail_toxicity_counterfield,H135 completion tail is not just removed; it may define a counterfield whose opposite direction tests action toxicity,state_core,0.1,34,1.0,0.22,28,28,22,-2.6233749407554964e-05,-4.731710775289304e-06,-2.231692028800816e-06,0.5357142857142857,0.5714285714285714,0.4551826530612245,0.2857142857142857,0.30399768979591835,0.3653367346938775,-0.03027699315136383,0.1484102249403562,0.0653875512866309,0.0,9.056416718829042e-05,0.03706146565254731,7,"53,55,59,70,79,93,101,102,103,135,136,137,144,145,148,149,150,151,164,188,205,207",0.21512510006964736,submission_h137_counter_r207_S2Q3_f0p25_g0p25_f6fe9043.csv,/Users/kbsoo/Downloads/cl2/hitl/h137_tail_toxicity_counterfield_hsjepa/submission_h137_counter_r207_S2Q3_f0p25_g0p25_f6fe9043.csv,5,0,6,9,6,0,2,-0.1504551566224847,-0.162844196063847,-0.16215893142330037,-0.13276336785422313,-0.15059432160195277,-0.17342160930431838,-0.16415301702121787,/Users/kbsoo/Downloads/cl2/hitl/h137_tail_toxicity_counterfield_hsjepa/submission_h137_counter_r207_S2Q3_f0p25_g0p25_f6fe9043.csv,250,True,0,0,4.939277944527429e-06,0.9999967514907456,28,True,0.0,0.0,-0.06331748377896086,0.15924850613509264,0.14962889158083287,0.15924850613509264,-0.0007598441259344272,0.40388421428571425,0.6693839661224489,0.2654997518367347,0.7922959183673471,0.001448033486174775,5.4354455006422,0.05853098988250476,5.323766869382312,12,6,3,2.607142857142857,0.6891071428571428,0.45111524234054673,26,0.8858330931686206,24,0.8505482465204507,19,0.8854070584820654,26,0.8710863911438674,25,0.8826137425965584,24,0.8812471509534605,23,0.8812207418143241,21,0.8743690493814464,21,-0.06331748377896086,28,-0.04983828638247541,26,0.9747443840544905,23,0.9682480688550719,27,0.9655552508752302,27,0.9800303077428585,26,0.9987923792888107,-0.0002616634510263019,-0.0002159812874411157,4.568216358518621e-05,0.0,0.0,0.0,1.0,22,h136,anti_bundle,r207_S2Q3_f0p25_g0.25,0.25,2,2.449471653726996e-06,1.1242788339703696e-06,1.3662483861701796e-06,-0.0011848193596906073,-0.00019254431319992715,0.3973092813181678,H135 completion tail is not just removed; it may define a counterfield whose opposite direction tests action toxicity,route_curvature,30.0,0.001054772929083395,0.3004414363316128
h137_counter_r207_S2S4_f0p25_g0p25_46c164e6,h136_tailtox_counterfield,public_residual_toxicity_solver,forbidden_veto_tail_toxicity_counterfield,H135 completion tail is not just removed; it may define a counterfield whose opposite direction tests action toxicity,state_core,0.1,34,1.0,0.22,28,28,22,-2.64644558017012e-05,-4.782380216199385e-06,-2.1776651703511307e-06,0.5357142857142857,0.5714285714285714,0.4550173469387756,0.2857142857142857,0.3028264081632653,0.3653367346938775,-0.03005246178197274,0.1484346502354308,0.06539831274349839,0.0,9.036691551808529e-05,0.03706146565254731,7,"53,55,59,70,79,93,101,102,103,135,136,137,144,145,148,149,150,151,164,188,205,207",0.21508626691225652,submission_h137_counter_r207_S2S4_f0p25_g0p25_46c164e6.csv,/Users/kbsoo/Downloads/cl2/hitl/h137_tail_toxicity_counterfield_hsjepa/submission_h137_counter_r207_S2S4_f0p25_g0p25_46c164e6.csv,5,0,5,9,6,0,3,-0.14966527771767832,-0.16273424306185277,-0.1618876531561249,-0.1328486721508847,-0.15126260865163044,-0.17402269337468754,-0.16435121423055324,/Users/kbsoo/Downloads/cl2/hitl/h137_tail_toxicity_counterfield_hsjepa/submission_h137_counter_r207_S2S4_f0p25_g0p25_46c164e6.csv,250,True,0,0,4.939277944527429e-06,0.9999967514907456,28,True,0.0,0.0,-0.06328548383065269,0.1592647614116347,0.1496441649361086,0.1592647614116347,-0.0007598487845036631,0.4051653979591836,0.6676286673469386,0.2624632693877551,0.7962673469387758,0.001448033486174775,5.437195333370867,0.05766330474012834,5.32672772102955,12,6,3,2.607142857142857,0.6891071428571428,0.4505778997990192,26,0.8859235144997143,24,0.8506350661540842,19,0.8854974363257077,26,0.8711753072067152,25,0.8827038353127401,24,0.8813371041749266,23,0.8813106923400797,21,0.8744583005213303,21,-0.06328548383065269,28,-0.049901535056318023,26,0.9748438809973817,23,0.9683469026871897,26,0.9682005076383974,26,0.982440854617012,26,0.9988943309285926,-0.0002616634510263019,-0.00021596046749980803,4.570298352649387e-05,0.0,0.0,0.0,1.0,22,h136,anti_bundle,r207_S2S4_f0p25_g0.25,0.25,2,2.4448130844911126e-06,8.935724398241324e-07,1.3870683274778365e-06,-0.0011528194113824344,-0.00017628903665786733,0.3966124997644913,H135 completion tail is not just removed; it may define a counterfield whose opposite direction tests action toxicity,route_curvature,30.0,0.001054772929083395,0.29995995090613226
h137_counter_r207_Q3_f0p25_g0p25_80ab7f36,h136_tailtox_counterfield,public_residual_toxicity_solver,forbidden_veto_tail_toxicity_counterfield,H135 completion tail is not just removed; it may define a counterfield whose opposite direction tests action toxicity,state_core,0.1,34,1.0,0.22,27,27,22,-2.6886440042920992e-05,-5.03140037593927e-06,-2.464415597046242e-06,0.5185185185185185,0.5925925925925926,0.44660317460317467,0.2962962962962963,0.2947886518518518,0.3722539682539682,-0.027792242284582675,0.14850099356492802,0.06542754272318328,0.0,8.935461591417106e-05,0.03706146565254731,7,"53,55,59,70,79,93,101,102,103,135,136,137,144,145,148,149,150,151,164,188,205,207",0.21643634074035034,submission_h137_counter_r207_Q3_f0p25_g0p25_80ab7f36.csv,/Users/kbsoo/Downloads/cl2/hitl/h137_tail_toxicity_counterfield_hsjepa/submission_h137_counter_r207_Q3_f0p25_g0p25_80ab7f36.csv,5,0,6,9,5,0,2,-0.15193979720155845,-0.1652566679831585,-0.1637732442268833,-0.13415497905239898,-0.1521156746479978,-0.17448510617938784,-0.1653098195708708,/Users/kbsoo/Downloads/cl2/hitl/h137_tail_toxicity_counterfield_hsjepa/submission_h137_counter_r207_Q3_f0p25_g0p25_80ab7f36.csv,250,True,0,0,4.939277944527429e-06,0.9999967514907456,27,True,0.0,0.0,-0.06232925365853432,0.15939364920651825,0.14976526709495938,0.15939364920651825,-0.0007610780754755297,0.4057519365079365,0.672525675978836,0.2667737394708995,0.7937667724867727,0.0015016643560331,5.616459146780091,0.06051611899927208,5.506830328264865,12,6,3,2.7037037037037037,0.6805555555555555,0.44992929311452623,26,0.8866404636051296,24,0.851323457465219,19,0.8862140406199047,26,0.8718803210673245,25,0.8834181788364376,24,0.8820503416475366,23,0.8820239084384502,21,0.8751659712017229,20,-0.06232925365853432,27,-0.049476925049847166,26,0.9756327904652546,23,0.9691305543616849,27,0.9664352820801877,27,0.9809235318766788,26,0.9997027036438922,-0.0002616634510263019,-0.0002171042254298062,4.45592255964957e-05,0.0,0.0,0.0,1.0,22,h136,anti_bundle,r207_Q3_f0p25_g0.25,0.25,1,1.2155221126245591e-06,4.715881986043415e-07,2.43310397479669e-07,-0.0001965892392640639,-4.7401241774325253e-05,0.39832276195368843,H135 completion tail is not just removed; it may define a counterfield whose opposite direction tests action toxicity,route_curvature,30.0,0.001054772929083395,0.298528110575644
h137_counter_r207_S4_f0p25_g0p25_d3ead836,h136_tailtox_counterfield,public_residual_toxicity_solver,forbidden_veto_tail_toxicity_counterfield,H135 completion tail is not just removed; it may define a counterfield whose opposite direction tests action toxicity,state_core,0.1,34,1.0,0.22,27,27,22,-2.7117146437067338e-05,-5.082069816849352e-06,-2.4103887385965567e-06,0.5185185185185185,0.5925925925925926,0.4464317460317461,0.2962962962962963,0.2935739894179894,0.3722539682539682,-0.027567167155342787,0.14852546371080105,0.06543832394070999,0.0,8.915736424396594e-05,0.03706146565254731,7,"53,55,59,70,79,93,101,102,103,135,136,137,144,145,148,149,150,151,164,188,205,207",0.21639404756328554,submission_h137_counter_r207_S4_f0p25_g0p25_d3ead836.csv,/Users/kbsoo/Downloads/cl2/hitl/h137_tail_toxicity_counterfield_hsjepa/submission_h137_counter_r207_S4_f0p25_g0p25_d3ead836.csv,5,0,5,9,5,0,3,-0.15114969483954446,-0.16514706164494322,-0.163502082332925,-0.13424057822407529,-0.15278463642129536,-0.17508675071159335,-0.1655083451940452,/Users/kbsoo/Downloads/cl2/hitl/h137_tail_toxicity_counterfield_hsjepa/submission_h137_counter_r207_S4_f0p25_g0p25_d3ead836.csv,250,True,0,0,4.939277944527429e-06,0.9999967514907456,27,True,0.0,0.0,-0.06229712937785047,0.15940994897453045,0.14978058225413973,0.15940994897453045,-0.0007610827340447653,0.4070805714285714,0.670705366137566,0.26362479470899475,0.7978852910052913,0.0015016643560331,5.618273788128339,0.05961629737014098,5.509900841084224,12,6,3,2.7037037037037037,0.6805555555555555,0.4493710200752219,26,0.8867311324237359,24,0.8514105147283467,19,0.8863046658320323,26,0.8719694804976935,25,0.883508518140697,24,0.8821405410752766,23,0.8821141051631015,21,0.87525546662625,20,-0.06229712937785047,27,-0.0495401990700327,26,0.9757325597360424,23,0.9692296587067333,26,0.9690831302025549,26,0.983336458842991,26,0.9998049343301934,-0.0002616634510263019,-0.00021708280260704176,4.4580648419260136e-05,0.0,0.0,0.0,1.0,22,h136,anti_bundle,r207_S4_f0p25_g0.25,0.25,1,1.2108635433888924e-06,2.4088180445799596e-07,2.647332202441056e-07,-0.00016446495858021826,-3.110147376211847e-05,0.3975994949146273,H135 completion tail is not just removed; it may define a counterfield whose opposite direction tests action toxicity,route_curvature,30.0,0.001054772929083395,0.29801785938162917
h137_counter_r135_Q3S2_f0p6_g0p5_09427c97,h136_tailtox_counterfield,public_residual_toxicity_solver,forbidden_veto_tail_toxicity_counterfield,H135 completion tail is not just removed; it may define a counterfield whose opposite direction tests action toxicity,state_core,0.1,34,1.0,0.22,27,27,21,-2.601115818393453e-05,-5.270462361902969e-06,-2.734727750605616e-06,0.48148148148148145,0.5925925925925926,0.4542455026455027,0.3333333333333333,0.2710841439153439,0.38966137566137565,-0.02600257204982835,0.14699974188446654,0.0636351973648046,0.0,8.725173710422458e-05,0.03706146565254731,7,"53,55,59,70,79,93,101,102,103,135,136,137,144,145,148,149,150,151,164,188,205",0.21389396070730168,submission_h137_counter_r135_Q3S2_f0p6_g0p5_09427c97.csv,/Users/kbsoo/Downloads/cl2/hitl/h137_tail_toxicity_counterfield_hsjepa/submission_h137_counter_r135_Q3S2_f0p6_g0p5_09427c97.csv,5,0,5,9,6,0,2,-0.15231764712344134,-0.16588415982948515,-0.16417640859613467,-0.13426878908418344,-0.15277912528694246,-0.17405290680832652,-0.16626364808262886,/Users/kbsoo/Downloads/cl2/hitl/h137_tail_toxicity_counterfield_hsjepa/submission_h137_counter_r135_Q3S2_f0p6_g0p5_09427c97.csv,250,True,0,0,4.939277944527429e-06,0.9999967514907456,27,True,0.0,0.0,-0.06224807653808323,0.1596687831506236,0.1499623654823736,0.1596687831506236,-0.0007610460386282212,0.42065173544973544,0.6784735722751324,0.25782183682539683,0.792853544973545,0.0032361172022637185,5.61253497457879,0.06137590439695839,5.511059816049742,13,6,3,2.888888888888889,0.6808333333333333,0.44355111212481474,26,0.8833444102844579,24,0.858137761231646,19,0.8933076213522589,26,0.8686861030854117,25,0.8800893715212375,24,0.8786972399228796,23,0.8786675984599147,21,0.8716650075549536,20,-0.06224807653808323,27,-0.04936747995890275,26,0.9720059114418219,23,0.9652073657081905,26,0.9658687931183885,26,0.9771905263428639,26,0.9975585954032011,-0.0002616634510263019,-0.00021752133180122433,4.414211922507756e-05,0.0,0.0,0.0,1.0,21,h136,anti_bundle,r135_Q3S2_f0p6_g0.5,0.5,2,1.2475589599330369e-06,1.3468700575908037e-06,-1.7379597393846723e-07,-0.00011541211881297558,0.00022773270233103493,0.39490402175406336,H135 completion tail is not just removed; it may define a counterfield whose opposite direction tests action toxicity,route_curvature,30.0,0.001054772929083395,0.2978997125874229
h137_counter_r135_Q3S2_f0p6_g0p25_baeb4807,h136_tailtox_counterfield,public_residual_toxicity_solver,forbidden_veto_tail_toxicity_counterfield,H135 completion tail is not just removed; it may define a counterfield whose opposite direction tests action toxicity,state_core,0.1,34,1.0,0.22,27,27,21,-2.665907023627356e-05,-5.227088399111365e-06,-2.6077062217672967e-06,0.48148148148148145,0.5925925925925926,0.4542455026455027,0.3333333333333333,0.2710841439153439,0.38966137566137565,-0.026195837073081946,0.14783272950474932,0.06457026581434831,0.0,8.775766872605007e-05,0.03706146565254731,7,"53,55,59,70,79,93,101,102,103,135,136,137,144,145,148,149,150,151,164,188,205",0.21428308666559817,submission_h137_counter_r135_Q3S2_f0p6_g0p25_baeb4807.csv,/Users/kbsoo/Downloads/cl2/hitl/h137_tail_toxicity_counterfield_hsjepa/submission_h137_counter_r135_Q3S2_f0p6_g0p25_baeb4807.csv,5,0,5,9,6,0,2,-0.1523266387480319,-0.16581299823276638,-0.16418935811011895,-0.1344000757349392,-0.1528594175709176,-0.17481811055304386,-0.16606389082975062,/Users/kbsoo/Downloads/cl2/hitl/h137_tail_toxicity_counterfield_hsjepa/submission_h137_counter_r135_Q3S2_f0p6_g0p25_baeb4807.csv,250,True,0,0,4.939277944527429e-06,0.9999967514907456,27,True,0.0,0.0,-0.06222814108370492,0.1596519519020239,0.14997735796845046,0.1596519519020239,-0.0007610743300407204,0.42065173544973544,0.6784735722751324,0.25782183682539683,0.792853544973545,0.0032361172022637185,5.61253497457879,0.06137590439695839,5.511059816049742,13,6,3,2.888888888888889,0.6808333333333333,0.44363019318880276,26,0.885671831880845,24,0.8553668311391075,19,0.8904231276477115,26,0.8709512211168176,25,0.8824307732359657,24,0.8810497881597095,23,0.8810217359074185,21,0.8740864915944349,20,-0.06222814108370492,27,-0.04945841845990119,26,0.9745669369306003,23,0.9679120810425069,26,0.9681681221769262,26,0.980970490182931,26,0.999394140852659,-0.0002616634510263019,-0.00021734859120862526,4.4314859817676635e-05,0.0,0.0,0.0,1.0,21,h136,anti_bundle,r135_Q3S2_f0p6_g0.25,0.25,2,1.2192675474338634e-06,6.989580052517734e-07,-1.0553813393956307e-09,-9.547666443466413e-05,0.00021090145373131586,0.39493808142597114,H135 completion tail is not just removed; it may define a counterfield whose opposite direction tests action toxicity,route_curvature,30.0,0.001054772929083395,0.29785118871789645
h137_counter_r131_S1_f0p25_g0p25_1478f04d,h136_tailtox_counterfield,public_residual_toxicity_solver,forbidden_veto_tail_toxicity_counterfield,H135 completion tail is not just removed; it may define a counterfield whose opposite direction tests action toxicity,state_core,0.1,34,1.0,0.22,27,27,22,-2.721369821088017e-05,-5.1111671211121505e-06,-2.456197988312503e-06,0.5185185185185185,0.5925925925925926,0.44525396825396835,0.2962962962962963,0.29372172698412696,0.3722539682539683,-0.027074457082631065,0.14854069212287357,0.06544503337448254,0.0,8.900897900268087e-05,0.03706146565254731,7,"53,55,59,70,79,93,101,102,103,131,135,136,137,144,145,148,149,150,151,164,188,205",0.21643046900782067,submission_h137_counter_r131_S1_f0p25_g0p25_1478f04d.csv,/Users/kbsoo/Downloads/cl2/hitl/h137_tail_toxicity_counterfield_hsjepa/submission_h137_counter_r131_S1_f0p25_g0p25_1478f04d.csv,5,0,5,10,5,0,2,-0.1520086411389576,-0.16539085172107162,-0.16388147642676892,-0.13402723855614435,-0.1524683544943582,-0.17487735008931957,-0.16547380559257277,/Users/kbsoo/Downloads/cl2/hitl/h137_tail_toxicity_counterfield_hsjepa/submission_h137_counter_r131_S1_f0p25_g0p25_1478f04d.csv,250,True,0,0,4.939277944527429e-06,0.9999967514907456,27,True,0.0,0.0,-0.0622294751526111,0.15941924433984217,0.1497893161207372,0.15941924433984217,-0.0007610859640518479,0.40699498412698415,0.6693874620105822,0.2623924778835979,0.7938749206349208,0.0015016643560331,5.616257868880188,0.059597105123691256,5.509637348464732,12,6,3,2.7037037037037037,0.6805555555555555,0.4486133954454865,26,0.8867828386683089,24,0.8514601613897715,19,0.8863563472088803,26,0.8720203259744906,25,0.8835600364711704,24,0.8821919796375385,23,0.882165542183857,21,0.8753065037124268,20,-0.0622294751526111,27,-0.04949597638096803,26,0.9757894557494188,23,0.9692861755289673,26,0.9691396384805544,26,0.98339379824789,26,0.9998632340295832,-0.0002616634510263019,-0.0002171074377097439,4.455601331655799e-05,0.0,0.0,0.0,1.0,22,h136,anti_bundle,r131_S1_f0p25_g0.25,0.25,1,1.2076335363063462e-06,1.4433003064516416e-07,2.4009811754196163e-07,-9.681073334084217e-05,-2.1806108450400652e-05,0.3966309560318363,H135 completion tail is not just removed; it may define a counterfield whose opposite direction tests action toxicity,route_curvature,30.0,0.001054772929083395,0.29752919809619766
h137_counter_r207_Q3S4_f0p25_g0p25_e5d4bd4c,h136_tailtox_counterfield,public_residual_toxicity_solver,forbidden_veto_tail_toxicity_counterfield,H135 completion tail is not just removed; it may define a counterfield whose opposite direction tests action toxicity,state_core,0.1,34,1.0,0.22,28,28,22,-2.6645558238463105e-05,-4.938774042417924e-06,-2.4031379286628828e-06,0.5357142857142857,0.5714285714285714,0.4531224489795919,0.2857142857142857,0.3009105673469387,0.3653367346938775,-0.028985090618474516,0.14845072132104864,0.06540539344791409,0.0,9.025459344625311e-05,0.03706146565254731,7,"53,55,59,70,79,93,101,102,103,135,136,137,144,145,148,149,150,151,164,188,205,207",0.21498234624381696,submission_h137_counter_r207_Q3S4_f0p25_g0p25_e5d4bd4c.csv,/Users/kbsoo/Downloads/cl2/hitl/h137_tail_toxicity_counterfield_hsjepa/submission_h137_counter_r207_Q3S4_f0p25_g0p25_e5d4bd4c.csv,5,0,6,9,5,0,3,-0.15083961218987058,-0.16475384288350092,-0.16316519600869558,-0.13394046270827428,-0.1520468224101623,-0.17409437067043154,-0.16504404233076664,/Users/kbsoo/Downloads/cl2/hitl/h137_tail_toxicity_counterfield_hsjepa/submission_h137_counter_r207_Q3S4_f0p25_g0p25_e5d4bd4c.csv,250,True,0,0,4.939277944527429e-06,0.9999967514907456,28,True,0.0,0.0,-0.06249363501777329,0.15936257545816887,0.14973607039707115,0.15936257545816887,-0.0007598672119321408,0.4022457857142857,0.6656504263265306,0.2634046406122449,0.786758367346939,0.001448033486174775,5.423169641219105,0.05841913432245683,5.3146256048088745,12,6,3,2.607142857142857,0.6891071428571428,0.45002308161919136,26,0.8864676132890766,24,0.8511574921898613,19,0.8860412734348962,26,0.8717103482370251,25,0.8832459567039196,24,0.8818783861745048,23,0.8818519581185653,21,0.8749953578348278,21,-0.06249363501777329,28,-0.049528612897256664,26,0.9754425911194028,23,0.9689416226249845,27,0.9662468757860817,27,0.9807323011022345,26,0.9995078118750444,-0.0002616634510263019,-0.00021618570152549745,4.547774950080445e-05,0.0,0.0,0.0,1.0,22,h136,anti_bundle,r207_Q3S4_f0p25_g0.25,0.25,2,2.4263856560134515e-06,7.124700030622291e-07,1.1618343017884194e-06,-0.000360970598503034,-7.84749901237003e-05,0.39577843403077534,H135 completion tail is not just removed; it may define a counterfield whose opposite direction tests action toxicity,route_curvature,30.0,0.001054772929083395,0.2974943986490952
h137_counter_r135_S4Q3_f0p6_g0p25_879bbcd4,h136_tailtox_counterfield,public_residual_toxicity_solver,forbidden_veto_tail_toxicity_counterfield,H135 completion tail is not just removed; it may define a counterfield whose opposite direction tests action toxicity,state_core,0.1,34,1.0,0.22,27,27,21,-2.6504880702524366e-05,-5.226909272085486e-06,-2.5494125608995604e-06,0.48148148148148145,0.5925925925925926,0.44009841269841277,0.3333333333333333,0.2740934687830687,0.4011322751322751,-0.02624517714370239,0.1470133631805354,0.06382447326637188,0.0,8.839716660712282e-05,0.03706146565254731,7,"53,55,59,70,79,93,101,102,103,135,136,137,144,145,148,149,150,151,164,188,205",0.21425600295652908,submission_h137_counter_r135_S4Q3_f0p6_g0p25_879bbcd4.csv,/Users/kbsoo/Downloads/cl2/hitl/h137_tail_toxicity_counterfield_hsjepa/submission_h137_counter_r135_S4Q3_f0p6_g0p25_879bbcd4.csv,5,0,5,9,5,0,3,-0.15142154719558998,-0.16496332165594343,-0.16346794535538675,-0.13384677774486461,-0.15232093191328722,-0.17453229298972947,-0.16546509877600823,/Users/kbsoo/Downloads/cl2/hitl/h137_tail_toxicity_counterfield_hsjepa/submission_h137_counter_r135_S4Q3_f0p6_g0p25_879bbcd4.csv,250,True,0,0,4.939277944527429e-06,0.9999967514907456,27,True,0.0,0.0,-0.06229688479933732,0.15936664822653326,0.149696403814109,0.15936664822653326,-0.0007609221970972122,0.4134257037037037,0.6785622395767198,0.2651365358730159,0.810107724867725,0.0015016643560331,5.627338064412896,0.05954961040538375,5.521723190455749,13,7,3,2.925925925925926,0.6913888888888888,0.44990418113519137,26,0.8852550673770787,24,0.854964327051155,19,0.890004127359368,26,0.8705413835896347,25,0.8820155338548795,24,0.8806351986192743,23,0.8806071595673389,21,0.8736751787245828,20,-0.06229688479933732,27,-0.049608662797962645,26,0.9741083416685222,23,0.9674566173102033,27,0.9623467577407775,27,0.9755392901006004,26,0.9989238628239507,-0.0002616634510263019,-0.00021711316732646443,4.4550283699837465e-05,0.0,0.0,0.0,1.0,21,h136,anti_bundle,r135_S4Q3_f0p6_g0.25,0.25,2,1.37140049094207e-06,8.531475390009683e-07,2.343685008214351e-07,-0.00016422038006706774,-7.440222175930655e-05,0.39972875556578535,H135 completion tail is not just removed; it may define a counterfield whose opposite direction tests action toxicity,route_curvature,30.0,0.001054772929083395,0.29680996948533384
