kind,label,beta,changed_cells_vs_h136,route,h098,curv_marg,h088,margin,badw,badmax,delta_route,delta_h098,delta_curv_marg,delta_h088,delta_margin,bundle_row,bundle_targets,bundle_score,h137_counterfield_score
forward_bundle,r207_S2Q3_f0p25,0.25,2,-0.0007596413303709865,-2.815225735170986e-05,4.4313480121813e-05,-0.0560132116298735,0.15644156771243828,0.0,0.0,2.652267217167787e-06,-7.942291101845252e-07,-2.4350772030289763e-09,0.006119452789396754,-0.002999482735854292,207,"S2,Q3",0.7245132605491345,
anti_bundle,r207_S2Q3_f0p25_g0.25,0.25,2,-0.0007598441259344272,-2.6233749407554964e-05,4.568216358518621e-05,-0.06331748377896086,0.15924850613509264,0.0,0.0,2.449471653726996e-06,1.1242788339703696e-06,1.3662483861701796e-06,-0.0011848193596906073,-0.00019254431319992715,207,"S2,Q3",0.7245132605491345,0.011953850463222808
anti_bundle,r207_S2Q3_f0p25_g0.5,0.5,2,-0.0007597766076227467,-2.521156261144422e-05,4.6068754555775955e-05,-0.06434478454137954,0.15867503178983527,0.0,0.0,2.516989965407543e-06,2.1464656300811125e-06,1.7528393567599245e-06,-0.002212120122109286,-0.0007660186584572959,207,"S2,Q3",0.7245132605491345,0.021351660771261185
anti_bundle,r207_S2Q3_f0p25_g1,1.0,2,-0.0007596413303709865,-2.3167159386686944e-05,4.672274997345087e-05,-0.06591437728868722,0.15644156771243828,0.0,0.0,2.652267217167787e-06,4.19086885483839e-06,2.4068347744348427e-06,-0.0037817128694169685,-0.002999482735854292,207,"S2,Q3",0.7245132605491345,0.03366741771057831
forward_bundle,r207_S2Q3_f0p35,0.35,2,-0.0007596413303709865,-2.815225735170986e-05,4.4313480121813e-05,-0.0560132116298735,0.15644156771243828,0.0,0.0,2.652267217167787e-06,-7.942291101845252e-07,-2.4350772030289763e-09,0.006119452789396754,-0.002999482735854292,207,"S2,Q3",0.7245132605491345,
anti_bundle,r207_S2Q3_f0p35_g0.25,0.25,2,-0.0007598441259344272,-2.6233749407554964e-05,4.568216358518621e-05,-0.06331748377896086,0.15924850613509264,0.0,0.0,2.449471653726996e-06,1.1242788339703696e-06,1.3662483861701796e-06,-0.0011848193596906073,-0.00019254431319992715,207,"S2,Q3",0.7245132605491345,0.011953850463222808
anti_bundle,r207_S2Q3_f0p35_g0.5,0.5,2,-0.0007597766076227467,-2.521156261144422e-05,4.6068754555775955e-05,-0.06434478454137954,0.15867503178983527,0.0,0.0,2.516989965407543e-06,2.1464656300811125e-06,1.7528393567599245e-06,-0.002212120122109286,-0.0007660186584572959,207,"S2,Q3",0.7245132605491345,0.021351660771261185
anti_bundle,r207_S2Q3_f0p35_g1,1.0,2,-0.0007596413303709865,-2.3167159386686944e-05,4.672274997345087e-05,-0.06591437728868722,0.15644156771243828,0.0,0.0,2.652267217167787e-06,4.19086885483839e-06,2.4068347744348427e-06,-0.0037817128694169685,-0.002999482735854292,207,"S2,Q3",0.7245132605491345,0.03366741771057831
forward_bundle,r207_S2Q3_f0p5,0.5,2,-0.0007593698133538724,-2.9048430337075054e-05,4.2766288952253255e-05,-0.04842696561291692,0.14836663520879784,0.0,0.0,2.9237842342818426e-06,-1.6904020955497197e-06,-1.5496262467627753e-06,0.013705698806353334,-0.011074415239494734,207,"S2,Q3",0.7245132605491345,
anti_bundle,r207_S2Q3_f0p5_g0.25,0.25,2,-0.0007597766076227467,-2.521156261144422e-05,4.6068754555775955e-05,-0.06434478454137954,0.15867503178983527,0.0,0.0,2.516989965407543e-06,2.1464656300811125e-06,1.7528393567599245e-06,-0.002212120122109286,-0.0007660186584572959,207,"S2,Q3",0.7245132605491345,0.021351660771261185
anti_bundle,r207_S2Q3_f0p5_g0.5,0.5,2,-0.0007596413303709865,-2.3167159386686944e-05,4.672274997345087e-05,-0.06591437728868722,0.15644156771243828,0.0,0.0,2.652267217167787e-06,4.19086885483839e-06,2.4068347744348427e-06,-0.0037817128694169685,-0.002999482735854292,207,"S2,Q3",0.7245132605491345,0.03366741771057831
anti_bundle,r207_S2Q3_f0p5_g1,1.0,2,-0.0007593698133538724,-1.90782344070289e-05,4.7474132057564794e-05,-0.06720717415881085,0.14836663520879784,0.0,0.0,2.9237842342818426e-06,8.279793834496435e-06,3.1582168585487635e-06,-0.005074509739540593,-0.011074415239494734,207,"S2,Q3",0.7245132605491345,0.034423027536467546
forward_bundle,r207_S2Q3_f0p6,0.6,2,-0.0007596413303709865,-2.815225735170986e-05,4.4313480121813e-05,-0.0560132116298735,0.15644156771243828,0.0,0.0,2.652267217167787e-06,-7.942291101845252e-07,-2.4350772030289763e-09,0.006119452789396754,-0.002999482735854292,207,"S2,Q3",0.7245132605491345,
anti_bundle,r207_S2Q3_f0p6_g0.25,0.25,2,-0.0007598441259344272,-2.6233749407554964e-05,4.568216358518621e-05,-0.06331748377896086,0.15924850613509264,0.0,0.0,2.449471653726996e-06,1.1242788339703696e-06,1.3662483861701796e-06,-0.0011848193596906073,-0.00019254431319992715,207,"S2,Q3",0.7245132605491345,0.011953850463222808
anti_bundle,r207_S2Q3_f0p6_g0.5,0.5,2,-0.0007597766076227467,-2.521156261144422e-05,4.6068754555775955e-05,-0.06434478454137954,0.15867503178983527,0.0,0.0,2.516989965407543e-06,2.1464656300811125e-06,1.7528393567599245e-06,-0.002212120122109286,-0.0007660186584572959,207,"S2,Q3",0.7245132605491345,0.021351660771261185
anti_bundle,r207_S2Q3_f0p6_g1,1.0,2,-0.0007596413303709865,-2.3167159386686944e-05,4.672274997345087e-05,-0.06591437728868722,0.15644156771243828,0.0,0.0,2.652267217167787e-06,4.19086885483839e-06,2.4068347744348427e-06,-0.0037817128694169685,-0.002999482735854292,207,"S2,Q3",0.7245132605491345,0.03366741771057831
forward_bundle,r207_Q3S4_f0p25,0.25,2,-0.0007597339596841316,-2.7197347151473872e-05,4.505541034971472e-05,-0.060093948468690116,0.1581991842786754,0.0,0.0,2.5596379040226415e-06,1.6068109005146214e-07,7.394951506986894e-07,0.002038715950580139,-0.0012418661696171618,207,"Q3,S4",0.6841190425423664,
