bundle_id,row,bundle_size,frac,targets,h135_bundle_score,h135_mean_companion_score,h135_mean_safety,h135_mean_toxicity,h135_mean_gap,h135_row_conversion_pressure
r207_S2Q3_f0p25,207,2,0.25,"S2,Q3",0.7245132605491345,0.5168647981468487,0.5568624257142858,0.3125811428571428,0.24428128285714293,0.3763939179428572
r207_S2Q3_f0p35,207,2,0.35,"S2,Q3",0.7245132605491345,0.5168647981468487,0.5568624257142858,0.3125811428571428,0.24428128285714293,0.3763939179428572
r207_S2Q3_f0p5,207,2,0.5,"S2,Q3",0.7245132605491345,0.5168647981468487,0.5568624257142858,0.3125811428571428,0.24428128285714293,0.3763939179428572
r207_S2Q3_f0p6,207,2,0.6,"S2,Q3",0.7245132605491345,0.5168647981468487,0.5568624257142858,0.3125811428571428,0.24428128285714293,0.3763939179428572
r207_Q3S4_f0p25,207,2,0.25,"Q3,S4",0.6841190425423664,0.4600943001400807,0.5045928685714286,0.28964314285714277,0.21494972571428575,0.3763939179428572
r207_Q3S4_f0p35,207,2,0.35,"Q3,S4",0.6841190425423664,0.4600943001400807,0.5045928685714286,0.28964314285714277,0.21494972571428575,0.3763939179428572
r207_Q3S4_f0p5,207,2,0.5,"Q3,S4",0.6841190425423664,0.4600943001400807,0.5045928685714286,0.28964314285714277,0.21494972571428575,0.3763939179428572
r207_Q3S4_f0p6,207,2,0.6,"Q3,S4",0.6841190425423664,0.4600943001400807,0.5045928685714286,0.28964314285714277,0.21494972571428575,0.3763939179428572
r207_S2S4_f0p25,207,2,0.25,"S2,S4",0.6691401893499305,0.507567921233359,0.5322882428571428,0.3305177142857143,0.20177052857142858,0.3763939179428572
r207_S2S4_f0p35,207,2,0.35,"S2,S4",0.6691401893499305,0.507567921233359,0.5322882428571428,0.3305177142857143,0.20177052857142858,0.3763939179428572
r207_S2S4_f0p5,207,2,0.5,"S2,S4",0.6691401893499305,0.507567921233359,0.5322882428571428,0.3305177142857143,0.20177052857142858,0.3763939179428572
r207_S2S4_f0p6,207,2,0.6,"S2,S4",0.6691401893499305,0.507567921233359,0.5322882428571428,0.3305177142857143,0.20177052857142858,0.3763939179428572
r207_S2_f0p25,207,1,0.25,S2,0.6545344073566985,0.5643384192401271,0.5845578,0.35345571428571426,0.23110208571428575,0.3763939179428572
r207_S2_f0p35,207,1,0.35,S2,0.6545344073566985,0.5643384192401271,0.5845578,0.35345571428571426,0.23110208571428575,0.3763939179428572
r207_S2_f0p5,207,1,0.5,S2,0.6545344073566985,0.5643384192401271,0.5845578,0.35345571428571426,0.23110208571428575,0.3763939179428572
r207_S2_f0p6,207,1,0.6,S2,0.6545344073566985,0.5643384192401271,0.5845578,0.35345571428571426,0.23110208571428575,0.3763939179428572
r164_S1S4_f0p25,164,2,0.25,"S1,S4",0.6166966711260954,0.3706786491405715,0.7023086457142858,0.48285999999999996,0.21944864571428574,0.40899656350476193
r164_S1S4_f0p35,164,2,0.35,"S1,S4",0.6166966711260954,0.3706786491405715,0.7023086457142858,0.48285999999999996,0.21944864571428574,0.40899656350476193
r164_S1S4_f0p5,164,2,0.5,"S1,S4",0.6166966711260954,0.3706786491405715,0.7023086457142858,0.48285999999999996,0.21944864571428574,0.40899656350476193
r164_S1S4_f0p6,164,2,0.6,"S1,S4",0.6166966711260954,0.3706786491405715,0.7023086457142858,0.48285999999999996,0.21944864571428574,0.40899656350476193
r131_S1S2_f0p25,131,2,0.25,"S1,S2",0.6015460740425604,0.41457174093703664,0.5191022485714285,0.4932817142857143,0.02582053428571425,0.3779203269333334
r131_S1S2_f0p35,131,2,0.35,"S1,S2",0.6015460740425604,0.41457174093703664,0.5191022485714285,0.4932817142857143,0.02582053428571425,0.3779203269333334
r131_S1S2_f0p5,131,2,0.5,"S1,S2",0.6015460740425604,0.41457174093703664,0.5191022485714285,0.4932817142857143,0.02582053428571425,0.3779203269333334
r131_S1S2_f0p6,131,2,0.6,"S1,S2",0.6015460740425604,0.41457174093703664,0.5191022485714285,0.4932817142857143,0.02582053428571425,0.3779203269333334
r207_Q3_f0p25,207,1,0.25,Q3,0.5644921137415705,0.46939117705357036,0.5291670514285715,0.2717065714285713,0.2574604800000001,0.3763939179428572
