config_id,prior_kind,beta,n_samples,best_world_mae,top100_world_mae,p01_world_mae,p05_world_mae,median_world_mae,best_world_p90_abs,best_world_spearman,mean_row_vector_entropy,mean_max_vector_prob,mean_hs_prior_kl,config_score
hs_b0.1,hs,0.1,60000,0.00013151513821918698,0.000260035023755434,0.00037465931862772686,0.0005064897359561984,0.0013983720282944073,0.00028416115567113387,0.932330827067669,3.7942815895620616,0.11477204062174104,1.1050593945953624,0.0002774098153609734
hsconf_b0.2,hs_conf,0.2,60000,0.00015526611056316636,0.0002666279303118516,0.00038284839243295867,0.0005158055115842257,0.0013955016018068422,0.00041530635555930536,0.9624060150375938,3.7382241385508688,0.1273104434073979,1.0435045880668303,0.0002898571167448112
hs_b0.18,hs,0.18,60000,0.00019896343073439902,0.0002695207019025553,0.0003850309509956326,0.0005146018973145743,0.0013839236764949326,0.00029191371492979455,0.9518796992481202,3.705782376167942,0.13159504773751554,0.9706102300067219,0.0003042082637082747
hs_b0.25,hs,0.25,60000,0.00016748652445669338,0.00027578518875191716,0.0003986852766226705,0.0005310870886015953,0.0013719216438996206,0.00030313002597768304,0.9172932330827066,3.616409152029261,0.14786849103353347,0.8673707690146759,0.00030500655053587635
none_b0,none,0.0,60000,0.00014781740580298853,0.00026335422646951516,0.00038194164628456526,0.0005107196025786084,0.0014335162055880669,0.0003091846107658947,0.9248120300751879,3.88242539076177,0.09749251559257664,1.2948986616431684,0.00031075838164646325
hsconf_b0.35,hs_conf,0.35,60000,0.0001891060880477552,0.0002802793059459326,0.00040205453701134045,0.0005328686074147544,0.0013764153466912182,0.00036487609451792905,0.9458646616541352,3.6016352117881496,0.1543723392068161,0.8919159768086702,0.00031438534180938134
hs_b0.35,hs,0.35,60000,0.00014364045793566473,0.0002961978828624151,0.0004157076845089727,0.000550071721060663,0.001370004857598125,0.00032701815375893483,0.9804511278195487,3.472356507800561,0.17328480115681455,0.7448764381971905,0.0003192652319626421
hs_b0.5,hs,0.5,60000,0.00020765138818796227,0.00031975679594384765,0.0004536286763762632,0.000583059029221595,0.0013786177553432232,0.0004996969691411412,0.9789473684210527,3.23100747248288,0.21351607894090494,0.6169333804114294,0.000362664089575833
hsconf_b0.55,hs_conf,0.55,60000,0.00024178108580629718,0.0003167073071436758,0.00043777738706346335,0.0005677522003103314,0.0013962839116086873,0.0004380681017737176,0.9669172932330825,3.392753373468805,0.19332885084729687,0.7408697984751169,0.0003669227985046039
hsmarg_b0.25,hs_marginal,0.25,60000,0.00021181397086065734,0.0003293815094829265,0.0004950057944298109,0.0007076477217177773,0.0028317433359213652,0.00043739288402316754,0.918796992481203,4.03567571897286,0.08209709389050678,1.1895038016731492,0.0003792716718666358
hsconf_b0.85,hs_conf,0.85,60000,0.0002413392166899322,0.00036167094141111196,0.00048727330374421,0.0006270124857581951,0.0014503257344995804,0.0006051993978005363,0.9714285714285714,3.0539978189206347,0.2525178490285934,0.6146043617669223,0.00041659021881515886
hs_b0.75,hs,0.75,60000,0.00027161515888403257,0.0003812035399850959,0.0005095016543611203,0.0006407670520100741,0.0014359054061427279,0.0005566848553849136,0.8360902255639097,2.810952631370831,0.2806350833243042,0.5336803189409052,0.0004499747883752987
hs_b1,hs,1.0,60000,0.000331428058182046,0.0004243731757547664,0.0005597893220322946,0.0006932607957694563,0.0015562979652371145,0.0009379845830958629,0.9248120300751879,2.432051803579536,0.3401107441483605,0.5579316531449147,0.0005104647616012518
hs_b1.35,hs,1.35,60000,0.0003753098302821164,0.0004886148016526349,0.0006327933486118237,0.0007826839506984215,0.0018308835730672626,0.0006620503164567509,0.9263157894736842,2.0245788440245858,0.40703885783847216,0.6625797106955098,0.0005929321204001358
hsmarg_b0.45,hs_marginal,0.45,60000,0.0003286237508006486,0.0005711329467295546,0.0009572030288125025,0.0019747909615542027,0.005679257105724554,0.0007405312042029967,0.9248120300751879,4.149283724011764,0.07071188678526255,1.1196679850696383,0.0006962648264087114
hsmarg_b0.65,hs_marginal,0.65,60000,0.0008157926759784571,0.0018237608506884912,0.0036694568969940144,0.005350027430127403,0.009838410621092648,0.0009356405291822927,0.7172932330827068,4.252096266111292,0.0602326243264949,1.0667292461702547,0.002348135912390026
