posterior_id,config_id,prior_kind,beta,method,temperature,top_k,weight_power,posterior_mae,posterior_p90_abs,posterior_spearman,best_world_mae,top100_world_mae,median_world_mae,ess,ess_rate,q_abs_shift_vs_base,q_max_abs_shift_vs_base,q_spearman_vs_base,mean_max_vector_posterior,row_vector_kl_from_prior,row_vector_kl_from_hs,posterior_score
none_b0_top250_t0.0005,none_b0,none,0.0,topk,0.0005,250,1.0,1.4072604718079214e-05,2.6311752062412057e-05,0.9909774436090225,0.00014781740580298853,0.00026335422646951516,0.0014335162055880669,248.81098881302663,0.004146849813550443,0.02227595806839275,0.11418495909461063,0.9912594619752984,0.10613092718445978,0.21515449697545863,1.5060093144895932,-1.8988555010678673e-05
none_b0_top250_t0.00025,none_b0,none,0.0,topk,0.00025,250,1.0,1.3918641907544744e-05,2.7053197982838098e-05,0.9909774436090225,0.00014781740580298853,0.00026335422646951516,0.0014335162055880669,244.90563551939817,0.0040817605919899694,0.02236751273605962,0.11382140849495226,0.9911783102206856,0.10628322371156658,0.21698947189705667,1.5077764397662365,-1.8957156341106634e-05
none_b0_elite250,none_b0,none,0.0,elite,0.0,250,1.0,1.4239517444141707e-05,2.7368353116265072e-05,0.9909774436090225,0.00014781740580298853,0.00026335422646951516,0.0014335162055880669,250.0,0.004166666666666667,0.02230361989715794,0.11412711621304977,0.9912528843032464,0.10600000000000002,0.21469932646094672,1.505640300000499,-1.8557492021152928e-05
hs_b0.1_top250_t0.00012,hs_b0.1,hs,0.1,topk,0.00012,250,1.0,2.4949887980795036e-05,4.372017896657407e-05,0.9759398496240601,0.00013151513821918698,0.000260035023755434,0.0013983720282944073,223.46273232428246,0.0037243788720713743,0.025614279850758835,0.15022542696978253,0.989795872440786,0.12107383884965714,0.2197627684350835,1.3291329626980606,-1.8157661262523853e-05
none_b0_top2500_t0.00012,none_b0,none,0.0,topk,0.00012,2500,1.0,1.417905854318802e-05,3.0373286311062917e-05,0.993984962406015,0.00014781740580298853,0.00026335422646951516,0.0014335162055880669,1780.12157599951,0.029668692933325167,0.0083855026573824,0.045874081112799225,0.9986903898950019,0.09961384760410649,0.03142056657082157,1.3281819948454185,-1.798701837528685e-05
none_b0_top2500_t0.00025,none_b0,none,0.0,topk,0.00025,2500,1.0,1.586532140336232e-05,2.609731482820737e-05,0.9954887218045112,0.00014781740580298853,0.00026335422646951516,0.0014335162055880669,2343.295628179053,0.03905492713631755,0.0072676658858448675,0.03648286826695868,0.999009868678271,0.09916603930046082,0.025023084582012637,1.3223316653671577,-1.742989876176629e-05
none_b0_top250_t0.00012,none_b0,none,0.0,topk,0.00012,250,1.0,1.4078164525435037e-05,3.0367489778733794e-05,0.9759398496240601,0.00014781740580298853,0.00026335422646951516,0.0014335162055880669,224.93343850772465,0.0037488906417954106,0.023136984312917507,0.1109760660865225,0.9905493399001825,0.10699454167050451,0.227169066920935,1.5178735349222179,-1.736755701484392e-05
none_b0_top2500_t0.0005,none_b0,none,0.0,topk,0.0005,2500,1.0,1.6683491729882828e-05,2.4696175533814157e-05,0.9984962406015038,0.00014781740580298853,0.00026335422646951516,0.0014335162055880669,2463.887025863957,0.04106478376439929,0.007024570633837416,0.03331150542982919,0.9990721133250808,0.0990650823670634,0.023979417949042243,1.3214182259683454,-1.7082314010723785e-05
none_b0_soft_t0.00012_p2,none_b0,none,0.0,soft,0.00012,0,2.0,1.501271642800799e-05,3.142442031892659e-05,0.9894736842105262,0.00014781740580298853,0.00026335422646951516,0.0014335162055880669,643.7794591011975,0.010729657651686625,0.013630152601339254,0.07142183932270696,0.9965299460192621,0.10206860981875449,0.06610226403084231,1.3611045897047873,-1.6710125860681412e-05
hs_b0.1_top250_t0.00025,hs_b0.1,hs,0.1,topk,0.00025,250,1.0,2.568948656322713e-05,4.809184189839729e-05,0.9759398496240601,0.00013151513821918698,0.000260035023755434,0.0013983720282944073,244.97839523530314,0.004082973253921719,0.024594569931818164,0.1385203799568508,0.9905451528489478,0.12049373337888321,0.2094508732896207,1.3184887300675363,-1.6325146947135955e-05
