rowweighted_delta_vs_h012,uniform_delta_vs_h012,row_beats_rate,row_p90_delta,candidate_id,mode,target_subset,k,alpha,changed_rows,changed_cells,mean_abs_prob_delta_vs_h012,max_abs_prob_delta_vs_h012,mean_abs_prob_delta_vs_h020,h018_rowweighted_delta_vs_h012,h020_rowweighted_delta_vs_h012,h021_rowweighted_delta_vs_h012,selected_prior_kind,selected_beta,beats_h020_under_h022,h022_decision,decision_rank,file
-0.0026468217959099397,-0.002608670568959964,1.0,-0.0009342997122417467,combined_all_k1750_a0.75,combined,all,1750,0.75,250,1750,0.018892736291797187,0.10274432687726154,0.01994647317919776,-0.000643700667220692,-0.00018078994854115775,-8.492843381844784e-05,none,0.0,True,diagnostic_only,2,hitl/h022_hs_conditioned_vector_world_jepa/submission_h022_combined_all_k1750_a0.75_bad45718.csv
-0.0026468217959099397,-0.002608670568959964,1.0,-0.0009342997122417467,gain_all_k1750_a0.75,gain,all,1750,0.75,250,1750,0.018892736291797187,0.10274432687726154,0.01994647317919776,-0.000643700667220692,-0.00018078994854115775,-8.492843381844784e-05,none,0.0,True,diagnostic_only,2,hitl/h022_hs_conditioned_vector_world_jepa/submission_h022_gain_all_k1750_a0.75_bad45718.csv
-0.0026468217959099397,-0.002608670568959964,1.0,-0.0009342997122417467,shift_all_k1750_a0.75,shift,all,1750,0.75,250,1750,0.018892736291797187,0.10274432687726154,0.01994647317919776,-0.000643700667220692,-0.00018078994854115775,-8.492843381844784e-05,none,0.0,True,diagnostic_only,2,hitl/h022_hs_conditioned_vector_world_jepa/submission_h022_shift_all_k1750_a0.75_bad45718.csv
-0.002646589735215264,-0.0026083202223197506,1.0,-0.0009276489534277653,gain_all_k1500_a1.25,gain,all,1500,1.25,250,1500,0.03079108436212257,0.15819961578944475,0.029923092244753702,-0.000643700667220692,-0.00018078994854115775,-8.492843381844784e-05,none,0.0,True,diagnostic_only,2,hitl/h022_hs_conditioned_vector_world_jepa/submission_h022_gain_all_k1500_a1.25_42391fdc.csv
-0.0026439412338438444,-0.00260587681232569,1.0,-0.0009276434309820027,gain_all_k1500_a0.75,gain,all,1500,0.75,250,1500,0.018679470195958402,0.10274432687726154,0.01996210582112735,-0.000643700667220692,-0.00018078994854115775,-8.492843381844784e-05,none,0.0,True,diagnostic_only,2,hitl/h022_hs_conditioned_vector_world_jepa/submission_h022_gain_all_k1500_a0.75_36cfdf8a.csv
-0.002635845046147004,-0.0025965631967302446,1.0,-0.0008670087992271212,combined_all_k1500_a1.25,combined,all,1500,1.25,250,1500,0.0302175338414002,0.15819961578944475,0.029953741253761653,-0.000643700667220692,-0.00018078994854115775,-8.492843381844784e-05,none,0.0,True,diagnostic_only,2,hitl/h022_hs_conditioned_vector_world_jepa/submission_h022_combined_all_k1500_a1.25_7b53bb82.csv
-0.0026331857188080193,-0.00259411142828266,1.0,-0.0008652521951903158,combined_all_k1500_a0.75,combined,all,1500,0.75,250,1500,0.01833421780111732,0.10274432687726154,0.020021368907028422,-0.000643700667220692,-0.00018078994854115775,-8.492843381844784e-05,none,0.0,True,diagnostic_only,2,hitl/h022_hs_conditioned_vector_world_jepa/submission_h022_combined_all_k1500_a0.75_1b08bc34.csv
-0.0026122755695848388,-0.002573558505050146,1.0,-0.0008740198789558935,gain_all_k1200_a1.25,gain,all,1200,1.25,250,1200,0.02889686357396462,0.15819961578944475,0.02942427797597965,-0.000643700667220692,-0.00018078994854115775,-8.492843381844784e-05,none,0.0,True,diagnostic_only,2,hitl/h022_hs_conditioned_vector_world_jepa/submission_h022_gain_all_k1200_a1.25_2229f8be.csv
-0.0026096288361128622,-0.0025711168675679667,1.0,-0.0008744849313027294,gain_all_k1200_a0.75,gain,all,1200,0.75,250,1200,0.017542296286040364,0.10274432687726154,0.019768821398022947,-0.000643700667220692,-0.00018078994854115775,-8.492843381844784e-05,none,0.0,True,diagnostic_only,2,hitl/h022_hs_conditioned_vector_world_jepa/submission_h022_gain_all_k1200_a0.75_5bd28aaf.csv
-0.0025860362205614405,-0.0025447885447436487,1.0,-0.0008164162898637146,combined_all_k1200_a1.25,combined,all,1200,1.25,249,1200,0.0281981979281328,0.15819961578944475,0.029679346351984024,-0.000643700667220692,-0.00018078994854115775,-8.492843381844784e-05,none,0.0,True,diagnostic_only,2,hitl/h022_hs_conditioned_vector_world_jepa/submission_h022_combined_all_k1200_a1.25_517bcc7b.csv
-0.0025833970095439415,-0.0025423563462667748,1.0,-0.0008160349356053219,combined_all_k1200_a0.75,combined,all,1200,0.75,249,1200,0.017117876311995548,0.10274432687726154,0.020041570375376797,-0.000643700667220692,-0.00018078994854115775,-8.492843381844784e-05,none,0.0,True,diagnostic_only,2,hitl/h022_hs_conditioned_vector_world_jepa/submission_h022_combined_all_k1200_a0.75_34a28926.csv
