action_id,route_id,row,subject_id,sleep_date,route_name,route_targets,mode,route_group,route_n_cells,action_cells,action_q2_cells,changed_cells,model_pred_delta_vs_h057,posterior_delta_vs_h057,hard_diag_delta_vs_h057,anti_h088_direction_rate,h057_positive_align_rate,selected_conflict_rate,selected_toxic_mean,selected_safe_cell_mean,mean_bad_same_rank,mean_h098_frontier_cell_score,max_h098_frontier_cell_score,assignment_route_score,h071_route_score,h071_route_rank,h071_novelty_rank,h071_shortcut_avoid_rank,Q1_cells,Q2_cells,Q3_cells,S1_cells,S2_cells,S3_cells,S4_cells,h099_route_score,basis_spec,basis_id,basis_alpha,basis_cap,basis_norm_l2,basis_norm_l1
r164_q3_quality_conflict_invert,r164_q3_quality,164,id07,2024-07-26,q3_quality,Q3,conflict_invert,conflict,1,1,0,1,-3.2590335451189705e-06,2.5076285614245907e-07,8.593018719657175e-07,1.0,1.0,1.0,0.8331428571428572,0.1454114285714285,0.1785714285714285,0.5973442857142858,0.5973442857142858,0.2346059782608695,0.8203553125367085,0.2631340579710144,0.1526268115942029,0.3958333333333333,0,0,1,0,0,0,0,0.6525957411002167,basis_conflict_a052,basis_conflict_a052__r164_q3_quality_conflict_invert,0.52,0.68,0.055798254557179135,0.055798254557179135
r135_q2_s3_tail_conflict_invert,r135_q2_s3_tail,135,id06,2024-07-14,q2_s3_tail,"Q2,S3",conflict_invert,conflict,2,1,0,1,-2.7874840396063284e-06,4.404920619684883e-08,4.404920619749095e-08,1.0,1.0,1.0,0.6443142857142858,0.4285694857142857,0.1785714285714285,0.4576712342857143,0.4576712342857143,0.6601132246376811,1.4471594859824366,0.6530797101449275,0.3154438405797101,0.928894927536232,0,0,0,0,0,1,0,0.6509187059107094,basis_conflict_a052,basis_conflict_a052__r135_q2_s3_tail_conflict_invert,0.52,0.68,0.3536,0.3536
r070_q3_quality_conflict_invert,r070_q3_quality,70,id03,2024-09-16,q3_quality,Q3,conflict_invert,conflict,1,1,0,1,-1.740247122245409e-05,4.653989809826557e-06,5.098061791965369e-06,1.0,1.0,1.0,0.4838571428571429,0.0667148571428571,0.7742857142857142,0.5586044000000001,0.5586044000000001,0.0857971014492753,0.5069376839652796,0.0991847826086956,0.0337409420289855,0.0842391304347826,0,0,1,0,0,0,0,0.6475617958369825,basis_conflict_a052,basis_conflict_a052__r070_q3_quality_conflict_invert,0.52,0.68,0.2846838476017578,0.2846838476017578
r139_nonq2_full_conflict_invert,r139_nonq2_full,139,id06,2024-07-19,nonq2_full,"Q1,Q3,S1,S2,S3,S4",conflict_invert,conflict,6,3,0,3,-1.8193686615472276e-05,1.0381952018499603e-05,1.272732727928965e-05,1.0,1.0,1.0,0.7264952380952381,0.04281074285714287,0.6983809523809524,0.4467804457142858,0.4912916914285715,0.4528532608695652,1.078072757047129,0.4284420289855072,0.9026268115942028,0.2359601449275362,0,0,1,0,0,1,1,0.6443745949120864,basis_conflict_a052,basis_conflict_a052__r139_nonq2_full_conflict_invert,0.52,0.68,0.5647544439481151,0.9696531614577061
r151_recovery_route_conflict_invert,r151_recovery_route,151,id06,2024-08-25,recovery_route,"Q1,S2,S3,S4",conflict_invert,conflict,4,1,0,1,-4.660843015029175e-06,7.409641795192602e-07,2.103050012163615e-06,1.0,1.0,1.0,0.4616571428571429,0.2318356571428572,0.46,0.5168146514285716,0.5168146514285716,0.4887137681159419,1.227884638008257,0.5307971014492754,0.8054800724637681,0.2133152173913043,1,0,0,0,0,0,0,0.6442273504128373,basis_conflict_a052,basis_conflict_a052__r151_recovery_route_conflict_invert,0.52,0.68,0.10831198261532259,0.10831198261532259
r139_q3_s_stage_conflict_invert,r139_q3_s_stage,139,id06,2024-07-19,q3_s_stage,"Q3,S1,S2,S3,S4",conflict_invert,conflict,5,3,0,3,-1.8193686615472276e-05,1.0381952018499603e-05,1.272732727928965e-05,1.0,1.0,1.0,0.7264952380952381,0.04281074285714287,0.6983809523809524,0.4467804457142858,0.4912916914285715,0.4465851449275362,1.0920874819659911,0.4384057971014493,0.8054800724637681,0.2721920289855072,0,0,1,0,0,1,1,0.6438104644773037,basis_conflict_a052,basis_conflict_a052__r139_q3_s_stage_conflict_invert,0.52,0.68,0.5647544439481151,0.9696531614577061
r164_recovery_route_conflict_invert,r164_recovery_route,164,id07,2024-07-26,recovery_route,"Q1,S2,S3,S4",conflict_invert,conflict,4,4,0,4,-1.150618430508898e-05,2.6635350871042563e-05,4.028533207245604e-05,1.0,1.0,1.0,0.7875214285714286,0.0638464857142856,0.7785714285714286,0.5581798200000001,0.7967975657142858,0.2825362318840579,0.733593073722543,0.2069746376811594,0.8054800724637681,0.0964673913043478,1,0,0,0,1,1,1,0.6409331144316235,basis_conflict_a052,basis_conflict_a052__r164_recovery_route_conflict_invert,0.52,0.68,0.6342288567759602,1.2538986579214968
r098_full_state_conflict_invert,r098_full_state,98,id04,2024-10-19,full_state,"Q1,Q2,Q3,S1,S2,S3,S4",conflict_invert,conflict,7,2,0,2,-1.0445456889792912e-05,7.683167793644887e-06,9.116965978938773e-06,1.0,1.0,1.0,0.6215714285714286,-0.049386171428571456,0.6877142857142857,0.5023742971428572,0.5486207771428572,0.4241440217391304,0.8326246859747435,0.2694746376811594,0.9685235507246376,0.1381340579710145,0,0,0,1,0,0,1,0.6317509313843926,basis_conflict_a052,basis_conflict_a052__r098_full_state_conflict_invert,0.52,0.68,0.3221552891164161,0.398393677037295
r061_q_subjective_conflict_invert,r061_q_subjective,61,id03,2024-08-19,q_subjective,"Q1,Q2,Q3",conflict_invert,conflict,3,1,0,1,-7.447314107907922e-06,3.9406298207476033e-07,1.0022672760613582e-06,1.0,1.0,1.0,0.4517142857142857,0.0444745142857143,0.6217142857142857,0.5751226514285716,0.5751226514285716,0.1980208333333333,0.4919725117231188,0.0905797101449275,0.6632699275362319,0.212409420289855,0,0,1,0,0,0,0,0.619756533637539,basis_conflict_a052,basis_conflict_a052__r061_q_subjective_conflict_invert,0.52,0.68,0.08755149378500557,0.08755149378500557
r000_recovery_route_conflict_invert,r000_recovery_route,0,id01,2024-07-31,recovery_route,"Q1,S2,S3,S4",conflict_invert,conflict,4,1,0,1,-3.159180632785288e-06,1.1576820899322862e-07,3.9831892220454426e-07,1.0,1.0,1.0,0.7346857142857143,-0.0351718857142857,0.1785714285714285,0.57472224,0.57472224,0.1776539855072464,0.4345906022939716,0.0679347826086956,0.7373188405797102,0.1123188405797101,0,0,0,0,0,0,1,0.6196654385907265,basis_conflict_a052,basis_conflict_a052__r000_recovery_route_conflict_invert,0.52,0.68,0.03744948973530406,0.03744948973530406
