split,feature_set,target,logloss,auc,uses_public_score,uses_train_labels,core_representation_frozen,evaluated_rows,probe_calibration_shrink
subject_heldout,hybrid_absolute_relative_world_model,Q2,0.9046440638220511,0.506350193615698,False,True,True,450,
subject_heldout,hybrid_absolute_relative_world_model,Q3,0.9579720013567492,0.5077777777777777,False,True,True,450,
subject_heldout,hybrid_absolute_relative_world_model,S1,1.0092051131043858,0.4234755472540489,False,True,True,450,
subject_heldout,hybrid_absolute_relative_world_model,S2,0.7062175634548943,0.4957066150735853,False,True,True,450,
subject_heldout,hybrid_absolute_relative_world_model,S3,1.5387474481789467,0.440038855528082,False,True,True,450,
subject_heldout,hybrid_absolute_relative_world_model,S4,0.7594651106235546,0.44017556517556516,False,True,True,450,
subject_heldout,hybrid_absolute_relative_world_model,all,0.96608711610256,0.47091248541552666,False,True,True,450,
subject_heldout,raw_plus_subject_relative_world_model,Q1,1.283318957486105,0.4731238023745087,False,True,True,450,
subject_heldout,raw_plus_subject_relative_world_model,Q2,0.8288341596371223,0.5437089946028371,False,True,True,450,
subject_heldout,raw_plus_subject_relative_world_model,Q3,0.7291944000960068,0.5146296296296297,False,True,True,450,
subject_heldout,raw_plus_subject_relative_world_model,S1,0.7991957984459018,0.4902394022915195,False,True,True,450,
subject_heldout,raw_plus_subject_relative_world_model,S2,1.2316884856074846,0.5528358079172193,False,True,True,450,
subject_heldout,raw_plus_subject_relative_world_model,S3,1.5677836889472612,0.4103673613564112,False,True,True,450,
subject_heldout,raw_plus_subject_relative_world_model,S4,1.1686944120991054,0.525693442360109,False,True,True,450,
subject_heldout,raw_plus_subject_relative_world_model,all,1.0869585574741412,0.5015140629331764,False,True,True,450,
chronological_holdout,prior_only,Q1,0.6982052575551428,0.5,False,True,True,131,
chronological_holdout,prior_only,Q2,0.6802989069682592,0.5,False,True,True,131,
chronological_holdout,prior_only,Q3,0.6597778995914756,0.5,False,True,True,131,
chronological_holdout,prior_only,S1,0.6215678419963218,0.5,False,True,True,131,
chronological_holdout,prior_only,S2,0.6755821939568336,0.5,False,True,True,131,
chronological_holdout,prior_only,S3,0.6669120962706943,0.5,False,True,True,131,
chronological_holdout,prior_only,S4,0.6934406862131552,0.5,False,True,True,131,
chronological_holdout,prior_only,all,0.6708264117931261,0.5,False,True,True,131,
chronological_holdout,raw_lifelog_pca,Q1,0.7208969416859232,0.5990610328638497,False,True,True,131,
chronological_holdout,raw_lifelog_pca,Q2,0.7175908364014176,0.5404040404040404,False,True,True,131,
chronological_holdout,raw_lifelog_pca,Q3,0.6600691132167201,0.5645896656534954,False,True,True,131,
chronological_holdout,raw_lifelog_pca,S1,0.6640611606120193,0.6449864498644987,False,True,True,131,
chronological_holdout,raw_lifelog_pca,S2,0.7104022655011757,0.6404411764705883,False,True,True,131,
