feature_set,target,neighbor_match_rate,random_match_rate,lift
raw_lifelog_pca,Q1,0.54,0.4902222222222223,0.049777777777777754
raw_lifelog_pca,Q2,0.5551111111111111,0.5266666666666666,0.028444444444444494
raw_lifelog_pca,Q3,0.5635555555555556,0.520888888888889,0.04266666666666663
raw_lifelog_pca,S1,0.6111111111111112,0.5702222222222222,0.040888888888888975
raw_lifelog_pca,S2,0.6164444444444444,0.5524444444444444,0.06399999999999995
raw_lifelog_pca,S3,0.6275555555555555,0.5426666666666666,0.0848888888888889
raw_lifelog_pca,S4,0.5502222222222222,0.5124444444444445,0.03777777777777769
raw_lifelog_pca,all,0.5805714285714285,0.5307936507936508,0.0497777777777777
existing_cohort_human_state,Q1,0.5502222222222222,0.5053333333333333,0.04488888888888887
existing_cohort_human_state,Q2,0.5724444444444445,0.5044444444444445,0.06800000000000006
existing_cohort_human_state,Q3,0.5408888888888889,0.5244444444444445,0.016444444444444373
existing_cohort_human_state,S1,0.6115555555555555,0.5737777777777777,0.0377777777777778
existing_cohort_human_state,S2,0.6106666666666667,0.5351111111111111,0.0755555555555556
existing_cohort_human_state,S3,0.6155555555555555,0.5528888888888889,0.06266666666666665
existing_cohort_human_state,S4,0.54,0.5008888888888889,0.039111111111111097
existing_cohort_human_state,all,0.5773333333333333,0.5281269841269841,0.04920634920634914
absolute_world_model_predicted,Q1,0.5222222222222223,0.4951111111111111,0.02711111111111114
absolute_world_model_predicted,Q2,0.5542222222222223,0.4982222222222222,0.056000000000000105
absolute_world_model_predicted,Q3,0.5462222222222223,0.5262222222222223,0.020000000000000018
absolute_world_model_predicted,S1,0.6226666666666666,0.5648888888888889,0.057777777777777706
absolute_world_model_predicted,S2,0.6208888888888888,0.5551111111111111,0.06577777777777771
absolute_world_model_predicted,S3,0.6208888888888888,0.5404444444444445,0.08044444444444432
absolute_world_model_predicted,S4,0.5595555555555555,0.5164444444444444,0.0431111111111111
absolute_world_model_predicted,all,0.5780952380952381,0.5280634920634921,0.05003174603174598
absolute_world_model_full,Q1,0.5337777777777778,0.5004444444444445,0.033333333333333326
absolute_world_model_full,Q2,0.5422222222222223,0.5057777777777779,0.03644444444444439
absolute_world_model_full,Q3,0.5422222222222223,0.5342222222222222,0.008000000000000118
absolute_world_model_full,S1,0.6031111111111112,0.5657777777777777,0.03733333333333344
absolute_world_model_full,S2,0.6204444444444445,0.5622222222222222,0.058222222222222286
absolute_world_model_full,S3,0.6257777777777779,0.5408888888888889,0.08488888888888901
absolute_world_model_full,S4,0.5528888888888889,0.5097777777777778,0.0431111111111111
absolute_world_model_full,all,0.5743492063492063,0.5313015873015873,0.043047619047619
subject_relative_world_model_predicted,Q1,0.532,0.4924444444444444,0.03955555555555562
subject_relative_world_model_predicted,Q2,0.5471111111111111,0.5097777777777778,0.03733333333333333
subject_relative_world_model_predicted,Q3,0.5511111111111111,0.5324444444444445,0.01866666666666661
subject_relative_world_model_predicted,S1,0.583111111111111,0.5804444444444444,0.002666666666666595
subject_relative_world_model_predicted,S2,0.544888888888889,0.5408888888888889,0.004000000000000115
subject_relative_world_model_predicted,S3,0.5675555555555556,0.5457777777777778,0.021777777777777785
subject_relative_world_model_predicted,S4,0.5053333333333334,0.4986666666666667,0.00666666666666671
subject_relative_world_model_predicted,all,0.5473015873015873,0.5286349206349207,0.01866666666666661
subject_relative_world_model_energy,Q1,0.516888888888889,0.49333333333333335,0.023555555555555607
subject_relative_world_model_energy,Q2,0.5137777777777778,0.5142222222222222,-0.0004444444444444695
subject_relative_world_model_energy,Q3,0.5302222222222223,0.5191111111111112,0.011111111111111072
subject_relative_world_model_energy,S1,0.5657777777777777,0.5577777777777778,0.007999999999999896
subject_relative_world_model_energy,S2,0.5635555555555556,0.5768888888888889,-0.013333333333333308
subject_relative_world_model_energy,S3,0.58,0.5693333333333335,0.010666666666666491
subject_relative_world_model_energy,S4,0.4995555555555556,0.4955555555555556,0.0040000000000000036
subject_relative_world_model_energy,all,0.5385396825396825,0.5323174603174604,0.006222222222222129
subject_relative_world_model_full,Q1,0.5155555555555555,0.5204444444444444,-0.0048888888888888316
subject_relative_world_model_full,Q2,0.5235555555555556,0.4866666666666667,0.03688888888888886
subject_relative_world_model_full,Q3,0.5573333333333333,0.5217777777777778,0.03555555555555556
subject_relative_world_model_full,S1,0.5968888888888889,0.5688888888888889,0.028000000000000025
subject_relative_world_model_full,S2,0.56,0.5413333333333333,0.01866666666666672
subject_relative_world_model_full,S3,0.5702222222222223,0.5528888888888889,0.017333333333333423
subject_relative_world_model_full,S4,0.5093333333333333,0.5124444444444445,-0.0031111111111111756
subject_relative_world_model_full,all,0.5475555555555556,0.5292063492063492,0.018349206349206337
hybrid_absolute_relative_world_model,Q1,0.5195555555555555,0.49733333333333335,0.0222222222222222
hybrid_absolute_relative_world_model,Q2,0.5248888888888888,0.5066666666666667,0.01822222222222214
hybrid_absolute_relative_world_model,Q3,0.548,0.524,0.02400000000000002
hybrid_absolute_relative_world_model,S1,0.5888888888888889,0.5568888888888889,0.03200000000000003
hybrid_absolute_relative_world_model,S2,0.5973333333333333,0.532,0.06533333333333324
hybrid_absolute_relative_world_model,S3,0.58,0.5542222222222223,0.025777777777777677
hybrid_absolute_relative_world_model,S4,0.5213333333333333,0.4786666666666667,0.04266666666666663
hybrid_absolute_relative_world_model,all,0.5542857142857143,0.5213968253968254,0.032888888888888856
raw_plus_subject_relative_world_model,Q1,0.5297777777777777,0.5,0.02977777777777768
raw_plus_subject_relative_world_model,Q2,0.5471111111111111,0.4888888888888889,0.05822222222222223
raw_plus_subject_relative_world_model,Q3,0.5511111111111111,0.5222222222222223,0.028888888888888853
raw_plus_subject_relative_world_model,S1,0.6080000000000001,0.5662222222222222,0.041777777777777914
raw_plus_subject_relative_world_model,S2,0.6164444444444444,0.5457777777777778,0.07066666666666654
raw_plus_subject_relative_world_model,S3,0.603111111111111,0.5622222222222222,0.040888888888888864
raw_plus_subject_relative_world_model,S4,0.536,0.4951111111111111,0.04088888888888892
raw_plus_subject_relative_world_model,all,0.5702222222222222,0.5257777777777777,0.04444444444444451
