file,public_lb,delta_vs_h057,role,note,resolved_path
submission_h057_q2row_fullvector_state_7cde1a77_uploadsafe.csv,0.5677475939,0.0,frontier,current public frontier; origin of the listener equation,/Users/kbsoo/Downloads/cl2/submission_h057_q2row_fullvector_state_7cde1a77_uploadsafe.csv
submission_h042_target_Q2_phase_k45_s0.5_c45_50fc6607_uploadsafe.csv,0.5679048248,0.00015723090000008266,frontier_basin,"Q2 phase basin, tied with H050",/Users/kbsoo/Downloads/cl2/submission_h042_target_Q2_phase_k45_s0.5_c45_50fc6607_uploadsafe.csv
submission_h050_target_route_phase_b140216b_uploadsafe.csv,0.5679048248,0.00015723090000008266,frontier_basin,"target-route phase basin, tied with H042",/Users/kbsoo/Downloads/cl2/submission_h050_target_route_phase_b140216b_uploadsafe.csv
submission_h144_targetxor_def80b88_uploadsafe.csv,0.567929641,0.00018204710000002677,tie_sensor,same public score as H145; target-xor branch did not separate,/Users/kbsoo/Downloads/cl2/submission_h144_targetxor_def80b88_uploadsafe.csv
submission_h145_q3repair_2d818e46_uploadsafe.csv,0.567929641,0.00018204710000002677,tie_sensor,same public score as H144; Q3 repair-only branch did not separate,/Users/kbsoo/Downloads/cl2/submission_h145_q3repair_2d818e46_uploadsafe.csv
submission_h012_public_equation_top_all_k1200_a0.7_uploadsafe.csv,0.5681234831,0.0003758892000000902,breakthrough_anchor,"first public-equation jump, now below H057",/Users/kbsoo/Downloads/cl2/submission_h012_public_equation_top_all_k1200_a0.7_uploadsafe.csv
submission_h088_dual_state_gate_c31cc15b_uploadsafe.csv,0.5684942019,0.0007466080000000375,negative_sensor,dual-head Pareto gate was not action-grade,/Users/kbsoo/Downloads/cl2/submission_h088_dual_state_gate_c31cc15b_uploadsafe.csv
submission_e247_featnn1_nn_smooth_sum_top34_f1ff7e86.csv,0.5761589494,0.00841135550000005,pre_h_world,pre-H breakthrough strong model anchor,/Users/kbsoo/Downloads/cl2/analysis_outputs/submission_e247_featnn1_nn_smooth_sum_top34_f1ff7e86.csv
submission_e256_featnn1_top50_amp_then_smooth25_a3827329.csv,0.5762805676,0.008532973700000057,pre_h_world,pre-H feature-NN variant,/Users/kbsoo/Downloads/cl2/analysis_outputs/submission_e256_featnn1_top50_amp_then_smooth25_a3827329.csv
submission_e368_q2s1rowmask_selected_e368_q2_damp_s1_recover_amp1_06_be814361_uploadsafe.csv,0.576290429,0.00854283510000009,pre_h_world,Q2/S1 row-mask recovery anchor,/Users/kbsoo/Downloads/cl2/analysis_outputs/submission_e368_q2s1rowmask_selected_e368_q2_damp_s1_recover_amp1_06_be814361_uploadsafe.csv
submission_e95_hardtail_541e3973.csv,0.5762913298,0.008543735900000016,pre_h_world,old hardtail best,/Users/kbsoo/Downloads/cl2/analysis_outputs/submission_e95_hardtail_541e3973.csv
submission_e101_q2s3tail_177569bc.csv,0.576300366,0.00855277210000005,pre_h_world,Q2/S3 tail variant,/Users/kbsoo/Downloads/cl2/analysis_outputs/submission_e101_q2s3tail_177569bc.csv
submission_mixmin_0c916bb4.csv,0.5763066405,0.008559046600000064,pre_h_world,old mixmin frontier,/Users/kbsoo/Downloads/cl2/analysis_outputs/submission_mixmin_0c916bb4.csv
submission_e176_abl_q2_to0p75_91e49725.csv,0.576311831,0.008564237100000094,pre_h_world,Q2 ablation anchor,/Users/kbsoo/Downloads/cl2/analysis_outputs/submission_e176_abl_q2_to0p75_91e49725.csv
submission_e267_humansocial_tail_balanced_2936100f.csv,0.5763294974,0.008581903499999988,pre_h_world,"human-social tail attempt, public-negative",/Users/kbsoo/Downloads/cl2/analysis_outputs/submission_e267_humansocial_tail_balanced_2936100f.csv
submission_e72_topabs50_q2s3_gate_4e48cba2.csv,0.5764077772,0.008660183300000068,pre_h_world,Q2/S3 gate anchor,/Users/kbsoo/Downloads/cl2/analysis_outputs/submission_e72_topabs50_q2s3_gate_4e48cba2.csv
submission_e323_5508f966_uploadsafe.csv,0.5770355016,0.009287907699999987,bad_anchor,upload-safe E323 public-negative,/Users/kbsoo/Downloads/cl2/analysis_outputs/submission_e323_5508f966_uploadsafe.csv
submission_e216_maskfam_jepa_s2_rank_e154_s0p75_eaac6709.csv,0.5772865088,0.009538914900000028,bad_anchor,mask-family JEPA S2 rank public-negative,/Users/kbsoo/Downloads/cl2/analysis_outputs/submission_e216_maskfam_jepa_s2_rank_e154_s0p75_eaac6709.csv
submission_h010_objective_s1s4_v2_uploadsafe.csv,0.5781718175,0.01042422360000006,bad_anchor,"objective S1/S4 v2 high-risk world, strongly punished",/Users/kbsoo/Downloads/cl2/submission_h010_objective_s1s4_v2_uploadsafe.csv
