source_file,row,mode,flat_idx,target,source_move,pos_frac,mean_benefit,min_benefit,frontier_benefit,no_pre_benefit,h088_penalty
submission_h073_humanaction_bridge_7a2cbf07_uploadsafe.csv,2,consensus_any,19,S3,0.35336684601022084,0.9,1.4719685377146722e-05,-6.276377186207014e-06,-6.276377186207014e-06,1.7331072742872443e-05,0.972
submission_h073_humanaction_bridge_7a2cbf07_uploadsafe.csv,2,no_pre_safe,19,S3,0.35336684601022084,0.9,1.4719685377146722e-05,-6.276377186207014e-06,-6.276377186207014e-06,1.7331072742872443e-05,0.972
submission_h073_humanaction_bridge_7a2cbf07_uploadsafe.csv,2,s_route,19,S3,0.35336684601022084,0.9,1.4719685377146722e-05,-6.276377186207014e-06,-6.276377186207014e-06,1.7331072742872443e-05,0.972
submission_h073_humanaction_bridge_7a2cbf07_uploadsafe.csv,4,consensus_any,28,Q1,-0.04766745323996163,0.7,7.665746372594814e-06,-1.3148410072367027e-05,6.731543057453319e-06,9.79583455209975e-06,0.6005714285714285
submission_h073_humanaction_bridge_7a2cbf07_uploadsafe.csv,4,consensus_any,32,S2,0.14454575060993047,0.9,3.167070757051488e-05,-6.068502216976375e-06,-6.068502216976375e-06,1.080148497339093e-05,0.916
submission_h073_humanaction_bridge_7a2cbf07_uploadsafe.csv,4,consensus_any,33,S3,0.10379801575600056,0.9,4.793723711042779e-06,-2.017431157705129e-06,-2.017431157705129e-06,5.6361130504628805e-06,0.8605714285714285
submission_h073_humanaction_bridge_7a2cbf07_uploadsafe.csv,4,consensus_any,34,S4,0.01570435408944093,1.0,1.1143225547722746e-05,2.2623100800808e-07,2.2623100800808e-07,1.0386900625849526e-05,0.6508571428571429
submission_h073_humanaction_bridge_7a2cbf07_uploadsafe.csv,4,frontier_safe,28,Q1,-0.04766745323996163,0.7,7.665746372594814e-06,-1.3148410072367027e-05,6.731543057453319e-06,9.79583455209975e-06,0.6005714285714285
submission_h073_humanaction_bridge_7a2cbf07_uploadsafe.csv,4,frontier_safe,34,S4,0.01570435408944093,1.0,1.1143225547722746e-05,2.2623100800808e-07,2.2623100800808e-07,1.0386900625849526e-05,0.6508571428571429
submission_h073_humanaction_bridge_7a2cbf07_uploadsafe.csv,4,no_pre_safe,28,Q1,-0.04766745323996163,0.7,7.665746372594814e-06,-1.3148410072367027e-05,6.731543057453319e-06,9.79583455209975e-06,0.6005714285714285
submission_h073_humanaction_bridge_7a2cbf07_uploadsafe.csv,4,no_pre_safe,32,S2,0.14454575060993047,0.9,3.167070757051488e-05,-6.068502216976375e-06,-6.068502216976375e-06,1.080148497339093e-05,0.916
