source,avg_log_loss,Q1,Q2,Q3,S1,S2,S3,S4
sfr_sleep_sensor__deviation__c0.1_b0.2,0.6226310273179688,0.6603479731209955,0.7068068580063852,0.6753775347975906,0.5674929976615763,0.574444229784898,0.5350989449447552,0.638848652909581
best__absolute_plus_deviation__c0.3_b0.2,0.6229613176952576,0.6689861051722832,0.7020978592408005,0.6741574430886071,0.5709585946396454,0.5775006583045229,0.5239268911855993,0.6431016722353451
sfr_sleep_sensor__deviation__c0.03_b0.2,0.6229735944944493,0.6607255324553121,0.704745155126528,0.673800881132119,0.5686298559516414,0.575834171279029,0.5367501054639082,0.6403294600526078
sfr_sleep_sensor__deviation__c0.3_b0.2,0.6231698949426708,0.6612578786284876,0.7084959383413566,0.6770671505673326,0.5681760678636743,0.5743961398061967,0.5342805086169122,0.6385155807747357
sfr_sleep_sensor__absolute_plus_deviation__c0.03_b0.2,0.6232842564060782,0.6615941175762116,0.7052998259370352,0.6754167866232981,0.5670316769921245,0.5781132958095102,0.5369141823341246,0.6386199095702428
sfr_sleep_sensor__absolute_plus_deviation__c0.1_b0.2,0.6233305452002916,0.6625335464209632,0.7066150633774009,0.6776686480644603,0.5658996335037509,0.5770324148601286,0.536389268293737,0.637175241881601
best__absolute_plus_deviation__c0.1_b0.2,0.6237927803338889,0.6700346459207199,0.7010001209828194,0.6736543305290845,0.570926638022677,0.5773858608726387,0.530509557959145,0.6430383080501377
best__deviation__c0.3_b0.2,0.6240101458125175,0.6684858700909789,0.7005359830135,0.6709453564867801,0.5722806991144583,0.5788038606570198,0.5319263483329497,0.6450929029919353
sfr_sleep_sensor__absolute_plus_deviation__c0.3_b0.2,0.6241042361078348,0.6633669181341768,0.7078265170771759,0.6803552656284589,0.566084039626391,0.577099975993439,0.5369628002470005,0.6370341360482018
best__absolute__c0.3_b0.2,0.6241173933055804,0.6684824693681113,0.6960139424354125,0.6715958320010429,0.5767896497254626,0.57712377584321,0.5353697319901312,0.6434463517756924
