law_name,model_name,feature_view,model_family,policy,param,logloss,switched_cells,switched_rate,mean_realized_gain_all_cells,mean_realized_gain_switched,positive_true_gain_rate,target_null_p_ge_observed,target_family_null_p_ge_observed,target_null_z,target_family_null_z,target_null_mean,target_null_std,target_family_null_mean,target_family_null_std
route_disagreement_law__tree_depth2_leaf28,tree_depth2_leaf28,route_disagreement_law,shallow_tree,topfrac,0.08,0.6329024135132717,59,0.08027210884353742,0.004094668637723154,0.051009855063161316,0.5932203389830508,0.023,0.02475,2.0197777379891764,1.9807852210468826,-0.001446143032114963,0.0027432779189626895,-0.0014520741730228335,0.0028002747353973226
compact_hsjepa_law__tree_depth2_leaf28,tree_depth2_leaf28,compact_hsjepa_law,shallow_tree,topfrac,0.08,0.6329024135132717,59,0.08027210884353742,0.004094668637723154,0.051009855063161316,0.5932203389830508,0.028,0.02525,1.9824658030237525,1.9758931277883665,-0.001428776608132443,0.0027861490661937123,-0.0014396165142117278,0.002800903082308633
route_disagreement_law__tree_depth2_leaf28,tree_depth2_leaf28,route_disagreement_law,shallow_tree,topfrac,0.06,0.6329644160311012,44,0.05986394557823129,0.004032666119893637,0.0673638545027687,0.6363636363636364,0.019,0.0235,2.1262466147139025,2.117700235756931,-0.0011555931564561116,0.0024401023100736863,-0.0010940112460628675,0.0024208701870990124
compact_hsjepa_law__tree_depth2_leaf28,tree_depth2_leaf28,compact_hsjepa_law,shallow_tree,topfrac,0.06,0.6329644160311012,44,0.05986394557823129,0.004032666119893637,0.0673638545027687,0.6363636363636364,0.01925,0.0175,2.1264492379062276,2.1589797949281917,-0.001085562835358387,0.002406936814674025,-0.0011241430369588583,0.002388539795030371
route_disagreement_law__tree_depth2_leaf28,tree_depth2_leaf28,route_disagreement_law,shallow_tree,topfrac,0.04,0.6336042368258874,29,0.03945578231292517,0.0033928453251073957,0.08599107979151502,0.6551724137931034,0.0215,0.02125,2.076654116448688,2.0849869131038274,-0.0007047199720503337,0.0019731573326062725,-0.0007491308584179973,0.0019865717897286066
compact_hsjepa_law__tree_depth2_leaf28,tree_depth2_leaf28,compact_hsjepa_law,shallow_tree,topfrac,0.04,0.6336042368258874,29,0.03945578231292517,0.0033928453251073957,0.08599107979151502,0.6551724137931034,0.02325,0.02275,2.0626990512920615,2.0681101478844597,-0.0007548888937075782,0.002010828587048052,-0.0007458026428208113,0.0020011738601842704
route_disagreement_law__tree_depth2_leaf28,tree_depth2_leaf28,route_disagreement_law,shallow_tree,topfrac,0.1,0.6345887293764794,74,0.10068027210884353,0.0024083527745153693,0.023920801206335086,0.5540540540540541,0.08975,0.08275,1.3513733096402336,1.397931044434244,-0.0017599300917792013,0.0030844792009428264,-0.0018638749898994985,0.003056107653824856
compact_hsjepa_law__tree_depth2_leaf28,tree_depth2_leaf28,compact_hsjepa_law,shallow_tree,topfrac,0.1,0.6345887293764794,74,0.10068027210884353,0.0024083527745153693,0.023920801206335086,0.5540540540540541,0.08175,0.0755,1.4183384446426932,1.409529095848748,-0.0018773597653423933,0.003021643075420843,-0.0019454205298860888,0.00308881407075874
route_disagreement_law__tree_depth2_leaf28,tree_depth2_leaf28,route_disagreement_law,shallow_tree,topfrac,0.03,0.6347223465349379,22,0.029931972789115645,0.0022747356160569875,0.0759968489909948,0.6818181818181818,0.058,0.05525,1.588643454951111,1.634213096749845,-0.0005359511180498582,0.0017692369709182744,-0.0005943192987877347,0.0017556186035656886
compact_hsjepa_law__tree_depth2_leaf28,tree_depth2_leaf28,compact_hsjepa_law,shallow_tree,topfrac,0.03,0.6347223465349379,22,0.029931972789115645,0.0022747356160569875,0.0759968489909948,0.6818181818181818,0.05575,0.055,1.6437183329467813,1.6217676842538813,-0.0006093770620051559,0.0017546270673343657,-0.0006016252949483415,0.0017735961438451293
human_state_law__tree_depth5_leaf14,tree_depth5_leaf14,human_state_law,shallow_tree,threshold,0.08,0.6348488114028092,41,0.055782312925170066,0.0021482707481855776,0.03851168292479022,0.8536585365853658,0.019,0.01825,2.0286983934037197,2.0565664269743675,-0.0028087952017239247,0.002443471127116442,-0.002958830931839643,0.002483314719641134
human_state_law__tree_depth5_leaf14,tree_depth5_leaf14,human_state_law,shallow_tree,topfrac,0.06,0.6358729832750358,44,0.05986394557823129,0.001124098875959058,0.018777560768861532,0.8181818181818182,0.0475,0.04575,1.6743850476593736,1.6905564704270903,-0.0030010486432614524,0.0024636791429707657,-0.003126219919459733,0.0025141536942241394
route_disagreement_law__tree_depth2_leaf28,tree_depth2_leaf28,route_disagreement_law,shallow_tree,topfrac,0.02,0.6358999168007223,15,0.02040816326530612,0.0010971653502725401,0.05376110216335446,0.6,0.1565,0.14675,0.9923053047970897,1.0295966166349182,-0.0003429657885492542,0.0014512984379502815,-0.00039448897075529643,0.0014487754688851681
compact_hsjepa_law__tree_depth2_leaf28,tree_depth2_leaf28,compact_hsjepa_law,shallow_tree,topfrac,0.02,0.6358999168007223,15,0.02040816326530612,0.0010971653502725401,0.05376110216335446,0.6,0.15025,0.147,1.0314956398575668,1.020099732479453,-0.00039064219231954713,0.0014423788963349663,-0.0003691466642715883,0.0014374202520180182
human_state_law__tree_depth2_leaf28,tree_depth2_leaf28,human_state_law,shallow_tree,threshold,0.005,0.6359286954756194,55,0.07482993197278912,0.0010683866753754105,0.014277531025471408,0.7454545454545455,0.039,0.03825,1.788953252933489,1.7926111974227281,-0.003925073040599407,0.002791274566725902,-0.004005213309112555,0.002830284666179916
human_state_law__tree_depth2_leaf28,tree_depth2_leaf28,human_state_law,shallow_tree,topfrac,0.1,0.6359797748483484,74,0.10068027210884353,0.0010173073026463557,0.01010433604655502,0.6756756756756757,0.033,0.02925,1.889312402178618,1.9559564001679588,-0.004963344965529138,0.003165517921376602,-0.0051270589291847355,0.0031413615514658054
human_state_law__tree_depth4_leaf18,tree_depth4_leaf18,human_state_law,shallow_tree,threshold,0.005,0.6361708174268601,179,0.24353741496598638,0.0008262647241347444,0.0033927629734024395,0.6033519553072626,0.01525,0.01525,2.189472764435239,2.138357186343447,-0.008242052673344191,0.004141781320498888,-0.00803099979622927,0.004142088411108614
minimal_hsjepa_law__elasticnet_sparse_alpha_0p001,elasticnet_sparse_alpha_0p001,minimal_hsjepa_law,sparse_linear,topfrac,0.005,0.6363381711455247,4,0.005442176870748299,0.0006589110054701958,0.12107489725514847,1.0,0.0,0.0,1.6844626943344776,1.2872211343022166,-0.00017057298530417976,0.0004924323902003067,-0.000282496387856592,0.000731348614655174
human_state_law__tree_depth5_leaf14,tree_depth5_leaf14,human_state_law,shallow_tree,topfrac,0.01,0.6363601476275156,7,0.009523809523809525,0.0006369345234792574,0.06687812496532203,0.8571428571428571,0.175,0.17325,0.9123410302556583,0.9130921220149621,-0.00046742469753152096,0.0012104675602513594,-0.0004679738812856896,0.001210073308185701
minimal_hsjepa_law__huber_linear_epsilon_1p35,huber_linear_epsilon_1p35,minimal_hsjepa_law,robust_linear,topfrac,0.01,0.6363771263975035,7,0.009523809523809525,0.0006199557534913634,0.06509535411659317,0.42857142857142855,0.2105,0.216,0.7476240727876133,0.7635270298378564,-0.0004033048988207694,0.001368683392572918,-0.000569181857462107,0.0015574269992851431
route_disagreement_law__tree_depth2_leaf28,tree_depth2_leaf28,route_disagreement_law,shallow_tree,topfrac,0.01,0.6363925916334253,7,0.009523809523809525,0.0006044905175694365,0.06347150434479083,0.5714285714285714,0.193,0.20275,0.8364040261083647,0.7775030822935323,-0.0002281149901521848,0.0009954585125511444,-0.00018341094639208404,0.0010133740713121218
compact_hsjepa_law__tree_depth2_leaf28,tree_depth2_leaf28,compact_hsjepa_law,shallow_tree,topfrac,0.01,0.6363925916334253,7,0.009523809523809525,0.0006044905175694365,0.06347150434479083,0.5714285714285714,0.21425,0.2075,0.7640756146744221,0.7670067764621938,-0.0001752744900564714,0.0010205338223732885,-0.00018461480850366868,0.0010288114137828618
