heldout_subject,all_cells,kept_cells,all_gain_sum,kept_gain_sum,removed_gain_sum,all_mean_gain,kept_mean_gain,all_positive_gain_rate,kept_positive_gain_rate
id02,5,5,1.4851783883280838,1.4851783883280838,0.0,0.2970356776656168,0.2970356776656168,0.6,0.6
id09,39,39,3.826356224638435,3.826356224638435,0.0,0.09811169806765219,0.09811169806765219,0.717948717948718,0.717948717948718
