target,mode,median_score,cells,gain_sum,mean_gain,positive_gain_rate
Q1,all,0.2688333333333333,6,0.24651741728668555,0.04108623621444759,0.6666666666666666
Q1,high_surprise_listener,0.2688333333333333,3,0.2782689841269439,0.09275632804231464,1.0
Q1,low_surprise_listener,0.2688333333333333,3,-0.0317515668402583,-0.010583855613419435,0.3333333333333333
Q2,all,0.22077777777777774,6,0.9393305420636352,0.1565550903439392,0.6666666666666666
Q2,high_surprise_listener,0.22077777777777774,3,0.8401079193148683,0.2800359731049561,1.0
Q2,low_surprise_listener,0.22077777777777774,3,0.0992226227487669,0.0330742075829223,0.3333333333333333
Q3,all,0.2688333333333333,6,1.1628308952329605,0.1938051492054934,0.8333333333333334
Q3,high_surprise_listener,0.2688333333333333,3,0.9366446694720667,0.31221488982402223,1.0
Q3,low_surprise_listener,0.2688333333333333,3,0.22618622576089362,0.07539540858696454,0.6666666666666666
S1,all,0.22777777777777775,6,0.06271069193088673,0.010451781988481122,0.8333333333333334
S1,high_surprise_listener,0.22777777777777775,3,-0.09829358680431119,-0.032764528934770394,0.6666666666666666
S1,low_surprise_listener,0.22777777777777775,3,0.1610042787351979,0.053668092911732634,1.0
S2,all,0.344,7,0.22189803244378248,0.031699718920540354,0.5714285714285714
S2,high_surprise_listener,0.344,4,0.31120775820014357,0.07780193955003589,0.5
S2,low_surprise_listener,0.344,3,-0.0893097257563611,-0.0297699085854537,0.6666666666666666
S3,all,0.3198333333333333,8,2.4978040958516528,0.3122255119814566,0.75
S3,high_surprise_listener,0.3198333333333333,4,1.996278336766106,0.4990695841915265,0.75
S3,low_surprise_listener,0.3198333333333333,4,0.5015257590855471,0.12538143977138677,0.75
S4,all,0.25,5,0.18044293815691514,0.03608858763138303,0.6
S4,high_surprise_listener,0.25,3,-0.011586387145819096,-0.0038621290486063656,0.3333333333333333
S4,low_surprise_listener,0.25,2,0.1920293253027342,0.0960146626513671,1.0
