resp_key,prior_name,ridge_mult,loo_mae,loo_rmse,loo_p90_abs,loo_spearman,known_fit_mae,known_fit_p90_abs,top50_mass,top200_mass,effective_cells,raw_negative_rate,max_weight,weight_entropy,config_score
uniform__ridge_0.0001,uniform,0.0001,3.4734357280792763e-05,4.9293856193175424e-05,5.8775236756043676e-05,0.9974583848755066,2.1330295911762003e-05,3.984681861065008e-05,0.03831716371226756,0.13150174623531957,1733.4854458154668,0.001142857142857143,0.0012072990860507054,7.461965978216421,-4.483126473229677e-05
uniform__ridge_0.003,uniform,0.003,4.7724301396395565e-05,5.1114290303062655e-05,6.977441518315841e-05,0.9963287604305742,4.911644303770618e-05,6.481072895160226e-05,0.032556224697583194,0.12120194347460239,1748.3224637805988,0.0,0.0007948955326203411,7.4669151839205785,-6.244919123253282e-05
uniform__ridge_0.01,uniform,0.01,5.016882523176638e-05,5.416281791279092e-05,7.383227907482287e-05,0.9985880093204395,5.173376217310959e-05,6.757906438592915e-05,0.03196099156354027,0.12031276856422406,1748.7926755086853,0.0,0.0007558746863971187,7.467039979916385,-6.638510142281646e-05
uniform__ridge_0.001,uniform,0.001,5.173736794651686e-05,5.4848154688181454e-05,7.863449320235659e-05,0.9963287604305742,5.1124063073460375e-05,6.843930284423356e-05,0.033739785558735434,0.12328348606819436,1746.8307919875379,0.0,0.0008780420642083137,7.466512830587528,-6.939676168188611e-05
uniform__ridge_0.03,uniform,0.03,5.6741794280094303e-05,6.090035112040152e-05,8.248896309478552e-05,0.9985880093204395,5.75581832937619e-05,7.066119404850434e-05,0.031648574328432925,0.1197648404450541,1748.9958796844178,0.0,0.0007318568236580776,7.46709537786173,-7.603174412766491e-05
uniform__ridge_0.0003,uniform,0.0003,6.275895168105963e-05,6.864177775791146e-05,8.733400959497016e-05,0.9985880093204395,5.75604337867844e-05,7.880597900269077e-05,0.03603836335093,0.1274267534167849,1741.2302411426408,0.0,0.0010348069437465294,7.464792356402358,-8.31317147659564e-05
uniform__ridge_0.1,uniform,0.1,6.616255694785987e-05,7.043885181344014e-05,9.283420902448243e-05,0.9985880093204395,6.597765778778778e-05,8.353967338722863e-05,0.03139088992128878,0.11933173623491208,1749.1323196554583,0.0,0.0007402375414926468,7.467133215497052,-8.910799120763574e-05
uniform__ridge_0.3,uniform,0.3,7.714572406763663e-05,8.172280064394923e-05,0.00010021036492209954,0.9985880093204395,7.604666257915248e-05,9.6925357584632e-05,0.031213184384127547,0.11900131294789429,1749.2265266163436,0.0,0.0007536833003722916,7.467159326807937,-0.00010269924675453991
uniform__ridge_1,uniform,1.0,9.60276060403718e-05,0.0001015262840266759,0.00012360166827439043,0.9985880093204395,9.369098776760453e-05,0.00012021647784957508,0.03101770778499484,0.11865286699314703,1749.3249653863975,0.0,0.000755911744620654,7.4671862654627,-0.0001297959605769567
h082_bridge__ridge_0.01,h082_bridge,0.01,0.00010204944731531605,0.00013245402975782357,0.00021622802070808136,0.9918102626508437,7.801836082234985e-05,9.946359611078902e-05,0.058388662005720626,0.2247338240673531,1161.4231587063755,0.0,0.001281198090754418,7.201482225504407,-0.00015975054863775627
