fold,source,target,loss
1,best__absolute_plus_deviation__c0.3_b0.2,Q1,
1,best__absolute_plus_deviation__c0.3_b0.2,Q2,
1,best__absolute_plus_deviation__c0.3_b0.2,Q3,
1,best__absolute_plus_deviation__c0.3_b0.2,S1,
1,best__absolute_plus_deviation__c0.3_b0.2,S2,
1,best__absolute_plus_deviation__c0.3_b0.2,S3,0.4757292551240594
1,best__absolute_plus_deviation__c0.3_b0.2,S4,
1,best_plus_cc_opportunity__absolute_plus_deviation__c0.3_b0.2,Q1,0.6370129713422734
1,best_plus_cc_opportunity__absolute_plus_deviation__c0.3_b0.2,Q2,
1,best_plus_cc_opportunity__absolute_plus_deviation__c0.3_b0.2,Q3,
1,best_plus_cc_opportunity__absolute_plus_deviation__c0.3_b0.2,S1,0.5504628099807066
1,best_plus_cc_opportunity__absolute_plus_deviation__c0.3_b0.2,S2,0.5686282343441235
1,best_plus_cc_opportunity__absolute_plus_deviation__c0.3_b0.2,S3,
1,best_plus_cc_opportunity__absolute_plus_deviation__c0.3_b0.2,S4,
1,best_plus_cc_chain_interactions__absolute__c0.3_b0.2,Q1,
1,best_plus_cc_chain_interactions__absolute__c0.3_b0.2,Q2,
1,best_plus_cc_chain_interactions__absolute__c0.3_b0.2,Q3,
1,best_plus_cc_chain_interactions__absolute__c0.3_b0.2,S1,
1,best_plus_cc_chain_interactions__absolute__c0.3_b0.2,S2,
1,best_plus_cc_chain_interactions__absolute__c0.3_b0.2,S3,
1,best_plus_cc_chain_interactions__absolute__c0.3_b0.2,S4,0.6385081202930739
1,best_plus_cc_recovery__deviation__c0.3_b0.2,Q1,
1,best_plus_cc_recovery__deviation__c0.3_b0.2,Q2,
1,best_plus_cc_recovery__deviation__c0.3_b0.2,Q3,0.6735702220772942
1,best_plus_cc_recovery__deviation__c0.3_b0.2,S1,
1,best_plus_cc_recovery__deviation__c0.3_b0.2,S2,
1,best_plus_cc_recovery__deviation__c0.3_b0.2,S3,
1,best_plus_cc_recovery__deviation__c0.3_b0.2,S4,
1,ef_recovery_slope__deviation__c0.3_b0.2,Q1,
1,ef_recovery_slope__deviation__c0.3_b0.2,Q2,0.7031065110367136
1,ef_recovery_slope__deviation__c0.3_b0.2,Q3,
1,ef_recovery_slope__deviation__c0.3_b0.2,S1,
1,ef_recovery_slope__deviation__c0.3_b0.2,S2,
