compare_to,changed_cells_total,Q1_changed,Q2_changed,Q3_changed,S1_changed,S2_changed,S3_changed,S4_changed
h012,195,0,45,0,0,83,0,67
h042,150,0,0,0,0,83,0,67
h050,246,52,0,44,0,83,0,67
