baseline,route,h098,curv_marg,badw,badmax,h088,margin
h122,-0.0006052271118913546,-2.8653872695282912e-05,4.1325668393203674e-05,0.0,0.0,-0.06615821918278908,0.1258543648265494
h123_q3,-0.0007059475748279559,-3.0422440234712618e-05,4.171810338452495e-05,0.0,0.0,-0.06557673145077708,0.12479825353281361
h123_sparse,-0.0007324637092385378,-2.663899302541694e-05,4.181283098018485e-05,0.0,0.0,-0.06551015048315427,0.1246970424942461
h124,-0.0007034713692941542,-3.081034105768929e-05,4.439846407497524e-05,0.0,0.0,-0.060941721763959913,0.14487413580212893
h125,-0.0007022333741474842,-3.11420015536325e-05,4.5276423606561414e-05,0.0,0.0,-0.05436866506442846,0.15485514984478804
