component,cells,rows,l1,l2,Q1_cells,Q2_cells,Q3_cells,S1_cells,S2_cells,S3_cells,S4_cells
core,24,19,1.2097872295134615,0.310853684529795,8,0,4,6,4,0,2
q3_refill,1,1,0.03489664566515794,0.03489664566515627,0,0,1,0,0,0,0
s3_tail,1,1,0.003563970522150406,0.003563970522150406,0,0,0,0,0,1,0
s1_margin,2,2,0.030158238280691307,0.0213252959492034,0,0,0,2,0,0,0
id04_closure,2,2,0.015044680965447199,0.015044680938476773,0,0,0,2,0,0,0
