candidate_id,family,op,score_signal,strength,group,k,cap,reverse,split,base_loss,rewrite_loss,delta_logloss,mean_abs_prob_delta,max_abs_prob_delta,changed_rows,mean_delta,worst_delta,best_delta,subject5_delta,dateblock5_delta,max_abs_prob_delta_local,mean_abs_prob_delta_local,changed_rows_local
qrank_plus_prob_global_s1,qrank_global,quantile,plus_prob,1.0,global,0,0.0,False,subject5,0.7055693968723641,0.6902445663849999,-0.015324830487364216,0.04814666946234458,0.2256792671365146,447,-0.014531362979885776,-0.013737895472407335,-0.015324830487364216,-0.015324830487364216,-0.013737895472407335,0.38826961282955674,0.04989409637061061,447
qrank_plus_prob_global_s1,qrank_global,quantile,plus_prob,1.0,global,0,0.0,False,dateblock5,0.6574191987513781,0.6436813032789708,-0.013737895472407335,0.051641523278876646,0.38826961282955674,447,-0.014531362979885776,-0.013737895472407335,-0.015324830487364216,-0.015324830487364216,-0.013737895472407335,0.38826961282955674,0.04989409637061061,447
qrank_plus_prob_global_s0.85,qrank_global,quantile,plus_prob,0.85,global,0,0.0,False,subject5,0.7055693968723641,0.6915020364070804,-0.014067360465283674,0.040931271618944595,0.1897343626032083,447,-0.013564185509791271,-0.013061010554298869,-0.014067360465283674,-0.014067360465283674,-0.013061010554298869,0.3501022069508058,0.042429428494923246,447
qrank_plus_prob_global_s0.85,qrank_global,quantile,plus_prob,0.85,global,0,0.0,False,dateblock5,0.6574191987513781,0.6443581881970792,-0.013061010554298869,0.0439275853709019,0.3501022069508058,447,-0.013564185509791271,-0.013061010554298869,-0.014067360465283674,-0.014067360465283674,-0.013061010554298869,0.3501022069508058,0.042429428494923246,447
qrank_consensus_global_s0.35,qrank_global,quantile,consensus,0.35,global,0,0.0,False,subject5,0.7055693968723641,0.6925273743297805,-0.013042022542583576,0.02975030425656042,0.09657126389684267,450,-0.013821865424663349,-0.013042022542583576,-0.014601708306743122,-0.013042022542583576,-0.014601708306743122,0.18798656826236726,0.041855205629874125,450
qrank_consensus_global_s0.35,qrank_global,quantile,consensus,0.35,global,0,0.0,False,dateblock5,0.6574191987513781,0.642817490444635,-0.014601708306743122,0.05396010700318783,0.18798656826236726,449,-0.013821865424663349,-0.013042022542583576,-0.014601708306743122,-0.013042022542583576,-0.014601708306743122,0.18798656826236726,0.041855205629874125,450
qrank_consensus_global_s0.6,qrank_global,quantile,consensus,0.6,global,0,0.0,False,subject5,0.7055693968723641,0.6865305246915745,-0.01903887218078959,0.05125955420984847,0.17213707529936328,450,-0.015881375213602833,-0.012723878246416076,-0.01903887218078959,-0.01903887218078959,-0.012723878246416076,0.31238913641097793,0.07264631318155944,450
qrank_consensus_global_s0.6,qrank_global,quantile,consensus,0.6,global,0,0.0,False,dateblock5,0.6574191987513781,0.644695320504962,-0.012723878246416076,0.0940330721532704,0.31238913641097793,449,-0.015881375213602833,-0.012723878246416076,-0.01903887218078959,-0.01903887218078959,-0.012723878246416076,0.31238913641097793,0.07264631318155944,450
qrank_consensus_subject_s0.85,qrank_subject,quantile,consensus,0.85,subject,0,0.0,False,subject5,0.7055693968723641,0.6936760358971726,-0.011893360975191447,0.06347548488827412,0.201642688728149,441,-0.024920107801561064,-0.011893360975191447,-0.03794685462793068,-0.011893360975191447,-0.03794685462793068,0.298366684723062,0.07216955235427625,442
qrank_consensus_subject_s0.85,qrank_subject,quantile,consensus,0.85,subject,0,0.0,False,dateblock5,0.6574191987513781,0.6194723441234474,-0.03794685462793068,0.08086361982027836,0.298366684723062,442,-0.024920107801561064,-0.011893360975191447,-0.03794685462793068,-0.011893360975191447,-0.03794685462793068,0.298366684723062,0.07216955235427625,442
