target,score_col,policy,fraction,selected_cells,selected_gain_sum,selected_mean_gain,selected_positive_gain_rate,active_subjects,positive_subjects,negative_subjects,raw_action_count,inverse_action_count,null_gain_mean,null_gain_std,gain_lift_vs_null,gain_z_vs_null,tail_safe_policy_score,subject_normalized_policy_score
Q1,predicted_subject_normalized_gain,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,0.0
Q1,predicted_subject_normalized_gain,top_all,0.02,9,1.1462893459617418,0.12736548288463798,0.6666666666666666,5,5,0,7,2,-0.11114244788136182,0.7668061431813209,1.2574317938431037,1.6398300992037933,2.9837068170605408,3.2013231111465705
Q1,predicted_subject_normalized_gain,top_all,0.04,18,1.0241020156942309,0.05689455642745727,0.6111111111111112,7,4,3,16,2,-0.07525846287549062,0.8935788029234305,1.0993604785697215,1.2302893432264241,0.29579600640516457,0.17916277787252632
Q1,predicted_subject_normalized_gain,top_all,0.06,27,1.652835701257744,0.06121613708362014,0.6296296296296297,7,4,3,25,2,-0.08354143080695221,0.8459301606198231,1.7363771320646961,2.0526246880622296,1.2362005366569813,1.2615654938682015
Q1,predicted_subject_normalized_gain,top_all,0.08,36,1.6630604603541839,0.04619612389872733,0.5833333333333334,7,4,3,31,5,-0.625471012118453,0.9988542309118548,2.288531472472637,2.291156608891204,1.4473288032753935,1.5925248966144114
Q1,predicted_subject_normalized_gain,top_all,0.1,45,1.84723804580017,0.04104973435111489,0.5777777777777777,7,5,2,38,7,-0.5272705986683238,1.3607709486344808,2.3745086444684937,1.7449730587291623,2.5550355994592806,2.8070590117497853
Q1,predicted_subject_normalized_gain,top_all,0.14,63,1.6498821990615444,0.02618860633431023,0.5714285714285714,8,5,3,48,15,-0.9450966641294012,1.446621393183871,2.5949788631909456,1.793820328814337,1.6875068340598096,1.8852361561314281
Q1,predicted_subject_normalized_gain,top_all,0.18,81,1.5624225435393315,0.01928916720418928,0.5432098765432098,9,6,3,59,22,-0.6817849909418223,2.4996569253153336,2.244207534481154,0.8978062196267376,1.5777992593605323,1.6902759029949774
Q1,predicted_subject_normalized_gain,top_all,0.25,112,1.9672221369172043,0.01756448336533218,0.5803571428571429,9,6,3,77,35,-1.9687967964599151,1.827661983598808,3.9360189333771194,2.153581443778129,2.713311907977009,3.1855516092422818
Q1,predicted_subject_normalized_gain,top_decisive,0.02,7,1.0664592551461356,0.15235132216373365,0.7142857142857143,5,4,1,7,0,-0.3440355574329804,0.5456679065081166,1.410494812579116,2.5848960434658355,2.1186220438954093,2.280990355851978
Q1,predicted_subject_normalized_gain,top_decisive,0.04,13,1.5028269002319161,0.11560206924860893,0.6923076923076923,6,4,2,13,0,-0.2679791857933307,0.8352536602329176,1.7708060860252468,2.1200818030913418,1.8769249029575787,2.0042569869936857
Q1,predicted_subject_normalized_gain,top_decisive,0.06,20,1.7745519997447303,0.08872759998723652,0.6,7,4,3,20,0,-0.5637876207830904,1.096139746522798,2.3383396205278206,2.133249549562964,1.566295821885764,1.7166287369825874
Q1,predicted_subject_normalized_gain,top_decisive,0.08,27,1.720970993487005,0.06373966642544462,0.5555555555555556,7,4,3,27,0,-0.7095735624249426,1.0361714738498826,2.430544555911948,2.345697229900847,1.5506757554907162,1.728143055715567
Q1,predicted_subject_normalized_gain,top_decisive,0.1,34,1.5483326432537574,0.04553919538981639,0.5588235294117647,9,6,3,30,4,-1.1185405696599244,1.3646104214660366,2.666873212913682,1.9543110406914455,1.8227576071368086,2.039336117592198
Q1,predicted_subject_normalized_gain,top_decisive,0.14,47,1.5047782610773286,0.03201655874632614,0.5531914893617021,9,5,4,38,9,-1.0026801655601372,1.1938927468187321,2.5074584266374655,2.1002375911227236,0.7860294907893093,0.8742067790030876
Q1,predicted_subject_normalized_gain,top_decisive,0.18,61,2.030772659515459,0.033291355074023914,0.5901639344262295,9,6,3,45,16,-0.6543613311261334,1.1648992162156755,2.6851339906415923,2.3050354513625604,2.3576304784254525,2.5817415921384006
Q1,predicted_subject_normalized_gain,top_decisive,0.25,84,1.6021694237500679,0.01907344552083414,0.5595238095238095,10,6,4,58,26,-1.4986560043820838,2.1358376421025174,3.1008254281321515,1.4518076500794792,1.2284724219376022,1.421721279613241
Q1,subject_normalized_utility,top_all,0.02,9,0.15737495349316544,0.01748610594368505,0.7777777777777778,4,3,1,8,1,-0.06220485945314967,0.5118414358122391,0.21957981294631512,0.4289996815085219,0.3993500783974502,0.27406825683910596
Q1,subject_normalized_utility,top_all,0.04,18,0.04761224343695658,0.0026451246353864765,0.6111111111111112,7,4,3,15,3,-0.4786954517721281,0.7197649703111019,0.5263076952090846,0.7312216027706936,-0.9311690140739055,-1.1723941540877858
Q1,subject_normalized_utility,top_all,0.06,27,0.01628765519197839,0.0006032464885917922,0.5925925925925926,7,3,4,20,7,-0.7726648802288782,1.2097441942934322,0.7889525354208566,0.652164762718002,-1.8349550737315141,-2.123380530652242
Q1,subject_normalized_utility,top_all,0.08,36,0.12355258049100604,0.0034320161247501676,0.6111111111111112,7,4,3,24,12,-0.45153327542865207,1.1409915838635527,0.5750858559196581,0.5040228727825837,-0.8608761937699663,-1.096889676241494
Q1,subject_normalized_utility,top_all,0.1,45,0.12399209555846713,0.0027553799012992697,0.6,7,4,3,30,15,-0.5302127957514956,1.5663589416648422,0.6542048913099627,0.4176596269911323,-0.8452702297839325,-1.0660760589821172
Q1,subject_normalized_utility,top_all,0.14,63,0.3859523081058541,0.006126227112791335,0.6190476190476191,9,5,4,39,24,-0.5941263817782513,1.2412545395540224,0.9800786898841054,0.7895871947717054,-0.9753947642908716,-1.2254920443233788
Q1,subject_normalized_utility,top_all,0.18,81,0.5603634260766222,0.006918066988600273,0.6049382716049383,9,5,4,46,35,-1.358294450041643,2.0473423410615488,1.918657876118265,0.9371456046395442,-0.4626633617563023,-0.5206827016003519
Q1,subject_normalized_utility,top_all,0.25,112,0.7833071028079758,0.006993813417928355,0.6160714285714286,9,4,5,60,52,-1.691053091679078,2.131053603153793,2.474360194487054,1.1610971168558095,-0.9689321174359744,-1.0124452790585896
Q1,subject_normalized_utility,top_decisive,0.02,7,0.20384546244545143,0.029120780349350204,0.7142857142857143,4,3,1,2,5,-0.0922611233355283,0.4415504391636009,0.2961065857809797,0.6706064800702596,0.47454341547582035,0.37574829080485006
Q1,subject_normalized_utility,top_decisive,0.04,13,0.17794769559499635,0.01368828427653818,0.6153846153846154,5,2,3,3,10,0.15792393852259434,0.8509656401692434,0.020023757072402004,0.02353062935469357,-1.4473063111095783,-1.8043694086464654
Q1,subject_normalized_utility,top_decisive,0.06,20,-0.05740841655315587,-0.0028704208276577937,0.5,7,2,5,4,16,-0.6979760139833208,0.8302185579842934,0.6405675974301649,0.7715650189576749,-2.9310532555568307,-3.3375084356916442
Q1,subject_normalized_utility,top_decisive,0.08,27,0.004787983710348498,0.00017733273001290732,0.5185185185185185,7,3,4,4,23,-0.5036059592233455,1.2852127630622676,0.508393942933694,0.39557181312325845,-1.996235473469051,-2.338497100471699
Q1,subject_normalized_utility,top_decisive,0.1,34,0.2500841864917178,0.007355417249756406,0.5588235294117647,7,3,4,4,30,-0.6765005650700308,1.237216893313125,0.9265847515617486,0.7489266890629507,-1.5551302462612573,-1.810717115108825
Q1,subject_normalized_utility,top_decisive,0.14,47,0.4704891216678009,0.010010406843995763,0.574468085106383,7,3,4,4,43,-0.9349448168271421,1.9271957722972208,1.405433938494943,0.7292637098407824,-1.1636187990876568,-1.3253935457024906
Q1,subject_normalized_utility,top_decisive,0.18,61,0.24217059584413692,0.003970009767936671,0.5409836065573771,7,3,4,4,57,-1.3238069538909238,1.5422835340062988,1.5659775497350608,1.015362944106142,-1.3188567050428956,-1.439452296869498
Q1,subject_normalized_utility,top_decisive,0.25,84,0.040195588863976894,0.000478518915047344,0.5238095238095238,9,4,5,11,73,-1.6111885193285527,1.9781974251219188,1.6513841081925296,0.8347923656258691,-2.0650074033727175,-2.2704156868026466
Q1,subject_normalized_pessimistic_utility,top_all,0.02,9,0.09578318420364096,0.010642576022626773,0.7777777777777778,4,3,1,8,1,-0.20342856418315583,0.5587082600595696,0.29921174838679676,0.5355420167851013,0.3762837200397522,0.26905913227503586
