view,prototype,share,mean_confidence,rows
calendar_rhythm,0,0.2714285714285714,0.6971848375627285,190
calendar_rhythm,1,0.6957142857142857,0.6852038104518409,487
calendar_rhythm,2,0.032857142857142856,0.9500696648047959,23
phone_behavior,0,0.07285714285714286,0.6336615020429062,51
phone_behavior,1,0.21142857142857144,0.5923489374617457,148
phone_behavior,2,0.7157142857142857,0.59891029068129,501
body_activity_sleep,0,0.3442857142857143,0.49963633367805865,241
body_activity_sleep,1,0.4828571428571429,0.4963823315228416,338
body_activity_sleep,2,0.17285714285714285,0.5061280793019063,121
app_social_context,0,0.16285714285714287,0.5737470691003117,114
app_social_context,1,0.4757142857142857,0.6001534693371898,333
app_social_context,2,0.36142857142857143,0.5979308060975739,253
mobility_environment,0,0.15285714285714286,0.5312539621935833,107
mobility_environment,1,0.31285714285714283,0.5139504187138252,219
mobility_environment,2,0.5342857142857143,0.5244999241474287,374
