candidate,file,mean_route_energy,delta_route_energy_vs_base,p95_row_energy,pair_moment_error,changed_cells_vs_base,Q1_energy,Q2_energy,Q3_energy,S1_energy,S2_energy,S3_energy,S4_energy
current_best,submission_h057_q2row_fullvector_state_7cde1a77_uploadsafe.csv,0.7283812739064743,0.0,0.9294187579911742,0.02710604629663976,0,0.8183567188376912,0.717470890341295,0.7235426984138547,0.7911022789503714,0.5667769961420174,0.6914235986648896,0.7899957359952013
candidate1_public_loss_sparse,submission_final_candidate1_public_loss_sparse_tomography_e141c792_uploadsafe.csv,0.7344740435690899,0.006092769662615516,0.9630794025480414,0.02831249547261097,94,0.8231389780778616,0.7288348238894765,0.7298255653813814,0.7993364191029875,0.5704272238163884,0.6949411341468874,0.794814160568646
target_route_teacher_only,submission_hsjepa_target_route_toxicity_teacher_only_66f1f5b4_uploadsafe.csv,0.7359852010185157,0.0076039271120413865,0.9838251646433123,0.028641182826227365,94,0.8240158401283759,0.7343305326058197,0.7309548058943773,0.8003869148202245,0.5719427119988514,0.6949806840854688,0.7952849175964926
target_route_q2_extra,submission_hsjepa_target_route_toxicity_q2_extra_90b62d2d_uploadsafe.csv,0.7365692155877528,0.008187941681278454,0.9838251646433123,0.02879187181450537,108,0.8235680040378203,0.7389626769577936,0.7307417729881814,0.800402475081444,0.5718734230196869,0.6950281208032286,0.795408036226115
public_private_toxicity,submission_hsjepa_public_private_toxicity_23c62cf4_uploadsafe.csv,0.7382325090183289,0.009851235111854595,0.9767926831703286,0.02868420118170787,150,0.8267007704880622,0.7419562441187125,0.731381494896038,0.8045576579860891,0.5724339318134093,0.6920803622409405,0.798517101585051
listener_responsibility,submission_hsjepa_listener_responsibility_9990e658_uploadsafe.csv,0.7427794225543823,0.014398148647908005,0.996016277008637,0.02746474382893564,118,0.8207932253832547,0.7628269099673388,0.7359400027783395,0.804319668745269,0.5725162681123854,0.6980761440576908,0.8049837388363978
