file,public_lb,actual_delta_vs_h057,d0_mean,rhs_label_term,d1_abs_mean,changed_cells_vs_h057
submission_h042_target_Q2_phase_k45_s0.5_c45_50fc6607_uploadsafe.csv,0.5679048248,0.00015723090000008266,-0.019181786663742203,0.019339017563742286,0.039268138719227866,270
submission_h050_target_route_phase_b140216b_uploadsafe.csv,0.5679048248,0.00015723090000008266,-0.015253814811725702,0.015411045711725784,0.04362599767946466,343
submission_h012_public_equation_top_all_k1200_a0.7_uploadsafe.csv,0.5681234831,0.0003758892000000902,-0.019282448930997096,0.019658338130997186,0.0413943359554588,315
submission_e247_featnn1_nn_smooth_sum_top34_f1ff7e86.csv,0.5761589494,0.00841135550000005,-0.23300153126356885,0.2414128867635689,0.3577555921109575,1258
submission_e256_featnn1_top50_amp_then_smooth25_a3827329.csv,0.5762805676,0.008532973700000057,-0.23310727717685806,0.24164025087685811,0.3582983883046723,1258
submission_e368_q2s1rowmask_selected_e368_q2_damp_s1_recover_amp1_06_be814361_uploadsafe.csv,0.576290429,0.00854283510000009,-0.23361225204953442,0.24215508714953451,0.3589853676815375,1343
submission_e95_hardtail_541e3973.csv,0.5762913298,0.008543735900000016,-0.23181253293991572,0.24035626883991573,0.3602462391851855,1402
submission_e101_q2s3tail_177569bc.csv,0.576300366,0.00855277210000005,-0.2317278454429938,0.24028061754299385,0.36049989978985186,1413
submission_mixmin_0c916bb4.csv,0.5763066405,0.008559046600000064,-0.23180385560193087,0.24036290220193093,0.3616074958675411,1489
submission_e176_abl_q2_to0p75_91e49725.csv,0.576311831,0.008564237100000094,-0.23196423680117412,0.2405284739011742,0.3607339996444633,1612
submission_e267_humansocial_tail_balanced_2936100f.csv,0.5763294974,0.008581903499999988,-0.23316378422807377,0.24174568772807375,0.35954360067765984,1268
submission_e72_topabs50_q2s3_gate_4e48cba2.csv,0.5764077772,0.008660183300000068,-0.23283525702031027,0.24149544032031034,0.3636076708647841,1545
submission_e323_5508f966_uploadsafe.csv,0.5770355016,0.009287907699999987,-0.23146556581550548,0.24075347351550547,0.3726434542138012,1744
submission_e216_maskfam_jepa_s2_rank_e154_s0p75_eaac6709.csv,0.5772865088,0.009538914900000028,-0.23337323001684435,0.24291214491684437,0.3736248910783011,1396
submission_raw_timeline_jepa_rescue_strict_scale0p5.csv,0.5775263072,0.00977871330000002,-0.23248005871365934,0.24225877201365936,0.3869045426824076,1750
submission_hybrid_0p567_foldsafe_stage2_q1_q3_s1_s2_s3_s4.csv,0.5779449757,0.010197381800000072,-0.23205032189239796,0.24224770369239804,0.39470964542245046,1750
submission_h010_objective_s1s4_v2_uploadsafe.csv,0.5781718175,0.01042422360000006,-0.23446170197027538,0.24488592557027544,0.38547607953359775,1744
submission_ordinal_q_constraints_ambnext_Q2Q3_nearest_w0.75.csv,0.5783033652,0.010555771300000072,-0.22160989171769985,0.23216566301769992,0.40038617667474435,1750
submission_hybrid_0p578_logit_after_subject_final9_strict.csv,0.5784273528,0.010679758900000058,-0.22994976010521298,0.24062951900521304,0.4146391725674068,1750
submission_jepa_latent_q2_w0p45.csv,0.5798012862,0.012053692300000085,-0.22558356515356537,0.23763725745356545,0.4175825646264919,1750
submission_lejepa_targetwise_strict_best_scale0p5.csv,0.5802468192,0.012499225300000028,-0.2629001705704801,0.2753993958704801,0.4360826299951259,1750
submission_jepa_latent_residual_probe.csv,0.5812273278,0.013479733900000013,-0.22936360557357938,0.2428433394735794,0.443474806429588,1750
