candidate_id,family,policy,max_cells,max_rows,q2_cap,max_per_subject,min_route_score,min_cell_score,novelty,selected_routes,selected_cells,changed_cells_vs_h057,changed_rows_vs_h057,outside_h070_cells,outside_h069_cells,h071_route_overlap,h070_overlap_cells,h069_overlap_cells,h068_overlap_cells,public_action_pred_delta_vs_h057,posterior_delta_vs_h057,responsibility_weighted_delta_vs_h057,max_positive_bad_cosine,mean_h076_route_score,mean_h076_cell_score,sum_h076_public_contrib,sum_h076_value_gain,mean_h076_public_action_gain,mean_h076_value_gain,mean_h074_cell_score,mean_h074_bad_opp_rank,mean_h074_bad_same_rank,mean_h075_transport_alignment,mean_h073_bridge_cell_score,mean_h068_health,mean_public_score,mean_invariant_score,mean_shortcut_energy,mean_abs_prob_move_vs_h057,max_abs_prob_move_vs_h057,h050_null_selected,selected_subjects,route_templates,decoder_templates,bad_cos_submission_h010_objective_,bad_cos_submission_e216_maskfam_je,bad_cos_submission_e323_5508f966_u,bad_cos_submission_jepa_latent_q2_,bad_cos_submission_jepa_latent_res,bad_cos_submission_lejepa_targetwi,bad_cos_submission_ordinal_q_const,Q1_changed_vs_h057,Q2_changed_vs_h057,Q3_changed_vs_h057,S1_changed_vs_h057,S2_changed_vs_h057,S3_changed_vs_h057,S4_changed_vs_h057,hash,action_rank,posterior_rank,responsibility_rank,route_rank,cell_rank,public_gain_rank,value_gain_rank,opp_rank,same_avoid_rank,shortcut_avoid_rank,bad_avoid_rank,outside_h069_ratio,q2_risk,route_diversity,bigbet_scale_score,h076_score,file,resolved_path
h076_route_value_big_anti_shortcut_q061_baseline_value_action_c1040_r250_q295_29ada236,route_value_big,anti_shortcut_q061_baseline,1040,250,95,32,0.52,0.34,value_action,141,439,439,141,151,382,36,288,57,151,-0.0009553903747736264,-0.000673077183099715,-0.0009760277253026383,0.0,0.7549708069945523,0.6871365034803433,-0.0009553903747736264,1.177885070424501,2.176287869643796e-06,0.0026831094998280205,0.7883753205336804,0.7054799869834039,0.29320989261308167,0.7067816465994143,0.6639203123983078,0.6026739161731207,0.6972474194598113,0.5608807419459811,0.19528861047835985,0.006122830329596898,0.15754846585116045,0,10,full_state:9;nonq2_full:10;q2_hardtail:35;q2_s3_tail:10;q3_s_stage:14;q_subjective:4;recovery_route:21;s_stage:38,q061:439,-0.43603292209217825,-0.4407849056184976,-0.43714125623942246,-0.4330799810827597,-0.43232507367675804,-0.4263845362720393,-0.4330653297754682,40,55,34,68,85,79,78,29ada236,0.8780487804878049,0.9512195121951219,0.9512195121951219,0.926829268292683,0.6829268292682927,0.9512195121951219,0.9512195121951219,0.8536585365853658,0.9512195121951219,0.7804878048780488,0.5,0.8701594533029613,0.1252847380410023,8,0.0,0.9033819471452118,submission_h076_route_value_big_anti_shortcut_q061_baseline_value_action_c1040_r250_q295_29ada236.csv,/Users/kbsoo/Downloads/cl2/hitl/h076_route_specific_value_decoder_jepa/submission_h076_route_value_big_anti_shortcut_q061_baseline_value_action_c1040_r250_q295_29ada236.csv
h076_wide_assignment_decoder_anti_shortcut_q061_baseline_value_action_c1160_r250_q2105_2bf1957e,wide_assignment_decoder,anti_shortcut_q061_baseline,1160,250,105,32,0.48,0.31,value_action,158,428,428,158,150,372,32,278,56,148,-0.000959990155024687,-0.000675501653451588,-0.0009928465412146804,0.0,0.743812105003669,0.6862662307640214,-0.000959990155024687,1.182127893540279,2.2429676519268387e-06,0.0027619810596735492,0.786326341789052,0.7071121495327103,0.2943524699599465,0.7061682242990655,0.6620438718291056,0.6000394312416555,0.6946853004005341,0.5569084045393858,0.1955081441922563,0.006046006190396572,0.15754846585116045,0,10,full_state:6;nonq2_full:10;q1q3_subjective:5;q2_hardtail:38;q2_s3_tail:10;q3_quality:3;q3_s_stage:12;q_subjective:1;recovery_route:17;s14_edge:17;s23_core:16;s_stage:23,q061:428,-0.41158379828419717,-0.4156832738472944,-0.41217263843780066,-0.40950699379438227,-0.4088482176018771,-0.4028081204333825,-0.4093327030743509,38,53,34,65,82,80,76,2bf1957e,0.9024390243902439,0.975609756097561,0.975609756097561,0.6341463414634146,0.6341463414634146,0.975609756097561,0.975609756097561,0.926829268292683,0.8780487804878049,0.7560975609756098,0.5,0.8691588785046729,0.12383177570093458,12,0.0,0.8837297697743334,submission_h076_wide_assignment_decoder_anti_shortcut_q061_baseline_value_action_c1160_r250_q2105_2bf1957e.csv,/Users/kbsoo/Downloads/cl2/hitl/h076_route_specific_value_decoder_jepa/submission_h076_wide_assignment_decoder_anti_shortcut_q061_baseline_value_action_c1160_r250_q2105_2bf1957e.csv
h076_route_value_big_public_private_value_gate_value_action_c1040_r250_q295_1b5e9ca2,route_value_big,public_private_value_gate,1040,250,95,32,0.52,0.34,value_action,143,450,450,143,155,393,37,295,57,152,-0.0009292043655946008,-0.0006526242727342694,-0.000929230585485938,0.0,0.7541622440964831,0.6885604917626658,-0.0009292043655946008,1.1420924772849714,2.064898590210224e-06,0.0025379832828554922,0.7870801269841271,0.7031720634920634,0.2947244444444444,0.7039187301587302,0.6619814412698414,0.601699384888889,0.6956864888888891,0.5603112761904763,0.19651546031746028,0.0073703234293185215,0.17285630121218654,0,10,full_state:9;nonq2_full:11;q2_hardtail:34;q2_s3_tail:10;q3_s_stage:14;q_subjective:5;recovery_route:22;s_stage:38,beta_gate:450,-0.4487013357355759,-0.4525070300400359,-0.44903017040194104,-0.4457610736002348,-0.44468494362674843,-0.4386057692468761,-0.4450144446019365,43,55,36,69,87,80,80,1b5e9ca2,0.7804878048780488,0.8536585365853658,0.8292682926829268,0.9024390243902439,0.8048780487804879,0.8292682926829268,0.8292682926829268,0.8048780487804879,0.8536585365853658,0.7073170731707317,0.5,0.8733333333333333,0.12222222222222222,8,0.0,0.8390596205962061,submission_h076_route_value_big_public_private_value_gate_value_action_c1040_r250_q295_1b5e9ca2.csv,/Users/kbsoo/Downloads/cl2/hitl/h076_route_specific_value_decoder_jepa/submission_h076_route_value_big_public_private_value_gate_value_action_c1040_r250_q295_1b5e9ca2.csv
h076_route_value_big_bad_safe_recovery_value_action_c1040_r250_q295_0da58018,route_value_big,bad_safe_recovery,1040,250,95,32,0.52,0.34,value_action,143,440,440,143,150,380,35,290,60,157,-0.0009136981130408566,-0.0006492805296756179,-0.0009186789379423381,0.0,0.7555970438076415,0.689836224916388,-0.0009136981130408567,1.1362409269323315,2.0765866205474017e-06,0.002582365743028026,0.787897974025974,0.7045610389610389,0.2932090909090909,0.7055766233766232,0.6643694025974027,0.6031954183116883,0.6979568311688312,0.5593351883116883,0.19483480519480517,0.005415693257070659,0.13241716826170408,0,10,full_state:10;nonq2_full:7;q2_hardtail:35;q2_s3_tail:10;q3_s_stage:16;q_subjective:5;recovery_route:24;s_stage:36,h075_conservative:103;q061:254;q061_amp:83,-0.4333308889423284,-0.4382375158848082,-0.4342937467138238,-0.43052800665470686,-0.4298345498989184,-0.4234765983577658,-0.4303188946620884,41,55,35,65,86,80,78,0da58018,0.6829268292682927,0.8048780487804879,0.7317073170731707,0.975609756097561,0.8292682926829268,0.8536585365853658,0.9024390243902439,0.8292682926829268,0.975609756097561,0.8048780487804879,0.5,0.8636363636363636,0.125,8,0.0,0.8364846637102735,submission_h076_route_value_big_bad_safe_recovery_value_action_c1040_r250_q295_0da58018.csv,/Users/kbsoo/Downloads/cl2/hitl/h076_route_specific_value_decoder_jepa/submission_h076_route_value_big_bad_safe_recovery_value_action_c1040_r250_q295_0da58018.csv
h076_wide_assignment_decoder_public_private_value_gate_value_action_c1160_r250_q2105_1cf3addb,wide_assignment_decoder,public_private_value_gate,1160,250,105,32,0.48,0.31,value_action,159,433,433,159,151,378,32,282,55,147,-0.000933163033500479,-0.0006508616725769103,-0.0009391687882425465,0.0,0.743586067815149,0.6880750049562181,-0.000933163033500479,1.139007927009593,2.155110931871776e-06,0.002630503295634164,0.7834339689871329,0.701004289013527,0.2970564170240844,0.6999234576047508,0.6595268756186079,0.5994231852193996,0.6951491520950182,0.5524609765753877,0.19738584625536124,0.007189734701955475,0.17285630121218654,0,10,full_state:6;nonq2_full:10;q1q3_subjective:4;q2_hardtail:37;q2_s3_tail:10;q3_quality:3;q3_s_stage:12;q_subjective:2;recovery_route:18;s14_edge:18;s23_core:16;s_stage:23,beta_gate:433,-0.38139712527848624,-0.3844962613213145,-0.38132245400324255,-0.3792477508381315,-0.37899015928147506,-0.3729902969829833,-0.3794804263828272,40,53,34,66,82,81,77,1cf3addb,0.8536585365853658,0.8292682926829268,0.8536585365853658,0.6097560975609756,0.7560975609756098,0.926829268292683,0.926829268292683,0.7560975609756098,0.8048780487804879,0.6829268292682927,0.5,0.8729792147806005,0.12240184757505773,12,0.0,0.8339922829944236,submission_h076_wide_assignment_decoder_public_private_value_gate_value_action_c1160_r250_q2105_1cf3addb.csv,/Users/kbsoo/Downloads/cl2/hitl/h076_route_specific_value_decoder_jepa/submission_h076_wide_assignment_decoder_public_private_value_gate_value_action_c1160_r250_q2105_1cf3addb.csv
h076_route_value_big_anti_shortcut_q061_baseline_outside_h069_c1040_r250_q295_a91b64c7,route_value_big,anti_shortcut_q061_baseline,1040,250,95,32,0.46,0.32,outside_h069,153,471,471,153,175,411,40,296,60,162,-0.001008552044641531,-0.0006880411771643924,-0.0010020976817658501,0.0,0.7288033976271667,0.6752183676657507,-0.0010085520446415307,1.2040720600376869,2.141299457837645e-06,0.0025564162633496534,0.7775043736730362,0.6941049438883833,0.30235122838944495,0.6948389444949954,0.6548594965119807,0.592754783864119,0.6870996906278435,0.5548705186533212,0.20347109493478918,0.006391612997945421,0.15754846585116045,0,10,full_state:9;nonq2_full:11;q2_hardtail:34;q2_s3_tail:15;q3_s_stage:16;q_subjective:5;recovery_route:24;s_stage:39,q061:471,-0.43622153872023955,-0.4408772713969789,-0.4372616818698741,-0.43317095932215544,-0.43251006434104067,-0.4263557005345739,-0.43323147720890287,46,58,37,71,92,84,83,a91b64c7,1.0,1.0,1.0,0.3170731707317073,0.3170731707317073,0.9024390243902439,0.8536585365853658,0.5853658536585366,0.6585365853658537,0.5365853658536586,0.5,0.8726114649681529,0.12314225053078556,8,0.0053450279009568235,0.7694352293175817,submission_h076_route_value_big_anti_shortcut_q061_baseline_outside_h069_c1040_r250_q295_a91b64c7.csv,/Users/kbsoo/Downloads/cl2/hitl/h076_route_specific_value_decoder_jepa/submission_h076_route_value_big_anti_shortcut_q061_baseline_outside_h069_c1040_r250_q295_a91b64c7.csv
h076_wide_assignment_decoder_bad_safe_recovery_value_action_c1160_r250_q2105_3d6db6bd,wide_assignment_decoder,bad_safe_recovery,1160,250,105,32,0.48,0.31,value_action,157,438,438,157,156,382,31,282,56,152,-0.0009238186765515947,-0.0006454574548051057,-0.000925870606904387,0.0,0.7467434747992246,0.684542591553275,-0.000923818676551595,1.129550545908935,2.10917506062008e-06,0.002578882524906244,0.7818391911285062,0.6992850619699935,0.2976320939334638,0.6989328114807566,0.6589266797129811,0.5985368948467059,0.6937872537508155,0.5515874168297455,0.19880776255707758,0.005264597915718085,0.13241716826170408,0,10,full_state:8;nonq2_full:7;q1q3_subjective:6;q2_hardtail:36;q2_s3_tail:9;q3_quality:3;q3_s_stage:13;q_subjective:2;recovery_route:21;s14_edge:8;s23_core:18;s_stage:26,h075_conservative:113;q061:235;q061_amp:75;q061_damp:15,-0.41064292109665196,-0.41665283215901505,-0.4124622618050471,-0.409069148962565,-0.4089619819864601,-0.4027499935465521,-0.40906222402716447,42,54,36,59,90,83,74,3d6db6bd,0.7317073170731707,0.7317073170731707,0.7804878048780488,0.6585365853658537,0.5609756097560976,0.8780487804878049,0.8780487804878049,0.6829268292682927,0.7560975609756098,0.6585365853658537,0.5,0.8721461187214612,0.1232876712328767,12,0.0,0.7643941418866246,submission_h076_wide_assignment_decoder_bad_safe_recovery_value_action_c1160_r250_q2105_3d6db6bd.csv,/Users/kbsoo/Downloads/cl2/hitl/h076_route_specific_value_decoder_jepa/submission_h076_wide_assignment_decoder_bad_safe_recovery_value_action_c1160_r250_q2105_3d6db6bd.csv
h076_route_value_big_public_private_value_gate_outside_h069_c1040_r250_q295_95ddba1c,route_value_big,public_private_value_gate,1040,250,95,32,0.46,0.32,outside_h069,156,483,483,156,179,423,41,304,60,163,-0.0009862133573229372,-0.0006691561496093184,-0.000955137962279043,0.0,0.7269077945001857,0.6778328137153752,-0.0009862133573229374,1.1710232618163072,2.041849601082686e-06,0.002424478802932313,0.7769652528837621,0.6927973972197574,0.3031878142561372,0.6932824608104111,0.6533531440402248,0.5925675304347826,0.686646081041112,0.5539850931677018,0.204358148476782,0.007716683627591376,0.17285630121218654,0,10,full_state:9;nonq2_full:12;q2_hardtail:33;q2_s3_tail:15;q3_s_stage:17;q_subjective:6;recovery_route:25;s_stage:39,beta_gate:483,-0.448893018281441,-0.4526235449290041,-0.4491498625712771,-0.44584176157534866,-0.44486953269946933,-0.43849719031748213,-0.4451826357497774,49,58,40,72,94,85,85,95ddba1c,0.975609756097561,0.926829268292683,0.926829268292683,0.21951219512195122,0.4878048780487805,0.8048780487804879,0.7804878048780488,0.5365853658536586,0.6097560975609756,0.5121951219512195,0.5,0.8757763975155279,0.12008281573498965,8,0.0,0.7341667929101653,submission_h076_route_value_big_public_private_value_gate_outside_h069_c1040_r250_q295_95ddba1c.csv,/Users/kbsoo/Downloads/cl2/hitl/h076_route_specific_value_decoder_jepa/submission_h076_route_value_big_public_private_value_gate_outside_h069_c1040_r250_q295_95ddba1c.csv
h076_route_value_big_bad_safe_recovery_outside_h069_c1040_r250_q295_2242cc16,route_value_big,bad_safe_recovery,1040,250,95,32,0.46,0.32,outside_h069,152,473,473,152,175,411,39,298,62,166,-0.0009620357088685771,-0.0006631193623225202,-0.0009395693680340595,0.0,0.7344789783562167,0.676654749446711,-0.0009620357088685772,1.1604588840644103,2.0339021329145396e-06,0.002453401446224969,0.7758196798550286,0.6921026880096648,0.30313319238900627,0.6923890063424947,0.6543357173059499,0.5927474019933555,0.6864578193899125,0.5513707580791302,0.20340317124735727,0.005635882554687738,0.13241716826170408,0,10,full_state:11;nonq2_full:7;q2_hardtail:32;q2_s3_tail:13;q3_s_stage:18;q_subjective:6;recovery_route:28;s_stage:37,h075_conservative:107;q061:269;q061_amp:97,-0.4542878933680478,-0.4580106470460132,-0.45365076908942387,-0.450611939276693,-0.4500519888779967,-0.44399630426721937,-0.450635908629358,48,57,38,68,95,84,83,2242cc16,0.926829268292683,0.9024390243902439,0.8780487804878049,0.4146341463414634,0.4634146341463415,0.7804878048780488,0.8048780487804879,0.3902439024390244,0.6341463414634146,0.5609756097560976,0.5,0.86892177589852,0.12050739957716702,8,0.0,0.7301442960518401,submission_h076_route_value_big_bad_safe_recovery_outside_h069_c1040_r250_q295_2242cc16.csv,/Users/kbsoo/Downloads/cl2/hitl/h076_route_specific_value_decoder_jepa/submission_h076_route_value_big_bad_safe_recovery_outside_h069_c1040_r250_q295_2242cc16.csv
h076_route_value_big_recovery_full_vector_value_action_c1040_r250_q295_5f13caaf,route_value_big,recovery_full_vector,1040,250,95,32,0.52,0.34,value_action,144,491,491,144,190,426,56,301,65,165,-0.0009327935646335432,-0.0006477456633942322,-0.00092665202478891,0.0,0.7540268675774959,0.6758559037593064,-0.000932793564633543,1.1335549109399063,1.899783227359558e-06,0.0023086658063949214,0.7709448938027348,0.6888810008728543,0.30655920861216174,0.6890718649985452,0.6448547163223743,0.5885158818737272,0.6822155368053536,0.560354006400931,0.21175205120744833,0.005628208078183366,0.12739622087580738,0,10,full_state:16;nonq2_full:26;q2_hardtail:35;q2_s3_tail:9;q3_s_stage:28;q_subjective:6;s_stage:24,h075_conservative:52;q061:273;q061_amp:87;q061_damp:79,-0.42429324282577546,-0.42967525065722556,-0.4260020436389798,-0.42268529217640277,-0.42192123362367345,-0.41671090878118355,-0.42236364997591896,44,61,60,83,86,77,80,5f13caaf,0.8292682926829268,0.7560975609756098,0.8048780487804879,0.8780487804878049,0.34146341463414637,0.7073170731707317,0.6829268292682927,0.3170731707317073,0.43902439024390244,0.2682926829268293,0.5,0.8676171079429735,0.12423625254582485,7,0.0,0.6928600996804267,submission_h076_route_value_big_recovery_full_vector_value_action_c1040_r250_q295_5f13caaf.csv,/Users/kbsoo/Downloads/cl2/hitl/h076_route_specific_value_decoder_jepa/submission_h076_route_value_big_recovery_full_vector_value_action_c1040_r250_q295_5f13caaf.csv
