view,mask,train_teacher,test_teacher,feature_count,row_auc,row_bce,row_recall_at_k,cell_recall_with_stage_prior,cell_precision_with_stage_prior,row_recall_with_stage_prior,interpretation,cell_recall_retention_vs_full
full_composite,none,stagebridge_jackpot,s2hub_jackpot,75,0.8397331154684096,0.5349365410119077,0.4117647058823529,0.35294117647058826,0.35294117647058826,0.5882352941176471,All portable row-support context.,1.0
full_composite,none,s2hub_jackpot,stagebridge_jackpot,75,0.7989263624693664,0.5289611574058222,0.4146341463414634,0.3048780487804878,0.3048780487804878,0.5853658536585366,All portable row-support context.,1.0
prediction_landscape_only,human/cohort/calendar/latent removed,stagebridge_jackpot,s2hub_jackpot,40,0.7369281045751634,0.6154364797737341,0.3235294117647059,0.25,0.25,0.47058823529411764,Only seven-target probability and route-margin landscape.,0.7083333333333333
prediction_landscape_only,human/cohort/calendar/latent removed,s2hub_jackpot,stagebridge_jackpot,40,0.7060333761232349,0.6079401095285787,0.3902439024390244,0.21951219512195122,0.21951219512195122,0.43902439024390244,Only seven-target probability and route-margin landscape.,0.72
human_only_no_prediction,prediction landscape removed,stagebridge_jackpot,s2hub_jackpot,35,0.7362472766884531,0.6178918122423456,0.2647058823529412,0.25,0.25,0.35294117647058826,Human/social/cohort/latent context without prediction landscape.,0.7083333333333333
human_only_no_prediction,prediction landscape removed,s2hub_jackpot,stagebridge_jackpot,35,0.7137355584082158,0.6074740967106316,0.2926829268292683,0.2926829268292683,0.2926829268292683,0.5121951219512195,Human/social/cohort/latent context without prediction landscape.,0.96
mask_calendar_sequence,calendar and row phase removed,stagebridge_jackpot,s2hub_jackpot,63,0.8263888888888888,0.5485985769360573,0.3235294117647059,0.3235294117647059,0.3235294117647059,0.5588235294117647,Tests whether the support sensor is only row/order/calendar shortcut.,0.9166666666666666
mask_calendar_sequence,calendar and row phase removed,s2hub_jackpot,stagebridge_jackpot,63,0.7991597619325476,0.5418646478952805,0.4146341463414634,0.2926829268292683,0.2926829268292683,0.5853658536585366,Tests whether the support sensor is only row/order/calendar shortcut.,0.96
mask_subject_peer,subject and peer identifiers removed,stagebridge_jackpot,s2hub_jackpot,71,0.8357843137254901,0.536876443566859,0.35294117647058826,0.35294117647058826,0.35294117647058826,0.5882352941176471,Tests whether subject-like identity is the main support signal.,1.0
mask_subject_peer,subject and peer identifiers removed,s2hub_jackpot,stagebridge_jackpot,71,0.7981094643482319,0.5313375475695509,0.43902439024390244,0.32926829268292684,0.32926829268292684,0.5853658536585366,Tests whether subject-like identity is the main support signal.,1.08
mask_cohort_social,cohort/social outlier features removed,stagebridge_jackpot,s2hub_jackpot,68,0.8382352941176471,0.5357809299129708,0.38235294117647056,0.35294117647058826,0.35294117647058826,0.5882352941176471,Tests whether peer anomaly alone drives support.,1.0
mask_cohort_social,cohort/social outlier features removed,s2hub_jackpot,stagebridge_jackpot,68,0.7997432605905006,0.5284112051051447,0.43902439024390244,0.32926829268292684,0.32926829268292684,0.5853658536585366,Tests whether peer anomaly alone drives support.,1.08
mask_latent_geometry,human-state latent geometry removed,stagebridge_jackpot,s2hub_jackpot,63,0.8003812636165578,0.5758075763649574,0.4411764705882353,0.3088235294117647,0.3088235294117647,0.5588235294117647,Tests whether latent geometry is required.,0.875
mask_latent_geometry,human-state latent geometry removed,s2hub_jackpot,stagebridge_jackpot,63,0.7452444859376823,0.5679532931646467,0.4146341463414634,0.2926829268292683,0.2926829268292683,0.4878048780487805,Tests whether latent geometry is required.,0.96
mask_target_route_margins,target route margin features removed,stagebridge_jackpot,s2hub_jackpot,50,0.7969771241830066,0.5697166597473643,0.38235294117647056,0.29411764705882354,0.29411764705882354,0.47058823529411764,Tests whether the sensor is only target-route leakage.,0.8333333333333333
mask_target_route_margins,target route margin features removed,s2hub_jackpot,stagebridge_jackpot,50,0.765200140039678,0.5594283131370328,0.4146341463414634,0.3170731707317073,0.3170731707317073,0.5609756097560976,Tests whether the sensor is only target-route leakage.,1.04
