row,driver_target,driver_flat,driver_step,bridge_target,bridge_flat,bridge_step,actions,action_count,public_delta_estimate,driver_public_delta,bridge_public_delta,public_utility,old_route_energy,new_route_energy,route_energy_delta,same_direction,driver_h088_alignment,driver_stability,source_support,solver_score,probe_name,selected_by_existing_decoder,driver_flat_idx,driver_sign,driver_selection_score,driver_responsibility_score,driver_listener_benefit_rank,driver_source_consensus_rank,driver_human_state_responsibility,driver_h088_safe_rank,bridge_flat_idx,bridge_sign,bridge_selection_score,bridge_responsibility_score,bridge_listener_benefit_rank,bridge_source_consensus_rank,bridge_human_state_responsibility,bridge_h088_safe_rank,listener_pair_score,route_safety_score,public_utility_score,toxicity_safety_score,listener_rank,contrastive_score,s2hub_score
182,S3,1279,1.45,S2,1278,0.62,"[(1279, 'S3', 1.45, 'driver'), (1278, 'S2', 0.62, 'bridge')]",2,-0.0058809670752207,-0.0059726593615131,9.169228629240468e-05,0.0058809670752207,0.7520618144445538,0.7400859875143342,-0.0119758269302195,True,0.0,1.0,6,0.0077822876138633,stagebridge,True,1279,1,0.9555040556199303,0.724041340791245,0.7647295742232452,0.8119965477560415,0.5387243735763099,0.9234752589182968,1278,1,0.9750869061413674,0.8110588811762113,0.9141714614499424,0.8616455696202532,0.6264692482915719,0.9234752589182968,0.8701262745574188,0.5341726618705036,0.9982014388489209,0.8911870503597122,0.9991007194244604,0.8278956834532375,
182,S3,1279,1.45,S2,1278,0.4649999999999999,"[(1279, 'S3', 1.45, 'driver'), (1278, 'S2', 0.46499999999999997, 'bridge')]",2,-0.0059038901467938,-0.0059726593615131,6.876921471930351e-05,0.0059038901467938,0.7520618144445538,0.7501601822389896,-0.0019016322055641,True,0.0,1.0,6,0.007397672717959,stagebridge,False,1279,1,0.9555040556199303,0.724041340791245,0.7647295742232452,0.8119965477560415,0.5387243735763099,0.9234752589182968,1278,1,0.9750869061413674,0.8110588811762113,0.9141714614499424,0.8616455696202532,0.6264692482915719,0.9234752589182968,0.8701262745574188,0.21223021582733814,1.0,0.8911870503597122,0.9991007194244604,0.7187949640287771,
184,S2,1292,1.2802977332677985,S1,1291,0.62,"[(1292, 'S2', 1.2802977332677983, 'driver'), (1291, 'S1', 0.62, 'bridge')]",2,-0.0018560842547145,-0.0013663658037879,-0.0004897184509265,0.0018560842547145,0.6840839009131192,0.6449262285364982,-0.039157672376621,True,0.5348571428571428,1.0,5,0.0039726275954962,stagebridge,True,1292,1,0.6181691772885284,0.4969534731050111,0.6967779056386652,0.4911219792865362,0.3634282460136674,0.7974683544303798,1291,1,0.482271147161066,0.4311551829434408,0.596812428078251,0.4476121979286536,0.3616742596810933,0.6927502876869965,0.5160865461110656,0.9244604316546763,0.9910071942446043,0.5701438848920863,0.7437050359712231,0.833794964028777,
234,S4,1644,-1.291722271523555,S2,1642,-0.62,"[(1644, 'S4', -1.291722271523555, 'driver'), (1642, 'S2', -0.62, 'bridge')]",2,-0.0017520133937204,-0.0017520133937204,-0.0,0.0017520133937204,0.734783888398664,0.6948942344077552,-0.0398896539909088,True,0.5085714285714286,1.0,4,0.003873938366154,stagebridge,True,1644,-1,0.4449362688296639,0.3969408586275402,0.5097871116225546,0.3709608745684695,0.4046469248291572,0.813578826237054,1642,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.2613212531377274,0.9334532374100719,0.9694244604316546,0.6151079136690647,0.09352517985611511,0.6168705035971223,
234,S4,1644,-1.291722271523555,S2,1642,-0.4649999999999999,"[(1644, 'S4', -1.291722271523555, 'driver'), (1642, 'S2', -0.46499999999999997, 'bridge')]",2,-0.0017520133937204,-0.0017520133937204,-0.0,0.0017520133937204,0.734783888398664,0.6954053435715817,-0.0393785448270823,True,0.5085714285714286,1.0,4,0.0038522798986266,stagebridge,False,1644,-1,0.4449362688296639,0.3969408586275402,0.5097871116225546,0.3709608745684695,0.4046469248291572,0.813578826237054,1642,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.2613212531377274,0.9280575539568345,0.9694244604316546,0.6151079136690647,0.09352517985611511,0.6150359712230216,
234,S4,1644,-1.291722271523555,S2,1642,-0.31,"[(1644, 'S4', -1.291722271523555, 'driver'), (1642, 'S2', -0.31, 'bridge')]",2,-0.0017520133937204,-0.0017520133937204,-0.0,0.0017520133937204,0.734783888398664,0.6968350008485881,-0.0379488875500759,True,0.5085714285714286,1.0,4,0.0037916975653387,stagebridge,False,1644,-1,0.4449362688296639,0.3969408586275402,0.5097871116225546,0.3709608745684695,0.4046469248291572,0.813578826237054,1642,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.2613212531377274,0.9100719424460432,0.9694244604316546,0.6151079136690647,0.09352517985611511,0.6089208633093526,
184,S2,1292,1.2802977332677985,S1,1291,0.4649999999999999,"[(1292, 'S2', 1.2802977332677983, 'driver'), (1291, 'S1', 0.46499999999999997, 'bridge')]",2,-0.0017336546419828,-0.0013663658037879,-0.0003672888381949,0.0017336546419828,0.6840839009131192,0.6466203711947135,-0.0374635297184057,True,0.5348571428571428,1.0,5,0.0037482491482243,stagebridge,False,1292,1,0.6181691772885284,0.4969534731050111,0.6967779056386652,0.4911219792865362,0.3634282460136674,0.7974683544303798,1291,1,0.482271147161066,0.4311551829434408,0.596812428078251,0.4476121979286536,0.3616742596810933,0.6927502876869965,0.5160865461110656,0.9064748201438849,0.9532374100719424,0.5701438848920863,0.7437050359712231,0.8201258992805757,
234,S4,1644,-1.291722271523555,S2,1642,-0.155,"[(1644, 'S4', -1.291722271523555, 'driver'), (1642, 'S2', -0.15500000000000003, 'bridge')]",2,-0.0017520133937204,-0.0017520133937204,-0.0,0.0017520133937204,0.734783888398664,0.699231267220968,-0.035552621177696,True,0.5085714285714286,1.0,4,0.0036901547617922,stagebridge,False,1644,-1,0.4449362688296639,0.3969408586275402,0.5097871116225546,0.3709608745684695,0.4046469248291572,0.813578826237054,1642,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.2613212531377274,0.8938848920863309,0.9694244604316546,0.6151079136690647,0.09352517985611511,0.6034172661870504,
184,S2,1292,1.2802977332677985,S1,1291,0.3099999999999999,"[(1292, 'S2', 1.2802977332677983, 'driver'), (1291, 'S1', 0.30999999999999994, 'bridge')]",2,-0.0016112250292512,-0.0013663658037879,-0.0002448592254632,0.0016112250292512,0.6840839009131192,0.6491459678144003,-0.0349379330987189,True,0.5348571428571428,1.0,5,0.0034886374867986,stagebridge,False,1292,1,0.6181691772885284,0.4969534731050111,0.6967779056386652,0.4911219792865362,0.3634282460136674,0.7974683544303798,1291,1,0.482271147161066,0.4311551829434408,0.596812428078251,0.4476121979286536,0.3616742596810933,0.6927502876869965,0.5160865461110656,0.8830935251798561,0.9496402877697842,0.5701438848920863,0.7437050359712231,0.811456834532374,
184,S2,1292,1.2802977332677985,S3,1293,0.62,"[(1292, 'S2', 1.2802977332677983, 'driver'), (1293, 'S3', 0.62, 'bridge')]",2,-0.0013663658037879,-0.0013663658037879,0.0,0.0013663658037879,0.6840839009131192,0.6421897739520743,-0.0418941269610448,True,0.5348571428571428,1.0,5,0.0034782322835139,stagebridge,False,1292,1,0.6181691772885284,0.4969534731050111,0.6967779056386652,0.4911219792865362,0.3634282460136674,0.7974683544303798,1293,1,0.0,0.0,0.0,0.0,0.0,0.0,0.3352377759946365,0.9442446043165468,0.9190647482014388,0.5701438848920863,0.22841726618705036,0.6509352517985612,
