family,family_type,train_teacher,test_teacher,feature_count,teacher_rows,row_auc,row_average_precision,row_recall_at_k,row_precision_at_k,cell_recall_with_stage_prior,cell_precision_with_stage_prior,cell_row_recall_with_stage_prior,null_auc_mean,null_auc_std,auc_z_vs_permuted_train,interpretation
calendar_sequence_phase,portable_human_context,stagebridge_jackpot,s2hub_jackpot,12,34,0.6623093681917211,0.25111543389175756,0.2647058823529412,0.2647058823529412,0.19117647058823528,0.19117647058823528,0.3235294117647059,0.4917300687636166,0.048860981221918585,3.491114897045585,Row/order/calendar rhythm as support sensor.
subject_peer_block,portable_human_context,stagebridge_jackpot,s2hub_jackpot,7,34,0.6181917211328976,0.2403700544798374,0.20588235294117646,0.20588235294117646,0.16176470588235295,0.16176470588235295,0.2647058823529412,0.507603996459695,0.04763489005044996,2.3215698526034054,Subject-like block and peer membership as support sensor.
cohort_social_outlier,portable_human_context,stagebridge_jackpot,s2hub_jackpot,14,34,0.6484204793028323,0.24969408204136248,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.38235294117647056,0.4961150258714597,0.04185228498692498,3.639119189763573,Personal/cohort anomaly and social-calendar state.
latent_geometry,portable_human_context,stagebridge_jackpot,s2hub_jackpot,12,34,0.6722494553376906,0.22617164957332297,0.20588235294117646,0.20588235294117646,0.17647058823529413,0.17647058823529413,0.2647058823529412,0.5100400837418301,0.055535032020941316,2.9208477188721917,HS-JEPA human-state geometry without target labels.
prediction_landscape,portable_prediction_context,stagebridge_jackpot,s2hub_jackpot,40,34,0.7369281045751634,0.3340862794491477,0.3235294117647059,0.3235294117647059,0.25,0.25,0.47058823529411764,0.5039722052015251,0.061086706894097065,3.813528527204818,"The row's seven-target probability/margin landscape, independent of public score labels."
portable_row_support_composite,portable_composite_context,stagebridge_jackpot,s2hub_jackpot,75,34,0.8397331154684096,0.4025464030218349,0.4117647058823529,0.4117647058823529,0.35294117647058826,0.35294117647058826,0.5882352941176471,0.49876919083605664,0.05269097748813055,6.471011563775986,All portable context currently available to the sleep adapter.
distilled_row_context_capacity,teacher_distilled_capacity,stagebridge_jackpot,s2hub_jackpot,20,34,0.5164760348583878,0.15389283531375994,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.17647058823529413,0.5015297351579521,0.026694177081190675,0.5599086143384884,"Teacher-distilled row context; capacity diagnostic, not deployment proof."
listener_adapter_upper_bound,adapter_source_upper_bound,stagebridge_jackpot,s2hub_jackpot,20,34,0.7701525054466231,0.30542625759552333,0.3235294117647059,0.3235294117647059,0.27941176470588236,0.27941176470588236,0.47058823529411764,0.4756146599264707,0.11998075685786584,2.454875708686136,Adapter/listener artifacts; upper bound for row support.
calendar_sequence_phase,portable_human_context,s2hub_jackpot,stagebridge_jackpot,12,41,0.6507177033492823,0.260751490920358,0.24390243902439024,0.24390243902439024,0.2073170731707317,0.2073170731707317,0.3902439024390244,0.5044883810829736,0.04763182298465576,3.0699921418799234,Row/order/calendar rhythm as support sensor.
subject_peer_block,portable_human_context,s2hub_jackpot,stagebridge_jackpot,7,41,0.6207258723304936,0.2482261052554999,0.1951219512195122,0.1951219512195122,0.12195121951219512,0.12195121951219512,0.3170731707317073,0.4951724603220913,0.05699560293309106,2.202861370828789,Subject-like block and peer membership as support sensor.
cohort_social_outlier,portable_human_context,s2hub_jackpot,stagebridge_jackpot,14,41,0.5936515346014704,0.2300787936754422,0.2926829268292683,0.2926829268292683,0.21951219512195122,0.21951219512195122,0.34146341463414637,0.4962537562726106,0.03325377694249975,2.9289237880338708,Personal/cohort anomaly and social-calendar state.
latent_geometry,portable_human_context,s2hub_jackpot,stagebridge_jackpot,12,41,0.6571361885867664,0.2536718421989481,0.2682926829268293,0.2682926829268293,0.21951219512195122,0.21951219512195122,0.3902439024390244,0.49831150075854824,0.05529519726671815,2.872305293751321,HS-JEPA human-state geometry without target labels.
prediction_landscape,portable_prediction_context,s2hub_jackpot,stagebridge_jackpot,40,41,0.7060333761232349,0.3324931935276205,0.3902439024390244,0.3902439024390244,0.21951219512195122,0.21951219512195122,0.43902439024390244,0.5084671125568911,0.05975616566354705,3.306207173310398,"The row's seven-target probability/margin landscape, independent of public score labels."
portable_row_support_composite,portable_composite_context,s2hub_jackpot,stagebridge_jackpot,75,41,0.7989263624693664,0.41564312852981633,0.4146341463414634,0.4146341463414634,0.3048780487804878,0.3048780487804878,0.5853658536585366,0.5098301289532033,0.045419868065366444,6.364972991557515,All portable context currently available to the sleep adapter.
distilled_row_context_capacity,teacher_distilled_capacity,s2hub_jackpot,stagebridge_jackpot,20,41,0.4963239584548956,0.16978913651904104,0.14634146341463414,0.14634146341463414,0.12195121951219512,0.12195121951219512,0.2682926829268293,0.5069190176800094,0.034812833358665,-0.30434349068794314,"Teacher-distilled row context; capacity diagnostic, not deployment proof."
listener_adapter_upper_bound,adapter_source_upper_bound,s2hub_jackpot,stagebridge_jackpot,20,41,0.7913408799159762,0.36428287404427323,0.43902439024390244,0.43902439024390244,0.25609756097560976,0.25609756097560976,0.5365853658536586,0.4874556905706617,0.12135389554525482,2.504123893014962,Adapter/listener artifacts; upper bound for row support.
