view,teacher,stress,heldout_group,test_rows,test_positive_rows,row_auc,row_bce,row_recall_at_k
prediction_landscape_only,stagebridge_jackpot,calendar_mod_holdout,3,33,5,0.5428571428571428,0.6504471874063212,0.4
human_only_no_prediction,s2hub_jackpot,row_order_holdout,0,63,7,0.4489795918367347,0.6164161600625755,0.14285714285714285
human_only_no_prediction,s2hub_jackpot,row_order_holdout,1,62,7,0.6727272727272727,0.7212139595394492,0.2857142857142857
human_only_no_prediction,s2hub_jackpot,row_order_holdout,2,63,11,0.6730769230769231,0.681033305110127,0.45454545454545453
human_only_no_prediction,s2hub_jackpot,row_order_holdout,3,62,9,0.5576519916142557,1.4858499100959466,0.1111111111111111
human_only_no_prediction,s2hub_jackpot,subject_mod_holdout,0,75,10,0.4153846153846154,0.67953152359445,0.2
human_only_no_prediction,s2hub_jackpot,subject_mod_holdout,1,78,9,0.6296296296296297,0.668126342934032,0.2222222222222222
human_only_no_prediction,s2hub_jackpot,subject_mod_holdout,2,51,4,0.21808510638297873,0.6067537062317263,0.0
human_only_no_prediction,s2hub_jackpot,subject_mod_holdout,3,46,11,0.5376623376623376,0.6521886838348046,0.18181818181818182
human_only_no_prediction,s2hub_jackpot,calendar_mod_holdout,0,73,15,0.5574712643678161,0.7342230805306447,0.3333333333333333
human_only_no_prediction,s2hub_jackpot,calendar_mod_holdout,1,74,9,0.4769230769230769,0.6952557870834685,0.0
human_only_no_prediction,s2hub_jackpot,calendar_mod_holdout,2,70,7,0.5396825396825398,0.5617137414011182,0.14285714285714285
human_only_no_prediction,s2hub_jackpot,calendar_mod_holdout,3,33,3,0.5333333333333333,0.5548002859050066,0.0
human_only_no_prediction,stagebridge_jackpot,row_order_holdout,0,63,9,0.3765432098765432,0.7826201587816315,0.1111111111111111
human_only_no_prediction,stagebridge_jackpot,row_order_holdout,1,62,7,0.6883116883116883,0.714507146208125,0.0
human_only_no_prediction,stagebridge_jackpot,row_order_holdout,2,63,15,0.6236111111111111,0.6981288083480747,0.4
human_only_no_prediction,stagebridge_jackpot,row_order_holdout,3,62,10,0.41923076923076924,1.9054600221736655,0.0
human_only_no_prediction,stagebridge_jackpot,subject_mod_holdout,0,75,12,0.2724867724867725,0.8833506391662637,0.08333333333333333
human_only_no_prediction,stagebridge_jackpot,subject_mod_holdout,1,78,13,0.5443786982248521,0.7811597168369672,0.3076923076923077
human_only_no_prediction,stagebridge_jackpot,subject_mod_holdout,2,51,5,0.21739130434782605,0.5482168606357054,0.0
human_only_no_prediction,stagebridge_jackpot,subject_mod_holdout,3,46,11,0.47792207792207786,0.6304846339040535,0.2727272727272727
human_only_no_prediction,stagebridge_jackpot,calendar_mod_holdout,0,73,15,0.5344827586206896,0.8052024996989878,0.26666666666666666
human_only_no_prediction,stagebridge_jackpot,calendar_mod_holdout,1,74,13,0.43631778058007564,0.7531887131877358,0.07692307692307693
