file,public_lb,positive_cells,positive_rate,loo_auc,loo_ap,loo_mean_score_positive,loo_mean_score_negative
submission_hybrid_0p578_logit_after_subject_final9_strict.csv,0.5784273528,288,0.33371958285052145,0.5952536231884058,0.4241564112821852,0.5001012300425808,0.3388554145225871
submission_hybrid_0p567_foldsafe_stage2_q1_q3_s1_s2_s3_s4.csv,0.5779449757,178,0.20625724217844726,0.8139260231280243,0.5917881692199701,1.01991068143754,0.27313088637125327
submission_ordinal_q_constraints_ambnext_Q2Q3_nearest_w0.75.csv,0.5783033652,229,0.2653534183082271,0.6747103715234252,0.46784092283045986,0.7099372415538305,0.3034856143659188
submission_raw_timeline_jepa_rescue_strict_scale0p5.csv,0.5775263072,172,0.1993047508690614,0.7701595261333423,0.5642641692137221,1.037197310097744,0.2782422521824818
submission_jepa_latent_q2_w0p45.csv,0.5798012862,177,0.20509849362688296,0.8054018217456476,0.5878390684392747,1.017515451101217,0.27246432600797527
submission_jepa_latent_residual_probe.csv,0.5812273278,204,0.23638470451911936,0.7357404266714274,0.521102940402383,0.8422995843486953,0.28265408897238375
submission_lejepa_targetwise_strict_best_scale0p5.csv,0.5802468192,224,0.25955967555040554,0.69594301922647,0.47733693430995583,0.7326917753764752,0.29961943137668146
submission_mixmin_0c916bb4.csv,0.5763066405,126,0.14600231749710313,0.7932523529538456,0.562031091980166,1.2576058245424215,0.2929564130556627
submission_e72_topabs50_q2s3_gate_4e48cba2.csv,0.5764077772,136,0.15758980301274622,0.8038878550044501,0.572863054235581,1.2196800600816209,0.286578152296516
submission_e95_hardtail_541e3973.csv,0.5762913298,97,0.11239860950173812,0.877298053888186,0.6362188832485158,1.557428604415094,0.29235204702294576
submission_e101_q2s3tail_177569bc.csv,0.576300366,100,0.11587485515643106,0.866173001310616,0.6240848497977716,1.5161602374336942,0.29268963274305043
submission_e176_abl_q2_to0p75_91e49725.csv,0.576311831,138,0.15990730011587487,0.792063968015992,0.5588900082626653,1.1891566725523413,0.29083020820763544
submission_e216_maskfam_jepa_s2_rank_e154_s0p75_eaac6709.csv,0.5772865088,89,0.10312862108922363,0.8823563568794821,0.6606281000306387,1.6661652487995458,0.2923465474770776
submission_e247_featnn1_nn_smooth_sum_top34_f1ff7e86.csv,0.5761589494,57,0.0660486674391657,0.981977275695442,0.8344589921887137,2.3173026392902503,0.30304090088983565
submission_e256_featnn1_top50_amp_then_smooth25_a3827329.csv,0.5762805676,57,0.0660486674391657,0.981977275695442,0.8344589921887137,2.3173026392902503,0.30304090088983565
submission_e267_humansocial_tail_balanced_2936100f.csv,0.5763294974,58,0.06720741599073002,0.9777468408652816,0.823789240304419,2.279942967371463,0.30300120940641134
submission_e323_5508f966_uploadsafe.csv,0.5770355016,190,0.220162224797219,0.719386877297255,0.5086528493728402,0.9114258135548293,0.2977705371573372
submission_e368_q2s1rowmask_selected_e368_q2_damp_s1_recover_amp1_06_be814361_uploadsafe.csv,0.576290429,78,0.09038238702201622,0.8782622897272578,0.6719219995653898,1.777232625823189,0.30277683407222394
submission_h010_objective_s1s4_v2_uploadsafe.csv,0.5781718175,168,0.19466975666280417,0.7453665638917437,0.5263807639232976,1.0107232815184148,0.2926055412428211
submission_h088_dual_state_gate_c31cc15b_uploadsafe.csv,0.5684942019,737,0.8539976825028969,0.36828842798992056,0.7866139826938541,0.224849814683158,0.7130060390738643
