file,resolved_path,source,changed_cells,changed_rows,pred_gain_sum_moved,pred_gain_mean_moved,pred_gain_top1200_sum,pred_gain_top1200_mean,pred_positive_rate_moved,mean_abs_delta_prob,max_abs_delta_prob,ood_abs_delta_rate,h024_pred_public_median,h024_pred_public_p10,h024_pred_public_p90,h024_support_better_than_h012,h024_decoder_score,h024_bad_to_good_load_ratio,h025_score,public_lb,is_known_public,is_known_bad_shortcut,h026_source_score
submission_h012_public_equation_top_all_k1200_a0.7_uploadsafe.csv,/Users/kbsoo/Downloads/cl2/submission_h012_public_equation_top_all_k1200_a0.7_uploadsafe.csv,known_public,0,0,-6.73811837439669,-0.0038503533567981084,18.463337348283375,0.015386114456902812,0.44342857142857145,1.0880185641326535e-17,1.1102230246251565e-16,0.0,0.56813283363976,0.5669927245610146,0.5693060329040035,0.15,0.5702007881392691,3.659418798465839,-18.456018510686445,0.5681234831,True,False,9.777519625899258
hitl/h015_public_equation_self_feedback/submission_h015_top_S_k100_a0.45_9b6629d7.csv,/Users/kbsoo/Downloads/cl2/hitl/h015_public_equation_self_feedback/submission_h015_top_S_k100_a0.45_9b6629d7.csv,h015,100,66,5.469446674795995,0.05469446674795995,5.4694466747959956,0.054694466747959955,0.85,0.0006646956817755159,0.03586966063182284,0.023428571428571427,0.5703423928600045,0.5600510753002418,0.5812976415506369,0.15,0.5790512988074016,3.7003078850252185,-5.461460344740231,,False,False,5.536776650639319
hitl/h015_public_equation_self_feedback/submission_h015_top_S_k100_a0.7_ef76bfa7.csv,/Users/kbsoo/Downloads/cl2/hitl/h015_public_equation_self_feedback/submission_h015_top_S_k100_a0.7_ef76bfa7.csv,h015,100,66,5.533100839778421,0.05533100839778421,5.533100839778422,0.05533100839778422,0.86,0.0009513512287458603,0.05164167766874983,0.026857142857142857,0.5704269802754436,0.5603931054033744,0.5813101219659266,0.15,0.5790273662001965,3.71980036531319,-5.524989810476367,,False,False,5.202006474623824
hitl/h015_public_equation_self_feedback/submission_h015_top_all_k100_a0.45_f9e682ee.csv,/Users/kbsoo/Downloads/cl2/hitl/h015_public_equation_self_feedback/submission_h015_top_all_k100_a0.45_f9e682ee.csv,h015,100,65,5.391547525657522,0.053915475256575224,5.391547525657521,0.05391547525657521,0.85,0.0005789821352595479,0.03586966063182284,0.026857142857142857,0.5699106683574009,0.5589878213290834,0.5807497024918761,0.15,0.5789297078939418,4.0710889416099905,-5.382733919202873,,False,False,5.004096366254556
hitl/h015_public_equation_self_feedback/submission_h015_direct_all_a0.1_35c68bc9.csv,/Users/kbsoo/Downloads/cl2/hitl/h015_public_equation_self_feedback/submission_h015_direct_all_a0.1_35c68bc9.csv,h015,1750,250,-6.565811202313454,-0.003751892115607688,18.667310841279157,0.015556092367732631,0.44057142857142856,0.0018414856895582834,0.011407160452700849,0.0,0.5731881781460444,0.5627473390702105,0.5872593575639349,0.1333333333333333,0.5830999802632589,3.864558984031387,-18.659581723311096,,False,False,4.170329754747904
hitl/h015_public_equation_self_feedback/submission_h015_top_all_k100_a0.7_a3e35d5c.csv,/Users/kbsoo/Downloads/cl2/hitl/h015_public_equation_self_feedback/submission_h015_top_all_k100_a0.7_a3e35d5c.csv,h015,100,65,5.439891414418953,0.05439891414418953,5.4398914144189545,0.05439891414418954,0.86,0.0008221841082830835,0.05164167766874983,0.030285714285714287,0.5700538528712658,0.5596529435012236,0.5807610348589438,0.15,0.5789245358890835,4.30100297890224,-5.430532265604007,,False,False,4.167724412843151
hitl/h015_public_equation_self_feedback/submission_h015_top_S_k200_a0.25_71ff359f.csv,/Users/kbsoo/Downloads/cl2/hitl/h015_public_equation_self_feedback/submission_h015_top_S_k200_a0.25_71ff359f.csv,h015,200,124,7.2346193032979755,0.03617309651648988,7.2346193032979755,0.03617309651648988,0.725,0.0009168546139088401,0.021200429022458667,0.009142857142857144,0.5719767223132708,0.5622389399273734,0.5829389809299103,0.1333333333333333,0.5805405048421793,3.825051937202116,-7.226740627995,,False,False,4.109699960405376
hitl/h015_public_equation_self_feedback/submission_h015_top_all_k200_a0.25_f93b070b.csv,/Users/kbsoo/Downloads/cl2/hitl/h015_public_equation_self_feedback/submission_h015_top_all_k200_a0.25_f93b070b.csv,h015,200,123,7.04001072832786,0.0352000536416393,7.04001072832786,0.0352000536416393,0.725,0.0009088182789548385,0.021200429022458667,0.011428571428571429,0.5717260013286138,0.562123820241721,0.5820112761030873,0.1333333333333333,0.5800798286326564,4.037765007326579,-7.031649484027493,,False,False,3.782712987262113
hitl/h015_public_equation_self_feedback/submission_h015_target_S2_k180_a0.9_3437d662.csv,/Users/kbsoo/Downloads/cl2/hitl/h015_public_equation_self_feedback/submission_h015_target_S2_k180_a0.9_3437d662.csv,h015,180,180,8.407552891295943,0.04670862717386635,8.407552891295943,0.04670862717386635,0.7944444444444444,0.002547096073338766,0.06112609848429751,0.010857142857142857,0.5733415381713411,0.5639133064252518,0.5886338849784947,0.1166666666666666,0.5831160272207516,3.2565330165014488,-8.400768396691511,,False,False,3.427886254058361
hitl/h015_public_equation_self_feedback/submission_h015_stable_S_k100_a0.6_a98835b5.csv,/Users/kbsoo/Downloads/cl2/hitl/h015_public_equation_self_feedback/submission_h015_stable_S_k100_a0.6_a98835b5.csv,h015,100,69,5.072665025586663,0.05072665025586663,5.072665025586662,0.050726650255866625,0.81,0.0009621534252520398,0.045654676145048256,0.02,0.5719100105902263,0.5632764261928069,0.5836142842291898,0.1333333333333333,0.5803789785434625,3.916336115720803,-5.064332353355221,,False,False,3.249295948580326
hitl/h015_public_equation_self_feedback/submission_h015_stable_all_k100_a0.35_5bd6cfd9.csv,/Users/kbsoo/Downloads/cl2/hitl/h015_public_equation_self_feedback/submission_h015_stable_all_k100_a0.35_5bd6cfd9.csv,h015,100,69,5.115373674312063,0.05115373674312063,5.115373674312063,0.05115373674312063,0.85,0.0005808392992864937,0.028776433055539452,0.02057142857142857,0.5714389621251699,0.5616111589462032,0.5824752207570607,0.1333333333333333,0.5801757555559109,4.155347991259835,-5.106548692615258,,False,False,3.2428361295251316
hitl/h015_public_equation_self_feedback/submission_h015_top_S_k200_a0.45_f611181f.csv,/Users/kbsoo/Downloads/cl2/hitl/h015_public_equation_self_feedback/submission_h015_top_S_k200_a0.45_f611181f.csv,h015,200,124,7.411004640415361,0.037055023202076806,7.41100464041536,0.0370550232020768,0.745,0.0015690998019561963,0.03586966063182284,0.023428571428571427,0.572021618152237,0.5635606216491719,0.5828997426380659,0.1333333333333333,0.5801535536446211,3.952123275060738,-7.402514679579524,,False,False,3.148937671584648
