cells,rows,mean_public_inclusion,mean_label_confidence,mean_private_safety,mean_toxicity,mean_gap,sum_predicted_public_delta,mean_energy_delta,mean_subject_delta,bad_tangent_cosine,q_rate,variant
18.0,15.0,0.7525797101449276,0.8623946488294314,0.5711620902540869,0.4287509044609528,0.18141761989084054,-5.542236249736976,-0.01185019250993454,0.0011754391975319733,-3.679848467042029e-05,0.05555555555555555,subset_label_direction_jackpot
18.0,16.0,0.7365386473429952,0.8414188034188034,0.5689600680945665,0.430642733343199,0.16757857924842876,-6.336470459361792,-0.0051159056625602085,0.0018530382721749952,-0.0057625018241071494,0.05555555555555555,subset_label_direction_jackpot
18.0,15.0,0.7451256038647345,0.8551675956893346,0.5726413633746807,0.4197679028943317,0.17248424049005356,-5.741276216499851,-0.011873267815922187,0.0008325071777333474,0.0006101810610511463,0.05555555555555555,subset_label_direction_jackpot
18.0,15.0,0.7622946859903382,0.8736893348197696,0.5768147866787678,0.4369394407079043,0.18547989931157038,-5.457696302335299,-0.01614569471831736,0.0012160728544551565,0.053329577432033155,0.05555555555555555,subset_label_direction_jackpot
18.0,16.0,0.7454637681159421,0.8514188034188034,0.5677725020413362,0.4277006883926646,0.17769126607460584,-6.110205369921766,-0.009781776458579956,0.0015150867196834592,0.0018811437162453667,0.05555555555555555,subset_label_direction_jackpot
18.0,15.0,0.7565144927536234,0.868510590858417,0.5640311872162149,0.43509523057505056,0.1924833055374083,-5.524967774387519,-0.015003659369510878,0.0008197030967233827,0.018093665616617606,0.05555555555555555,subset_label_direction_jackpot
18.0,15.0,0.7485942028985508,0.8606265328874024,0.5810558616688675,0.4360663767399728,0.16753834122968328,-4.252073940525138,-0.013597417239349414,0.0013680648801159985,0.0026435126530630075,0.05555555555555555,subset_label_direction_jackpot
18.0,15.0,0.7501835748792272,0.858926049795615,0.578413006454502,0.41034003938443275,0.17177056842472507,-6.131670266215653,-0.013391909506794308,0.0008489389412635143,0.004137712441132092,0.05555555555555555,subset_label_direction_jackpot
18.0,15.0,0.7461980676328503,0.8571579338535861,0.5883067778692825,0.4176555116634527,0.15789128976356778,-4.518095483797205,-0.015139134236209183,0.0010415646238475394,0.0064334461080674124,0.05555555555555555,subset_label_direction_jackpot
18.0,15.0,0.7509734299516909,0.8602207357859532,0.585253268932413,0.42147062058191864,0.1657201610192778,-5.969577605575577,-0.01302154091915738,0.0012275241506782336,0.042004250363744874,0.05555555555555555,subset_label_direction_jackpot
