held_fold,target,rank,source,source_family,selector_loss,held_loss
1,Q1,1,cc_opportunity__absolute_plus_deviation__c0.3_b0.2,causal_chain_opportunity,0.6576791276249071,0.6530014005149141
1,Q1,2,cc_opportunity__absolute__c0.3_b0.2,causal_chain_opportunity,0.6585531906216834,0.6650136703365609
1,Q1,3,best_plus_cc_opportunity__absolute__c0.3_b0.2,best_plus_causal_chain_opportunity,0.65908064801845,0.6442035029503372
1,Q1,4,best_plus_cc_opportunity__absolute_plus_deviation__c0.3_b0.2,best_plus_causal_chain_opportunity,0.659357915286741,0.6370129713422734
1,Q1,5,cc_opportunity__absolute_plus_deviation__c0.1_b0.2,causal_chain_opportunity,0.6595246070712896,0.6552825610285551
1,Q2,1,best_plus_di_prebed_consumption__absolute_plus_deviation__c0.3_b0.2,best_plus_digital_isolation_prebed,0.678480706018698,0.7431190109032771
1,Q2,2,ef_recovery_slope__deviation__c0.3_b0.2,energy_recovery_slope,0.6788210334369107,0.7031065110367136
1,Q2,3,best_plus_di_prebed_consumption__deviation__c0.3_b0.2,best_plus_digital_isolation_prebed,0.679372254720018,0.7528774019205661
1,Q2,4,best_plus_di_prebed_consumption__deviation__c0.1_b0.2,best_plus_digital_isolation_prebed,0.6799914363229463,0.7486281842861158
1,Q2,5,best_plus_di_prebed_consumption__absolute__c0.3_b0.2,best_plus_digital_isolation_prebed,0.6804412825044099,0.7401889047949679
1,Q3,1,best_plus_mobility_constriction__deviation__c0.1_b0.2,mobility_constriction,0.6585849213794219,0.6885498712097599
1,Q3,2,ef_recovery_slope__absolute__c0.3_b0.2,energy_recovery_slope,0.659010878706568,0.688268396680117
1,Q3,3,best_plus_mobility_constriction__absolute__c0.1_b0.2,mobility_constriction,0.6592128121376031,0.6839363747293893
1,Q3,4,best_plus_mobility_constriction__deviation__c0.03_b0.2,mobility_constriction,0.659404727152056,0.686394781833143
1,Q3,5,best_plus_mobility_constriction__absolute__c0.3_b0.2,mobility_constriction,0.6599179452616929,0.6859606394093551
1,S1,1,best_plus_di_digital_rhythm__absolute_plus_deviation__c0.3_b0.2,best_plus_digital_isolation_rhythm,0.5671758331398087,0.5873024515857452
1,S1,2,best_plus_cc_opportunity__absolute_plus_deviation__c0.3_b0.2,best_plus_causal_chain_opportunity,0.5672174661609981,0.5504628099807066
1,S1,3,cc_chain_interactions__absolute_plus_deviation__c0.3_b0.2,causal_chain_interactions,0.5687898773616289,0.558007351559665
1,S1,4,best_plus_cc_opportunity__deviation__c0.3_b0.2,best_plus_causal_chain_opportunity,0.5688747414317585,0.5482782172002376
1,S1,5,best_plus_cc_opportunity__absolute_plus_deviation__c0.1_b0.2,best_plus_causal_chain_opportunity,0.5689478896328388,0.5488557969351108
1,S2,1,sleep_intrusion__absolute_plus_deviation__c0.3_b0.2,sleep_intrusion,0.5664248515630363,0.5924093225528665
1,S2,2,sleep_intrusion__absolute_plus_deviation__c0.1_b0.2,sleep_intrusion,0.5676175519717872,0.5877582114811684
1,S2,3,best_plus_sleep_intrusion__absolute_plus_deviation__c0.3_b0.2,sleep_intrusion,0.5677147793305555,0.5992558373772894
1,S2,4,best_plus_sleep_intrusion__absolute_plus_deviation__c0.1_b0.2,sleep_intrusion,0.5683423213891267,0.5895406613681364
1,S2,5,sleep_intrusion__absolute_plus_deviation__c0.3_b0.1,sleep_intrusion,0.5685940171023827,0.5938317232277609
1,S3,1,best_plus_di_prebed_consumption__absolute_plus_deviation__c0.3_b0.2,best_plus_digital_isolation_prebed,0.535670228561127,0.4852135319782275
1,S3,2,best_plus_di_social_isolation__absolute_plus_deviation__c0.3_b0.2,best_plus_digital_isolation_social,0.5367037074123058,0.4766128548727656
1,S3,3,best_plus_mobility_constriction__absolute_plus_deviation__c0.1_b0.2,mobility_constriction,0.5370549717593438,0.4823356484766539
1,S3,4,best_plus_mobility_constriction__absolute_plus_deviation__c0.3_b0.2,mobility_constriction,0.5370700649053723,0.4788350918021738
1,S3,5,best__absolute_plus_deviation__c0.3_b0.2,best_late_fusion,0.5374680051668604,0.4757292551240594
1,S4,1,sleep_intrusion__absolute_plus_deviation__c0.03_b0.2,sleep_intrusion,0.6308542541796942,0.6742910546554052
