fold,target,source,loss,n_features
1,Q1,selected_single__ridge_a5_b0.05,0.6624149997073147,644
1,Q1,selected_single__ridge_a5_b0.1,0.6616969956086166,644
1,Q1,selected_single__ridge_a5_b0.2,0.6649725286728315,644
1,Q1,selected_single__ridge_a5_b0.35,0.6836949678424021,644
1,Q1,selected_single__ridge_a20_b0.05,0.6639984148701183,644
1,Q1,selected_single__ridge_a20_b0.1,0.6643640771185261,644
1,Q1,selected_single__ridge_a20_b0.2,0.6683008606418559,644
1,Q1,selected_single__ridge_a20_b0.35,0.6834286484212935,644
1,Q1,selected_single__ridge_a80_b0.05,0.6649923742487358,644
1,Q1,selected_single__ridge_a80_b0.1,0.6660038180360242,644
1,Q1,selected_single__ridge_a80_b0.2,0.6701448624764238,644
1,Q1,selected_single__ridge_a80_b0.35,0.6823084947696331,644
1,Q1,selected_single__logreg_c0.03_b0.05,0.6646460883781777,644
1,Q1,selected_single__logreg_c0.03_b0.1,0.665161136873307,644
1,Q1,selected_single__logreg_c0.03_b0.2,0.667783484924404,644
1,Q1,selected_single__logreg_c0.03_b0.35,0.6758850034195226,644
1,Q1,selected_single__logreg_c0.1_b0.05,0.6644822062583756,644
1,Q1,selected_single__logreg_c0.1_b0.1,0.6650821208924658,644
1,Q1,selected_single__logreg_c0.1_b0.2,0.6686390807811167,644
1,Q1,selected_single__logreg_c0.1_b0.35,0.6802273491969626,644
1,Q1,target_moe__ridge_a5_b0.05,0.6665160051554008,2444
1,Q1,target_moe__ridge_a5_b0.1,0.6710536892645802,2444
1,Q1,target_moe__ridge_a5_b0.2,0.6893179707015065,2444
1,Q1,target_moe__ridge_a5_b0.35,0.7585616311410439,2444
1,Q1,target_moe__ridge_a20_b0.05,0.6655712621237907,2444
1,Q1,target_moe__ridge_a20_b0.1,0.6683815979256138,2444
1,Q1,target_moe__ridge_a20_b0.2,0.6802605854615479,2444
1,Q1,target_moe__ridge_a20_b0.35,0.722120800156328,2444
1,Q1,target_moe__ridge_a80_b0.05,0.664688757403094,2444
1,Q1,target_moe__ridge_a80_b0.1,0.6658310431859799,2444
1,Q1,target_moe__ridge_a80_b0.2,0.6716136809064644,2444
1,Q1,target_moe__ridge_a80_b0.35,0.6908187158141984,2444
1,Q1,target_moe__logreg_c0.03_b0.05,0.6647762786460023,2444
1,Q1,target_moe__logreg_c0.03_b0.1,0.665805928341921,2444
1,Q1,target_moe__logreg_c0.03_b0.2,0.6706273930521357,2444
1,Q1,target_moe__logreg_c0.03_b0.35,0.6851737963195286,2444
1,Q1,target_moe__logreg_c0.1_b0.05,0.6647833399850324,2444
1,Q1,target_moe__logreg_c0.1_b0.1,0.6661426592480374,2444
1,Q1,target_moe__logreg_c0.1_b0.2,0.6726437141721123,2444
1,Q1,target_moe__logreg_c0.1_b0.35,0.6926601251605463,2444
1,Q1,selected_plus_target_moe__ridge_a5_b0.05,0.6665160051554008,2444
1,Q1,selected_plus_target_moe__ridge_a5_b0.1,0.6710536892645802,2444
1,Q1,selected_plus_target_moe__ridge_a5_b0.2,0.6893179707015065,2444
1,Q1,selected_plus_target_moe__ridge_a5_b0.35,0.7585616311410439,2444
1,Q1,selected_plus_target_moe__ridge_a20_b0.05,0.6655712621237907,2444
1,Q1,selected_plus_target_moe__ridge_a20_b0.1,0.6683815979256138,2444
1,Q1,selected_plus_target_moe__ridge_a20_b0.2,0.6802605854615479,2444
1,Q1,selected_plus_target_moe__ridge_a20_b0.35,0.722120800156328,2444
1,Q1,selected_plus_target_moe__ridge_a80_b0.05,0.664688757403094,2444
1,Q1,selected_plus_target_moe__ridge_a80_b0.1,0.6658310431859799,2444
1,Q1,selected_plus_target_moe__ridge_a80_b0.2,0.6716136809064644,2444
1,Q1,selected_plus_target_moe__ridge_a80_b0.35,0.6908187158141984,2444
1,Q1,selected_plus_target_moe__logreg_c0.03_b0.05,0.6647762786460023,2444
1,Q1,selected_plus_target_moe__logreg_c0.03_b0.1,0.665805928341921,2444
1,Q1,selected_plus_target_moe__logreg_c0.03_b0.2,0.6706273930521357,2444
1,Q1,selected_plus_target_moe__logreg_c0.03_b0.35,0.6851737963195286,2444
1,Q1,selected_plus_target_moe__logreg_c0.1_b0.05,0.6647833399850324,2444
1,Q1,selected_plus_target_moe__logreg_c0.1_b0.1,0.6661426592480374,2444
1,Q1,selected_plus_target_moe__logreg_c0.1_b0.2,0.6726437141721123,2444
1,Q1,selected_plus_target_moe__logreg_c0.1_b0.35,0.6926601251605463,2444
1,Q2,selected_single__ridge_a5_b0.05,0.7293903578134713,772
1,Q2,selected_single__ridge_a5_b0.1,0.7265574847660327,772
