source,avg_log_loss,drift_vs_reference,Q1,Q2,Q3,S1,S2,S3,S4
selected_single__logreg_c0.03_b0.35,0.6163967384116921,0.09701947782934582,0.6640902666141834,0.6632436246339598,0.6660345131934082,0.5712079157024449,0.5752219422055332,0.522791720361395,0.6521871861709199
selected_single__logreg_c0.1_b0.2,0.6172843062214363,0.07998256560218824,0.6646507832838345,0.6767447670715337,0.6664161033752598,0.5695263405230079,0.5746196761542717,0.5217057561708389,0.6473267169713073
selected_single__logreg_c0.03_b0.2,0.6176613744655619,0.07612953383786664,0.6654601503281711,0.6751996275264813,0.6659550852224239,0.5705447711393636,0.5743917416336362,0.5231698110734339,0.6489084343354234
selected_single__ridge_a80_b0.2,0.6178549156526968,0.08192496801951521,0.6664220302777022,0.6799125491120003,0.6644021824007283,0.5673195393713879,0.5754399768719355,0.5262237657490358,0.6452643657860868
selected_single__logreg_c0.1_b0.35,0.6180794167648992,0.10614542463816344,0.6652807949500537,0.6690105967222296,0.6705090070382043,0.5715061516008757,0.5770467420669331,0.5232881803764808,0.6499144445995173
selected_single__ridge_a5_b0.1,0.6193666350724959,0.08058366615261649,0.6633546190221531,0.6962206101787616,0.6640145734607867,0.5652151146317551,0.5785244264562452,0.5243100965201827,0.6439270052375868
selected_single__ridge_a20_b0.1,0.6196875447372616,0.0728535870493906,0.6662103761170588,0.6912320326106914,0.6658585858306231,0.5674455993053711,0.5777032417642444,0.5245773427125905,0.6447856348202522
selected_single__ridge_a20_b0.2,0.61987215285009,0.09661338229964726,0.663547391754938,0.6850835010023367,0.6612694752161558,0.5631393090203136,0.5776525232652114,0.5451467972115674,0.6432660724801076
selected_single__logreg_c0.1_b0.1,0.6207633868627056,0.06730044684134336,0.6676030086289997,0.6881287500499363,0.6696442779066056,0.5713469659970906,0.5758076640677392,0.5260099096040459,0.6468031317845215
selected_single__ridge_a80_b0.1,0.6210957964132006,0.06730029609677231,0.6686128207783065,0.6901429706915256,0.6690907298790386,0.5701512457243421,0.5770210136875124,0.5266854934171677,0.6459663007145107
