model,alpha,n_obs,n_features,loo_mae,loo_rmse,loo_p90_abs,loo_spearman,h144_h145_pred_gap_abs,selection_score
bundle_all,1.0,19,317,0.0004507154491782551,0.0008517925556696281,0.0011053146800392686,0.8584715324643559,9.216891535299241e-07,0.0004617757190206142
bundle_all,3.0,19,317,0.00045795706824326525,0.0008459574210663418,0.0010910047494653797,0.8336781308047356,7.483697598767159e-07,0.00046693750536178584
bundle_all,100.0,19,317,0.0004690734267879662,0.0007803521279428941,0.0011090671931894055,0.6849177208470133,2.5532365078378917e-07,0.0004721373105973717
bundle_all,0.3,19,317,0.0004593508574088177,0.0008693268329114293,0.0011336363960104904,0.7923557947053683,1.088055016834242e-06,0.0004724075176108286
bundle_all,10.0,19,317,0.00046907759149555087,0.0008313837001568159,0.001085138608511245,0.825413663584862,5.406980582371617e-07,0.0004755659681943968
bundle_all,30.0,19,317,0.0004777560338392803,0.000805916848098206,0.0010858041182239897,0.8192153131699571,3.7266064676231654e-07,0.0004822279616004281
bundle_all,0.1,19,317,0.0004760169945893175,0.0008917638036635729,0.0011641361806712055,0.7799590938755581,1.2004881655359372e-06,0.0004904228525757487
bundle_all,0.03,19,317,0.000491924403845747,0.0009085990745273586,0.0011999010328931068,0.7530995754109693,1.2693584769318724e-06,0.0005071567055689295
bundle_all,0.01,19,317,0.0005032405133399845,0.0009170757057626903,0.0012336774446771942,0.7097111225066337,1.2990932970749968e-06,0.0005188296329048845
bundle_all,0.003,19,317,0.000511190560092957,0.0009220036114919695,0.0012602204295838984,0.6766532536271398,1.302915983046203e-06,0.0005268255518895114
bundle_all,0.001,19,317,0.0005148475415374464,0.000924263437344402,0.0012728073912848708,0.6353309175277725,1.2676314048970354e-06,0.0005300591183962108
bundle_plus_bad,30.0,10,317,0.0007163445526851618,0.001039921978488865,0.0016313217477252075,0.6050633809075329,2.782616508588702e-07,0.0007196836924954682
bundle_plus_bad,0.01,10,317,0.0007260708608358827,0.0011539928734029571,0.0016497074961909176,0.6218706970438532,5.384673647603508e-07,0.0007325324692130069
bundle_plus_bad,10.0,10,317,0.0007281648339110494,0.0010760259839211626,0.0016020592547641628,0.6050633809075329,3.641348392455145e-07,0.0007325344519819955
bundle_plus_bad,0.03,10,317,0.0007261483813738156,0.0011536433913757504,0.001649543173539629,0.6218706970438532,5.396724033870416e-07,0.0007326244502144601
bundle_plus_bad,0.003,10,317,0.0007262919428560437,0.001154135486961614,0.0016493719686944805,0.6218706970438532,5.320068510239538e-07,0.0007326760250683311
bundle_plus_bad,0.001,10,317,0.0007268435152469018,0.0011542308485617163,0.001648208370071782,0.6218706970438532,5.137664085984501e-07,0.0007330087121500832
bundle_plus_bad,0.1,10,317,0.0007265816457327527,0.0011524553171660557,0.0016485812808463252,0.6218706970438532,5.377708225291495e-07,0.0007330348956031025
bundle_plus_bad,0.3,10,317,0.0007277317012101158,0.0011491886875232785,0.0016458309619573194,0.6218706970438532,5.307929311301491e-07,0.0007341012163836776
bundle_plus_bad,1.0,10,317,0.0007305188670710659,0.0011389711068104911,0.0016373418039823773,0.6218706970438532,5.080586117581633e-07,0.0007366155704121638
bundle_plus_bad,100.0,10,317,0.000734509069363451,0.0010514733189409785,0.0018163391407871035,0.5378341163622514,2.222858610879464e-07,0.0007371764996965064
bundle_plus_bad,3.0,10,317,0.0007329237744296791,0.001116884093094965,0.001620530223613583,0.6050633809075329,4.5771327192096394e-07,0.0007384163336927308
bundle_frontier,0.001,7,317,0.00019244731514730232,0.0003340684190880156,0.0005032228601155525,-0.7356123579206245,1.2401921428023283e-09,0.0009280745553736405
bundle_frontier,0.003,7,317,0.00019323025785776107,0.000335866372608166,0.000505557733102789,-0.7356123579206245,1.5804790430226385e-09,0.0009288615815269018
bundle_frontier,0.01,7,317,0.0001936351483121869,0.00033676054809731604,0.000506719411022844,-0.7356123579206245,1.7622672011171226e-09,0.0009292686534392248
bundle_frontier,0.03,7,317,0.0001938162618499951,0.0003370587603762367,0.0005071098008275619,-0.7356123579206245,1.864237373386214e-09,0.0009294509906191003
bundle_frontier,0.1,7,317,0.00019405455610758686,0.00033718914549004406,0.0005072908091143938,-0.7356123579206245,2.0525926532999166e-09,0.000929691545140051
bundle_frontier,0.3,7,317,0.0001946110290089888,0.0003372895113947608,0.0005074528590588618,-0.7356123579206245,2.5375806981143157e-09,0.0009302538378979907
bundle_frontier,10.0,7,317,0.00021309932494639056,0.0003413436204407045,0.0005125332090296633,-0.7944613465542746,2.1498601886563162e-08,0.001007818654723304
bundle_frontier,30.0,7,317,0.00022947112260843415,0.00034785444509218076,0.0005196849825705933,-0.7944613465542746,4.449733956880797e-08,0.0010244664372375345
bundle_frontier,100.0,7,317,0.0002414343667629216,0.000356092327798319,0.0005326039257943444,-0.7944613465542746,7.127324493958696e-08,0.0010367509922564713
bundle_frontier,1.0,7,317,0.0001964465192577844,0.00033755507249055524,0.0005078873290141185,-0.9710083124552246,4.183676151879329e-09,0.0011675050358268314
bundle_frontier,3.0,7,317,0.0002011420648468848,0.0003383557236260781,0.0005090386345370266,-0.9710083124552246,8.611392796515098e-09,0.0011722537140156676
